menu,price,order_time
김밥,2846,2024-12-29 19:33:56
만두,22513,2024-12-30 02:55:56
만두,28338,2024-12-29 17:24:56
김밥,2264,2024-12-30 10:37:56
김밥,6276,2024-12-29 17:29:56
떡볶이,18731,2024-12-30 03:30:56
만두,2260,2024-12-30 08:57:56
떡볶이,23380,2024-12-30 08:33:56
김밥,18261,2024-12-30 11:29:56
떡볶이,29941,2024-12-29 20:15:56
떡볶이,1209,2024-12-29 21:12:56
만두,18911,2024-12-30 16:15:56
김밥,9192,2024-12-29 22:07:56
김밥,8505,2024-12-30 01:36:56
만두,13206,2024-12-29 17:29:56
떡볶이,27909,2024-12-30 13:20:56
떡볶이,8285,2024-12-30 08:32:56
만두,7716,2024-12-30 00:57:56
떡볶이,9574,2024-12-30 11:08:56
김밥,20580,2024-12-30 09:44:56
김밥,4523,2024-12-29 20:58:56
김밥,11984,2024-12-29 22:18:56
만두,26165,2024-12-30 05:50:56
떡볶이,16132,2024-12-30 02:56:56
만두,21266,2024-12-30 02:06:56
떡볶이,17730,2024-12-30 15:41:56
김밥,17805,2024-12-29 19:40:56
떡볶이,3031,2024-12-30 02:59:56
만두,9127,2024-12-30 09:23:56
만두,28708,2024-12-30 07:36:56
떡볶이,27069,2024-12-30 16:53:56
떡볶이,22702,2024-12-30 06:40:56
떡볶이,26678,2024-12-29 18:06:56
만두,2973,2024-12-30 12:50:56
떡볶이,5102,2024-12-29 21:53:56
떡볶이,9521,2024-12-30 11:00:56
떡볶이,24384,2024-12-30 03:08:56
떡볶이,18118,2024-12-30 00:09:56
김밥,19960,2024-12-29 20:26:56
만두,9002,2024-12-30 12:12:56
만두,22095,2024-12-29 22:03:56
김밥,1712,2024-12-30 16:00:56
김밥,21023,2024-12-29 18:19:56
만두,21874,2024-12-30 15:25:56
만두,26605,2024-12-30 04:42:56
김밥,12686,2024-12-30 02:13:56
만두,24609,2024-12-30 02:07:56
김밥,21480,2024-12-30 15:50:56
김밥,29603,2024-12-30 06:49:56
만두,22744,2024-12-30 00:12:56
떡볶이,9114,2024-12-29 17:39:56
만두,5860,2024-12-30 04:44:56
떡볶이,8044,2024-12-30 15:47:56
만두,24771,2024-12-30 02:05:56
만두,4346,2024-12-30 13:40:56
만두,22770,2024-12-30 09:03:56
떡볶이,1141,2024-12-30 06:26:56
김밥,28726,2024-12-30 13:33:56
김밥,10457,2024-12-30 02:55:56
떡볶이,4064,2024-12-30 07:10:56
만두,21756,2024-12-30 16:06:56
만두,16525,2024-12-30 09:28:56
만두,24936,2024-12-30 02:00:56
떡볶이,24534,2024-12-30 01:30:56
만두,2310,2024-12-30 02:58:56
떡볶이,8933,2024-12-30 00:28:56
떡볶이,4812,2024-12-29 21:38:56
김밥,4559,2024-12-30 14:11:56
김밥,10464,2024-12-30 16:36:56
만두,19908,2024-12-30 04:12:56
김밥,3853,2024-12-30 15:26:56
김밥,9077,2024-12-30 16:01:56
김밥,21448,2024-12-30 11:43:56
김밥,11872,2024-12-30 07:42:56
만두,27184,2024-12-30 12:18:56
김밥,23812,2024-12-29 19:30:56
김밥,29481,2024-12-30 00:23:56
만두,18297,2024-12-29 23:17:56
김밥,27256,2024-12-30 14:27:56
김밥,28551,2024-12-30 10:14:56
떡볶이,7642,2024-12-29 18:14:56
떡볶이,19577,2024-12-30 13:21:56
만두,29581,2024-12-30 06:17:56
만두,10947,2024-12-30 10:40:56
김밥,13772,2024-12-30 05:17:56
떡볶이,6577,2024-12-30 04:15:56
김밥,1524,2024-12-29 19:58:56
만두,12802,2024-12-30 15:07:56
떡볶이,2625,2024-12-30 09:05:56
만두,15351,2024-12-30 16:13:56
떡볶이,2016,2024-12-30 04:27:56
떡볶이,17351,2024-12-30 06:45:56
김밥,26979,2024-12-30 10:23:56
떡볶이,7559,2024-12-29 18:59:56
김밥,9225,2024-12-30 04:08:56
만두,29640,2024-12-29 19:36:56
만두,18310,2024-12-29 20:52:56
김밥,17846,2024-12-30 02:16:56
김밥,12774,2024-12-30 03:50:56
떡볶이,23799,2024-12-30 05:15:56
