menu,price,order_time
떡볶이,18669,2024-12-30 05:51:56
감자튀김,22067,2024-12-30 04:11:56
떡볶이,7040,2024-12-30 16:15:56
감자튀김,15475,2024-12-30 04:13:56
떡볶이,23497,2024-12-30 05:22:56
떡볶이,4172,2024-12-29 17:46:56
닭강정,8646,2024-12-30 15:43:56
닭강정,15051,2024-12-30 16:38:56
감자튀김,4892,2024-12-30 03:41:56
떡볶이,25267,2024-12-30 05:46:56
감자튀김,16401,2024-12-30 10:21:56
감자튀김,17160,2024-12-29 21:58:56
닭강정,1658,2024-12-29 17:35:56
떡볶이,27979,2024-12-29 21:30:56
떡볶이,11487,2024-12-30 07:26:56
닭강정,5106,2024-12-30 03:22:56
닭강정,21387,2024-12-30 03:34:56
닭강정,26727,2024-12-30 04:04:56
닭강정,12626,2024-12-29 23:20:56
떡볶이,21462,2024-12-30 14:33:56
닭강정,29438,2024-12-30 12:49:56
떡볶이,21455,2024-12-29 21:42:56
닭강정,18084,2024-12-29 22:50:56
떡볶이,17020,2024-12-30 12:57:56
떡볶이,18334,2024-12-30 09:42:56
떡볶이,16875,2024-12-30 04:29:56
감자튀김,23227,2024-12-29 18:27:56
감자튀김,21468,2024-12-30 11:19:56
닭강정,20277,2024-12-30 15:22:56
감자튀김,7967,2024-12-30 01:01:56
떡볶이,14453,2024-12-30 11:11:56
닭강정,22762,2024-12-30 01:34:56
떡볶이,12221,2024-12-29 19:02:56
닭강정,2274,2024-12-30 14:32:56
닭강정,9270,2024-12-30 11:02:56
닭강정,4651,2024-12-29 23:36:56
감자튀김,16495,2024-12-29 17:59:56
감자튀김,17539,2024-12-30 15:57:56
떡볶이,23248,2024-12-30 03:38:56
감자튀김,29154,2024-12-30 15:23:56
떡볶이,29750,2024-12-30 02:35:56
떡볶이,11220,2024-12-30 17:09:56
감자튀김,13091,2024-12-30 06:17:56
떡볶이,18597,2024-12-30 02:53:56
감자튀김,23557,2024-12-29 21:14:56
떡볶이,19840,2024-12-29 20:29:56
떡볶이,23428,2024-12-30 16:25:56
감자튀김,6636,2024-12-29 19:36:56
닭강정,28121,2024-12-29 21:25:56
떡볶이,3693,2024-12-30 14:50:56
떡볶이,1190,2024-12-30 11:29:56
떡볶이,8814,2024-12-30 07:24:56
떡볶이,19721,2024-12-30 08:43:56
닭강정,3379,2024-12-30 09:29:56
닭강정,18056,2024-12-30 10:54:56
떡볶이,23429,2024-12-29 23:46:56
닭강정,16872,2024-12-30 07:19:56
닭강정,7135,2024-12-29 23:28:56
떡볶이,28345,2024-12-30 15:56:56
닭강정,5043,2024-12-30 14:11:56
감자튀김,13103,2024-12-30 01:23:56
닭강정,9334,2024-12-29 18:55:56
떡볶이,21500,2024-12-30 01:43:56
닭강정,18446,2024-12-29 22:21:56
감자튀김,8703,2024-12-30 04:11:56
감자튀김,26171,2024-12-29 21:03:56
닭강정,19381,2024-12-29 18:13:56
떡볶이,11078,2024-12-30 05:07:56
감자튀김,26882,2024-12-30 11:52:56
감자튀김,3682,2024-12-30 06:07:56
떡볶이,26215,2024-12-30 10:43:56
닭강정,11609,2024-12-30 13:18:56
감자튀김,24070,2024-12-29 20:21:56
닭강정,27177,2024-12-30 14:08:56
닭강정,24002,2024-12-30 08:12:56
닭강정,9953,2024-12-29 17:44:56
닭강정,16563,2024-12-30 05:25:56
감자튀김,19326,2024-12-29 22:12:56
감자튀김,27779,2024-12-30 16:10:56
떡볶이,12133,2024-12-30 07:30:56
감자튀김,24641,2024-12-30 06:36:56
닭강정,1665,2024-12-30 13:34:56
감자튀김,4683,2024-12-30 05:23:56
감자튀김,28367,2024-12-29 18:56:56
떡볶이,20239,2024-12-30 08:58:56
떡볶이,29542,2024-12-30 06:13:56
떡볶이,28551,2024-12-30 15:50:56
떡볶이,5118,2024-12-30 12:44:56
떡볶이,25475,2024-12-29 20:11:56
닭강정,9935,2024-12-30 02:57:56
떡볶이,13651,2024-12-29 23:59:56
감자튀김,17415,2024-12-30 01:26:56
닭강정,6036,2024-12-30 08:27:56
닭강정,14174,2024-12-30 00:00:56
닭강정,15394,2024-12-29 19:36:56
떡볶이,6644,2024-12-30 08:23:56
떡볶이,16494,2024-12-29 22:48:56
감자튀김,22809,2024-12-30 14:46:56
떡볶이,3313,2024-12-30 12:16:56
떡볶이,8741,2024-12-30 16:38:56
