menu,price,order_time
카푸치노,2959,2024-12-29 23:35:56
카푸치노,12935,2024-12-30 06:25:56
케이크,9369,2024-12-29 23:32:56
아메리카노,23260,2024-12-30 16:14:56
아메리카노,15046,2024-12-29 21:27:56
카푸치노,3317,2024-12-30 01:54:56
카푸치노,20110,2024-12-30 13:04:56
케이크,4721,2024-12-30 05:33:56
케이크,10898,2024-12-29 19:47:56
케이크,9228,2024-12-30 12:24:56
카푸치노,15725,2024-12-29 20:59:56
아메리카노,13482,2024-12-29 21:01:56
케이크,1729,2024-12-29 23:22:56
카푸치노,2622,2024-12-30 09:29:56
케이크,21053,2024-12-30 09:53:56
카푸치노,1522,2024-12-30 00:28:56
카푸치노,24650,2024-12-30 00:38:56
카푸치노,21505,2024-12-30 02:46:56
카푸치노,25810,2024-12-29 22:57:56
아메리카노,18665,2024-12-30 06:00:56
케이크,23816,2024-12-29 20:36:56
아메리카노,29438,2024-12-30 08:10:56
케이크,13319,2024-12-30 15:10:56
케이크,25102,2024-12-30 09:03:56
아메리카노,10622,2024-12-30 09:42:56
아메리카노,10163,2024-12-30 01:30:56
카푸치노,20806,2024-12-29 23:55:56
케이크,1956,2024-12-30 03:47:56
케이크,10290,2024-12-30 06:48:56
아메리카노,11695,2024-12-29 18:30:56
케이크,2765,2024-12-30 12:59:56
케이크,16706,2024-12-29 23:58:56
케이크,13949,2024-12-30 00:45:56
카푸치노,25925,2024-12-29 19:59:56
아메리카노,21504,2024-12-29 19:08:56
카푸치노,29170,2024-12-30 02:47:56
카푸치노,11149,2024-12-29 21:32:56
아메리카노,4198,2024-12-29 19:16:56
케이크,5352,2024-12-29 20:53:56
케이크,17524,2024-12-29 17:29:56
케이크,19695,2024-12-30 14:46:56
아메리카노,27671,2024-12-30 07:26:56
아메리카노,7359,2024-12-30 07:32:56
케이크,13796,2024-12-30 01:51:56
케이크,17053,2024-12-30 12:39:56
케이크,27328,2024-12-30 08:27:56
케이크,4965,2024-12-30 07:41:56
카푸치노,29074,2024-12-30 02:20:56
케이크,21708,2024-12-30 13:37:56
아메리카노,26217,2024-12-30 11:23:56
아메리카노,28322,2024-12-29 21:09:56
아메리카노,21963,2024-12-29 21:44:56
아메리카노,12215,2024-12-30 02:57:56
카푸치노,2548,2024-12-30 04:44:56
케이크,19430,2024-12-30 06:36:56
케이크,19297,2024-12-30 07:28:56
케이크,25035,2024-12-29 21:41:56
카푸치노,23936,2024-12-29 17:31:56
아메리카노,27720,2024-12-30 09:30:56
카푸치노,7373,2024-12-30 06:17:56
아메리카노,24231,2024-12-30 00:23:56
아메리카노,18873,2024-12-30 06:11:56
케이크,3329,2024-12-30 03:24:56
카푸치노,19001,2024-12-30 16:03:56
아메리카노,29180,2024-12-30 11:53:56
카푸치노,12441,2024-12-30 01:18:56
아메리카노,1890,2024-12-30 02:52:56
아메리카노,15224,2024-12-30 02:55:56
카푸치노,27707,2024-12-30 10:20:56
카푸치노,23188,2024-12-30 11:48:56
케이크,12053,2024-12-30 06:10:56
카푸치노,14733,2024-12-30 05:12:56
아메리카노,19957,2024-12-30 13:01:56
카푸치노,16738,2024-12-29 19:10:56
카푸치노,13529,2024-12-30 01:28:56
아메리카노,22321,2024-12-30 09:11:56
카푸치노,7273,2024-12-30 16:38:56
카푸치노,24925,2024-12-29 20:40:56
케이크,19228,2024-12-29 22:12:56
케이크,2883,2024-12-29 18:06:56
케이크,8146,2024-12-29 22:47:56
아메리카노,22710,2024-12-30 14:16:56
아메리카노,4970,2024-12-29 18:05:56
카푸치노,8155,2024-12-30 00:49:56
케이크,5374,2024-12-30 00:48:56
케이크,12924,2024-12-30 00:15:56
아메리카노,8675,2024-12-29 21:57:56
카푸치노,27964,2024-12-30 12:52:56
아메리카노,3052,2024-12-30 09:28:56
아메리카노,15685,2024-12-29 23:36:56
카푸치노,28097,2024-12-30 05:49:56
케이크,23346,2024-12-30 14:24:56
케이크,6144,2024-12-30 10:47:56
카푸치노,1751,2024-12-29 19:15:56
카푸치노,20874,2024-12-29 19:29:56
아메리카노,20244,2024-12-30 10:46:56
케이크,25403,2024-12-30 05:54:56
아메리카노,28021,2024-12-30 08:33:56
카푸치노,21199,2024-12-30 08:59:56
아메리카노,11865,2024-12-29 22:20:56
