menu,price,order_time
케이크,16599,2024-12-30 05:24:56
케이크,3772,2024-12-30 03:22:56
케이크,22016,2024-12-29 18:43:56
아메리카노,22387,2024-12-29 18:38:56
아메리카노,26318,2024-12-30 09:06:56
카푸치노,22791,2024-12-29 19:40:56
아메리카노,28110,2024-12-30 09:33:56
카푸치노,29883,2024-12-30 03:12:56
카푸치노,15893,2024-12-30 08:48:56
케이크,4206,2024-12-30 15:33:56
케이크,28166,2024-12-30 03:52:56
아메리카노,26584,2024-12-30 00:47:56
카푸치노,6014,2024-12-29 19:11:56
케이크,13465,2024-12-29 19:40:56
아메리카노,10925,2024-12-29 17:24:56
아메리카노,15166,2024-12-29 23:18:56
아메리카노,15138,2024-12-30 01:54:56
카푸치노,20971,2024-12-30 10:37:56
아메리카노,6686,2024-12-30 14:59:56
아메리카노,10340,2024-12-30 13:20:56
케이크,28153,2024-12-29 21:57:56
카푸치노,22149,2024-12-30 08:58:56
아메리카노,22538,2024-12-30 07:39:56
카푸치노,1171,2024-12-30 14:43:56
카푸치노,1833,2024-12-30 15:51:56
카푸치노,5551,2024-12-30 12:21:56
아메리카노,12096,2024-12-30 03:09:56
아메리카노,18211,2024-12-30 03:46:56
케이크,9863,2024-12-30 10:13:56
아메리카노,14590,2024-12-30 01:00:56
카푸치노,25746,2024-12-30 08:18:56
카푸치노,8189,2024-12-30 12:26:56
케이크,24783,2024-12-30 06:13:56
카푸치노,4412,2024-12-29 22:08:56
케이크,9445,2024-12-30 00:07:56
케이크,11966,2024-12-30 02:48:56
케이크,23991,2024-12-30 09:13:56
아메리카노,3142,2024-12-30 07:02:56
카푸치노,16196,2024-12-29 20:51:56
아메리카노,29046,2024-12-29 19:24:56
카푸치노,1605,2024-12-30 17:08:56
아메리카노,2054,2024-12-30 11:24:56
케이크,7444,2024-12-30 07:30:56
카푸치노,12027,2024-12-29 19:38:56
아메리카노,27522,2024-12-30 14:57:56
카푸치노,12992,2024-12-29 21:24:56
카푸치노,27542,2024-12-30 08:24:56
아메리카노,26437,2024-12-30 11:36:56
카푸치노,26485,2024-12-30 16:19:56
카푸치노,29900,2024-12-30 00:07:56
아메리카노,12880,2024-12-29 23:04:56
카푸치노,18492,2024-12-30 06:46:56
케이크,27957,2024-12-29 19:19:56
카푸치노,25858,2024-12-29 22:26:56
케이크,15326,2024-12-30 04:11:56
카푸치노,25767,2024-12-30 01:13:56
케이크,17361,2024-12-30 09:52:56
카푸치노,4582,2024-12-30 07:12:56
카푸치노,17171,2024-12-30 02:52:56
카푸치노,27680,2024-12-30 05:50:56
케이크,5737,2024-12-30 11:24:56
카푸치노,11200,2024-12-30 03:53:56
아메리카노,3153,2024-12-30 16:01:56
카푸치노,25858,2024-12-29 17:33:56
케이크,5311,2024-12-30 10:24:56
카푸치노,25814,2024-12-30 03:54:56
카푸치노,19985,2024-12-30 01:36:56
아메리카노,14212,2024-12-29 23:04:56
카푸치노,9069,2024-12-29 21:02:56
아메리카노,12728,2024-12-30 02:16:56
카푸치노,14808,2024-12-29 22:43:56
케이크,1547,2024-12-30 11:27:56
케이크,29850,2024-12-30 02:02:56
카푸치노,26843,2024-12-30 05:20:56
케이크,2492,2024-12-29 18:43:56
카푸치노,2114,2024-12-30 00:31:56
케이크,25032,2024-12-29 23:43:56
케이크,11152,2024-12-29 22:48:56
아메리카노,8212,2024-12-30 00:29:56
카푸치노,9454,2024-12-30 00:10:56
카푸치노,16843,2024-12-29 23:15:56
케이크,26044,2024-12-29 23:40:56
카푸치노,22672,2024-12-30 05:59:56
케이크,20343,2024-12-30 14:25:56
아메리카노,17884,2024-12-30 16:33:56
아메리카노,27795,2024-12-30 11:08:56
케이크,13813,2024-12-30 01:45:56
카푸치노,27073,2024-12-29 22:57:56
케이크,9256,2024-12-30 00:34:56
아메리카노,4336,2024-12-29 19:03:56
카푸치노,5120,2024-12-30 06:44:56
케이크,10862,2024-12-29 17:52:56
카푸치노,24105,2024-12-30 12:55:56
케이크,14828,2024-12-30 04:12:56
아메리카노,15980,2024-12-29 23:26:56
카푸치노,10271,2024-12-30 10:05:56
아메리카노,13751,2024-12-30 14:50:56
케이크,28303,2024-12-30 10:03:56
아메리카노,16390,2024-12-30 16:33:56
케이크,6577,2024-12-30 14:43:56
