menu,price,order_time
카푸치노,22565,2024-12-30 01:02:56
아메리카노,10850,2024-12-30 14:12:56
케이크,29977,2024-12-29 23:36:56
카푸치노,21763,2024-12-30 02:20:56
카푸치노,29282,2024-12-30 09:59:56
아메리카노,16794,2024-12-29 22:59:56
케이크,10444,2024-12-30 13:35:56
카푸치노,9761,2024-12-30 12:55:56
카푸치노,15525,2024-12-30 12:43:56
아메리카노,28914,2024-12-30 06:19:56
아메리카노,15745,2024-12-30 12:19:56
아메리카노,1252,2024-12-29 19:52:56
아메리카노,12034,2024-12-30 02:23:56
케이크,11629,2024-12-29 19:03:56
아메리카노,5874,2024-12-30 10:52:56
카푸치노,23319,2024-12-30 06:21:56
아메리카노,23559,2024-12-30 07:36:56
케이크,23252,2024-12-30 04:24:56
아메리카노,23720,2024-12-30 02:27:56
케이크,8167,2024-12-29 23:38:56
카푸치노,8253,2024-12-30 16:35:56
아메리카노,17271,2024-12-29 21:56:56
카푸치노,18793,2024-12-30 15:14:56
아메리카노,17653,2024-12-30 16:17:56
아메리카노,9750,2024-12-30 02:47:56
아메리카노,24522,2024-12-30 03:59:56
케이크,21225,2024-12-29 23:30:56
케이크,11394,2024-12-29 21:03:56
아메리카노,21041,2024-12-29 18:24:56
카푸치노,23282,2024-12-30 15:58:56
아메리카노,1537,2024-12-30 08:27:56
아메리카노,4908,2024-12-30 16:58:56
아메리카노,12401,2024-12-30 10:12:56
아메리카노,6654,2024-12-29 21:44:56
아메리카노,1980,2024-12-29 21:30:56
카푸치노,9466,2024-12-30 14:23:56
아메리카노,1715,2024-12-30 09:30:56
아메리카노,5922,2024-12-30 09:56:56
케이크,21471,2024-12-30 16:44:56
아메리카노,12157,2024-12-30 15:06:56
아메리카노,1904,2024-12-29 18:59:56
카푸치노,21147,2024-12-30 04:34:56
케이크,12171,2024-12-30 15:28:56
아메리카노,24800,2024-12-30 01:57:56
아메리카노,21018,2024-12-30 08:52:56
카푸치노,16446,2024-12-30 07:46:56
카푸치노,16679,2024-12-30 00:29:56
아메리카노,8526,2024-12-30 13:48:56
케이크,13403,2024-12-30 02:17:56
케이크,3578,2024-12-30 13:40:56
카푸치노,26877,2024-12-29 23:25:56
카푸치노,8871,2024-12-30 08:04:56
아메리카노,9434,2024-12-29 23:59:56
케이크,10350,2024-12-30 14:17:56
케이크,5881,2024-12-30 01:30:56
카푸치노,19187,2024-12-30 09:23:56
케이크,8545,2024-12-30 12:45:56
아메리카노,10115,2024-12-30 01:31:56
아메리카노,8860,2024-12-30 11:31:56
아메리카노,28419,2024-12-30 00:07:56
케이크,25604,2024-12-30 13:59:56
아메리카노,17840,2024-12-30 06:12:56
카푸치노,19008,2024-12-30 12:20:56
케이크,16689,2024-12-30 02:48:56
카푸치노,14837,2024-12-30 10:20:56
아메리카노,12688,2024-12-29 18:11:56
아메리카노,8126,2024-12-30 10:26:56
카푸치노,8357,2024-12-30 11:39:56
카푸치노,22494,2024-12-29 17:42:56
케이크,20085,2024-12-30 11:42:56
카푸치노,4813,2024-12-30 06:43:56
아메리카노,16284,2024-12-30 05:18:56
아메리카노,6466,2024-12-29 22:45:56
아메리카노,2319,2024-12-30 00:11:56
카푸치노,15408,2024-12-30 12:59:56
아메리카노,20290,2024-12-30 07:29:56
케이크,25784,2024-12-30 14:17:56
케이크,24304,2024-12-30 00:23:56
케이크,25739,2024-12-30 10:04:56
케이크,29121,2024-12-29 17:45:56
케이크,17957,2024-12-30 14:55:56
케이크,7288,2024-12-30 15:18:56
케이크,10119,2024-12-30 14:52:56
케이크,1604,2024-12-30 10:27:56
케이크,22590,2024-12-30 04:27:56
케이크,10474,2024-12-29 21:07:56
케이크,18391,2024-12-29 18:32:56
아메리카노,18300,2024-12-30 07:55:56
케이크,10359,2024-12-30 05:53:56
케이크,4728,2024-12-29 22:15:56
케이크,23959,2024-12-30 16:09:56
아메리카노,26139,2024-12-29 20:11:56
케이크,13296,2024-12-30 16:03:56
카푸치노,15705,2024-12-29 22:29:56
케이크,4891,2024-12-30 00:00:56
케이크,28004,2024-12-30 01:05:56
카푸치노,5900,2024-12-29 21:28:56
아메리카노,24889,2024-12-30 15:52:56
아메리카노,3613,2024-12-29 18:25:56
케이크,3564,2024-12-30 08:08:56
