menu,price,order_time
광어회,5187,2024-12-30 07:33:56
연어초밥,8580,2024-12-29 17:24:56
광어회,8579,2024-12-30 15:30:56
광어회,7682,2024-12-29 21:46:56
광어회,14756,2024-12-30 14:18:56
참치회,18397,2024-12-29 19:46:56
광어회,12922,2024-12-30 03:39:56
연어초밥,25105,2024-12-29 19:41:56
연어초밥,12346,2024-12-30 11:18:56
참치회,28010,2024-12-30 00:13:56
연어초밥,17703,2024-12-30 01:58:56
연어초밥,26182,2024-12-30 01:50:56
참치회,2099,2024-12-30 15:30:56
연어초밥,13479,2024-12-30 15:36:56
광어회,14824,2024-12-30 10:52:56
참치회,8611,2024-12-30 08:49:56
광어회,21151,2024-12-30 10:47:56
참치회,11430,2024-12-30 00:52:56
연어초밥,15221,2024-12-30 01:46:56
광어회,15127,2024-12-30 02:21:56
광어회,23289,2024-12-30 15:09:56
광어회,24653,2024-12-29 23:20:56
광어회,20988,2024-12-30 12:11:56
광어회,25636,2024-12-30 12:44:56
참치회,13401,2024-12-30 00:54:56
연어초밥,19458,2024-12-30 17:06:56
참치회,4783,2024-12-30 05:36:56
참치회,25240,2024-12-30 14:50:56
광어회,1850,2024-12-30 05:40:56
참치회,20922,2024-12-30 01:55:56
광어회,25478,2024-12-30 14:54:56
연어초밥,28151,2024-12-30 04:36:56
연어초밥,6098,2024-12-30 11:49:56
참치회,13410,2024-12-30 10:57:56
광어회,19532,2024-12-29 18:34:56
참치회,14059,2024-12-30 10:50:56
연어초밥,25774,2024-12-30 14:55:56
참치회,9843,2024-12-30 15:34:56
광어회,27955,2024-12-30 10:51:56
참치회,16696,2024-12-29 20:52:56
연어초밥,9621,2024-12-29 17:25:56
광어회,18177,2024-12-30 16:04:56
연어초밥,27232,2024-12-30 16:54:56
광어회,6780,2024-12-29 23:05:56
참치회,11370,2024-12-30 06:51:56
참치회,19220,2024-12-30 16:13:56
연어초밥,5988,2024-12-29 20:59:56
참치회,27637,2024-12-30 04:06:56
참치회,25839,2024-12-29 20:32:56
광어회,25588,2024-12-29 17:53:56
참치회,3287,2024-12-29 19:46:56
참치회,24685,2024-12-30 14:19:56
광어회,15175,2024-12-29 23:46:56
참치회,3856,2024-12-30 08:50:56
참치회,13155,2024-12-30 07:42:56
연어초밥,28261,2024-12-30 01:33:56
광어회,7305,2024-12-29 19:33:56
연어초밥,6966,2024-12-30 00:05:56
연어초밥,26703,2024-12-29 20:53:56
연어초밥,17391,2024-12-30 12:41:56
참치회,27021,2024-12-30 11:20:56
참치회,9414,2024-12-29 18:29:56
연어초밥,1333,2024-12-30 05:52:56
연어초밥,15781,2024-12-29 19:47:56
참치회,27123,2024-12-30 00:36:56
광어회,3671,2024-12-30 04:18:56
연어초밥,18373,2024-12-29 19:41:56
연어초밥,24120,2024-12-30 07:00:56
연어초밥,14454,2024-12-30 11:54:56
참치회,27441,2024-12-29 20:26:56
연어초밥,1323,2024-12-30 16:34:56
광어회,14995,2024-12-30 10:33:56
광어회,22803,2024-12-30 00:03:56
참치회,13617,2024-12-29 19:54:56
연어초밥,7001,2024-12-30 15:16:56
연어초밥,25550,2024-12-29 22:36:56
광어회,4413,2024-12-30 03:30:56
연어초밥,12559,2024-12-29 18:54:56
연어초밥,4585,2024-12-30 10:29:56
연어초밥,1543,2024-12-29 19:27:56
참치회,9421,2024-12-30 12:14:56
연어초밥,9725,2024-12-30 03:13:56
참치회,13968,2024-12-29 20:45:56
연어초밥,7793,2024-12-30 13:50:56
참치회,6879,2024-12-30 04:27:56
연어초밥,18906,2024-12-30 01:40:56
광어회,26892,2024-12-30 00:52:56
참치회,20054,2024-12-30 14:06:56
광어회,21915,2024-12-29 22:25:56
연어초밥,3313,2024-12-30 11:27:56
연어초밥,29946,2024-12-30 07:20:56
광어회,14923,2024-12-29 20:15:56
광어회,24786,2024-12-30 01:14:56
연어초밥,10541,2024-12-30 15:45:56
광어회,16133,2024-12-30 11:36:56
광어회,18329,2024-12-30 13:47:56
참치회,24313,2024-12-30 07:10:56
연어초밥,12479,2024-12-30 16:59:56
참치회,29899,2024-12-30 01:43:56
참치회,22049,2024-12-30 09:30:56
