menu,price,order_time
아메리카노,1624,2024-12-29 18:41:57
케이크,13071,2024-12-30 06:58:57
아메리카노,24977,2024-12-30 01:42:57
케이크,21383,2024-12-29 22:21:57
아메리카노,16317,2024-12-30 12:28:57
카푸치노,29737,2024-12-30 08:15:57
카푸치노,7641,2024-12-29 18:58:57
카푸치노,29962,2024-12-30 17:20:57
카푸치노,27658,2024-12-30 01:57:57
케이크,10200,2024-12-30 02:20:57
케이크,25710,2024-12-30 01:41:57
케이크,20968,2024-12-30 10:22:57
카푸치노,25455,2024-12-29 22:09:57
아메리카노,10440,2024-12-30 03:50:57
아메리카노,29165,2024-12-30 06:07:57
아메리카노,23590,2024-12-30 07:09:57
케이크,25679,2024-12-30 08:17:57
케이크,17014,2024-12-30 01:01:57
케이크,2218,2024-12-29 20:17:57
카푸치노,3736,2024-12-30 05:27:57
카푸치노,14585,2024-12-29 18:17:57
아메리카노,7148,2024-12-30 08:22:57
케이크,1551,2024-12-30 02:35:57
아메리카노,14571,2024-12-30 05:52:57
아메리카노,25683,2024-12-30 10:49:57
아메리카노,16401,2024-12-30 07:58:57
케이크,16556,2024-12-29 18:21:57
케이크,25366,2024-12-30 16:17:57
아메리카노,10483,2024-12-29 20:14:57
카푸치노,25841,2024-12-29 23:51:57
케이크,9692,2024-12-30 12:14:57
케이크,6336,2024-12-30 15:20:57
카푸치노,10759,2024-12-30 04:52:57
아메리카노,11531,2024-12-30 15:35:57
케이크,14318,2024-12-29 22:40:57
카푸치노,6902,2024-12-30 10:01:57
카푸치노,12555,2024-12-30 05:05:57
카푸치노,1274,2024-12-29 21:12:57
케이크,27731,2024-12-30 15:31:57
아메리카노,10681,2024-12-29 19:49:57
아메리카노,5395,2024-12-29 23:07:57
아메리카노,26235,2024-12-30 04:37:57
아메리카노,11710,2024-12-30 12:08:57
케이크,4063,2024-12-30 12:34:57
카푸치노,28329,2024-12-29 18:10:57
케이크,13304,2024-12-30 16:45:57
아메리카노,11455,2024-12-30 06:51:57
카푸치노,27328,2024-12-30 10:17:57
카푸치노,8332,2024-12-30 08:31:57
카푸치노,1066,2024-12-30 13:55:57
케이크,17573,2024-12-30 09:34:57
아메리카노,18744,2024-12-30 04:43:57
케이크,19892,2024-12-30 03:20:57
아메리카노,20381,2024-12-30 16:25:57
카푸치노,15940,2024-12-29 23:38:57
카푸치노,9182,2024-12-29 23:30:57
케이크,7538,2024-12-29 18:35:57
카푸치노,19317,2024-12-30 00:45:57
아메리카노,5010,2024-12-30 09:20:57
아메리카노,2007,2024-12-30 14:46:57
케이크,7732,2024-12-30 00:58:57
카푸치노,28237,2024-12-30 00:03:57
아메리카노,23470,2024-12-30 03:09:57
케이크,15491,2024-12-30 12:47:57
카푸치노,21468,2024-12-30 00:40:57
아메리카노,14602,2024-12-30 02:44:57
케이크,28606,2024-12-29 20:02:57
아메리카노,6162,2024-12-30 10:26:57
카푸치노,19423,2024-12-30 09:02:57
아메리카노,9986,2024-12-30 12:25:57
아메리카노,16316,2024-12-30 00:06:57
케이크,4497,2024-12-29 22:33:57
아메리카노,18064,2024-12-30 10:38:57
카푸치노,14862,2024-12-30 00:39:57
카푸치노,28680,2024-12-30 08:31:57
카푸치노,12565,2024-12-30 15:27:57
아메리카노,7731,2024-12-30 09:19:57
카푸치노,15275,2024-12-30 01:25:57
카푸치노,24483,2024-12-30 02:22:57
케이크,26813,2024-12-29 19:15:57
카푸치노,24352,2024-12-30 00:29:57
아메리카노,26429,2024-12-30 10:14:57
케이크,15099,2024-12-29 23:32:57
카푸치노,9718,2024-12-30 10:04:57
아메리카노,6000,2024-12-30 12:50:57
케이크,19245,2024-12-29 20:39:57
카푸치노,3276,2024-12-30 11:19:57
카푸치노,22265,2024-12-29 17:34:57
아메리카노,2920,2024-12-30 15:28:57
케이크,7940,2024-12-29 18:09:57
케이크,7950,2024-12-30 17:12:57
케이크,26838,2024-12-30 05:23:57
케이크,15017,2024-12-30 00:32:57
카푸치노,1895,2024-12-29 23:01:57
아메리카노,22741,2024-12-30 07:56:57
카푸치노,22075,2024-12-30 00:52:57
케이크,27449,2024-12-30 01:14:57
아메리카노,9051,2024-12-29 19:35:57
카푸치노,18456,2024-12-30 06:52:57
아메리카노,20909,2024-12-30 00:10:57
