menu,price,order_time
감자튀김,1940,2024-12-29 22:52:56
떡볶이,23743,2024-12-29 20:00:56
떡볶이,27148,2024-12-30 12:04:56
감자튀김,4684,2024-12-30 14:50:56
닭강정,15118,2024-12-30 00:26:56
닭강정,22329,2024-12-30 10:13:56
닭강정,23284,2024-12-30 00:50:56
감자튀김,3593,2024-12-29 22:38:56
닭강정,23037,2024-12-29 22:38:56
닭강정,8248,2024-12-30 16:50:56
떡볶이,25967,2024-12-30 07:49:56
떡볶이,10894,2024-12-30 13:07:56
감자튀김,9334,2024-12-30 13:45:56
떡볶이,15513,2024-12-30 08:42:56
닭강정,15088,2024-12-29 18:44:56
닭강정,7551,2024-12-30 16:16:56
닭강정,28909,2024-12-29 19:45:56
감자튀김,18094,2024-12-30 16:44:56
떡볶이,4068,2024-12-29 20:18:56
감자튀김,4049,2024-12-30 05:03:56
떡볶이,1617,2024-12-30 08:30:56
감자튀김,16280,2024-12-29 19:30:56
닭강정,5923,2024-12-29 22:05:56
감자튀김,1574,2024-12-30 12:18:56
떡볶이,24766,2024-12-30 05:05:56
감자튀김,27317,2024-12-30 16:52:56
닭강정,15959,2024-12-30 04:09:56
닭강정,27639,2024-12-30 06:03:56
떡볶이,5946,2024-12-29 17:50:56
떡볶이,5493,2024-12-29 17:28:56
감자튀김,19298,2024-12-30 01:05:56
떡볶이,1523,2024-12-30 14:40:56
감자튀김,1792,2024-12-30 06:26:56
감자튀김,8355,2024-12-30 12:35:56
닭강정,23906,2024-12-30 02:13:56
떡볶이,2973,2024-12-30 05:10:56
닭강정,10938,2024-12-29 18:02:56
감자튀김,19697,2024-12-30 16:04:56
떡볶이,11001,2024-12-29 20:20:56
닭강정,23187,2024-12-29 22:45:56
감자튀김,28517,2024-12-30 13:59:56
떡볶이,1796,2024-12-30 15:11:56
감자튀김,7203,2024-12-30 04:20:56
떡볶이,9892,2024-12-30 12:00:56
떡볶이,25198,2024-12-29 18:06:56
떡볶이,18172,2024-12-30 04:26:56
떡볶이,6622,2024-12-30 12:18:56
떡볶이,13701,2024-12-30 11:17:56
감자튀김,8278,2024-12-30 07:48:56
떡볶이,15450,2024-12-30 00:04:56
감자튀김,11174,2024-12-30 06:20:56
떡볶이,14462,2024-12-30 04:55:56
떡볶이,14425,2024-12-29 23:39:56
떡볶이,20163,2024-12-30 10:34:56
닭강정,29538,2024-12-30 10:33:56
닭강정,23270,2024-12-30 02:19:56
감자튀김,26114,2024-12-30 09:43:56
떡볶이,12876,2024-12-30 05:40:56
떡볶이,22342,2024-12-30 04:33:56
닭강정,24186,2024-12-30 06:11:56
떡볶이,20041,2024-12-30 14:19:56
떡볶이,5156,2024-12-30 10:28:56
닭강정,26986,2024-12-30 16:57:56
감자튀김,10515,2024-12-30 06:46:56
떡볶이,23773,2024-12-30 07:19:56
감자튀김,20464,2024-12-30 11:51:56
떡볶이,23034,2024-12-30 05:18:56
닭강정,9371,2024-12-30 12:46:56
떡볶이,26546,2024-12-29 18:54:56
닭강정,6929,2024-12-30 05:35:56
감자튀김,15961,2024-12-30 13:57:56
닭강정,27849,2024-12-30 10:59:56
감자튀김,18033,2024-12-29 19:53:56
닭강정,3278,2024-12-30 00:51:56
닭강정,5166,2024-12-29 20:50:56
감자튀김,2296,2024-12-30 04:48:56
떡볶이,7871,2024-12-30 09:26:56
감자튀김,28323,2024-12-30 09:07:56
감자튀김,20219,2024-12-30 08:08:56
떡볶이,21364,2024-12-30 15:15:56
떡볶이,21806,2024-12-30 00:10:56
떡볶이,27432,2024-12-29 23:49:56
떡볶이,17137,2024-12-29 21:33:56
감자튀김,3432,2024-12-30 02:45:56
떡볶이,19396,2024-12-30 15:08:56
감자튀김,12842,2024-12-29 17:45:56
떡볶이,12501,2024-12-30 08:38:56
떡볶이,26256,2024-12-30 04:10:56
떡볶이,13316,2024-12-30 09:52:56
감자튀김,19676,2024-12-30 07:40:56
떡볶이,10861,2024-12-30 15:46:56
감자튀김,25170,2024-12-29 18:43:56
떡볶이,1033,2024-12-30 01:01:56
닭강정,7395,2024-12-30 07:24:56
떡볶이,18878,2024-12-29 19:05:56
닭강정,17650,2024-12-30 00:51:56
닭강정,2839,2024-12-30 08:32:56
닭강정,28946,2024-12-30 16:14:56
닭강정,3353,2024-12-30 02:22:56
떡볶이,21385,2024-12-29 21:04:56
