menu,price,order_time
카푸치노,17438,2024-12-30 14:10:57
케이크,15385,2024-12-30 02:13:57
아메리카노,2317,2024-12-30 09:38:57
아메리카노,24428,2024-12-30 16:51:57
케이크,1010,2024-12-30 04:20:57
카푸치노,13838,2024-12-29 19:01:57
케이크,3447,2024-12-29 22:18:57
카푸치노,26792,2024-12-30 07:19:57
아메리카노,26959,2024-12-30 03:52:57
케이크,15487,2024-12-30 06:37:57
카푸치노,8046,2024-12-29 20:36:57
케이크,23870,2024-12-30 06:00:57
아메리카노,23041,2024-12-30 04:07:57
케이크,5231,2024-12-30 00:47:57
카푸치노,24773,2024-12-29 22:42:57
카푸치노,9480,2024-12-30 08:36:57
케이크,19563,2024-12-30 07:44:57
아메리카노,14248,2024-12-30 04:03:57
아메리카노,7652,2024-12-30 02:38:57
케이크,13227,2024-12-29 22:57:57
카푸치노,9956,2024-12-30 06:15:57
케이크,14437,2024-12-29 21:09:57
아메리카노,26932,2024-12-29 19:20:57
케이크,18194,2024-12-29 18:38:57
카푸치노,25025,2024-12-30 12:35:57
카푸치노,29498,2024-12-30 12:56:57
케이크,10949,2024-12-30 10:07:57
카푸치노,19330,2024-12-30 06:30:57
아메리카노,10077,2024-12-29 21:46:57
카푸치노,15012,2024-12-30 08:37:57
카푸치노,18340,2024-12-29 17:37:57
케이크,21187,2024-12-29 21:01:57
카푸치노,29862,2024-12-30 03:59:57
케이크,13074,2024-12-30 03:57:57
카푸치노,12527,2024-12-29 21:00:57
아메리카노,6245,2024-12-30 14:29:57
카푸치노,25288,2024-12-30 01:37:57
케이크,9126,2024-12-30 09:30:57
케이크,25071,2024-12-30 10:03:57
케이크,13991,2024-12-29 18:08:57
카푸치노,27863,2024-12-29 21:58:57
카푸치노,26792,2024-12-29 20:56:57
카푸치노,23332,2024-12-30 04:33:57
케이크,11952,2024-12-30 01:31:57
케이크,10814,2024-12-30 14:04:57
아메리카노,24878,2024-12-30 02:58:57
아메리카노,4056,2024-12-30 15:14:57
아메리카노,21948,2024-12-30 07:55:57
카푸치노,2592,2024-12-30 02:13:57
카푸치노,5564,2024-12-30 15:03:57
아메리카노,2058,2024-12-30 15:56:57
케이크,5851,2024-12-30 09:59:57
케이크,25914,2024-12-30 06:58:57
케이크,9715,2024-12-29 22:45:57
아메리카노,15414,2024-12-30 05:53:57
케이크,17558,2024-12-30 16:59:57
아메리카노,13806,2024-12-29 21:42:57
아메리카노,18531,2024-12-30 16:56:57
케이크,1700,2024-12-29 22:51:57
케이크,9226,2024-12-30 07:11:57
아메리카노,8739,2024-12-29 20:42:57
카푸치노,21267,2024-12-29 20:41:57
아메리카노,7567,2024-12-29 23:58:57
아메리카노,12591,2024-12-30 14:03:57
아메리카노,13766,2024-12-29 22:08:57
아메리카노,16486,2024-12-29 19:06:57
케이크,27393,2024-12-30 07:06:57
케이크,12151,2024-12-30 12:54:57
아메리카노,8775,2024-12-29 17:39:57
케이크,26935,2024-12-30 07:25:57
케이크,23000,2024-12-30 05:58:57
케이크,6263,2024-12-30 16:48:57
아메리카노,1708,2024-12-30 14:09:57
케이크,5549,2024-12-29 17:51:57
아메리카노,2164,2024-12-30 03:07:57
아메리카노,8315,2024-12-30 02:08:57
케이크,29776,2024-12-30 17:06:57
케이크,4223,2024-12-29 23:06:57
카푸치노,17197,2024-12-30 00:19:57
케이크,26241,2024-12-30 00:20:57
아메리카노,28984,2024-12-29 17:49:57
케이크,17820,2024-12-29 17:51:57
아메리카노,18698,2024-12-29 23:36:57
아메리카노,21555,2024-12-30 15:19:57
케이크,2809,2024-12-30 03:44:57
케이크,22180,2024-12-29 19:16:57
아메리카노,6752,2024-12-30 04:54:57
케이크,20167,2024-12-29 20:40:57
케이크,6898,2024-12-30 09:46:57
카푸치노,21927,2024-12-29 20:52:57
카푸치노,17254,2024-12-30 12:36:57
케이크,5228,2024-12-29 22:14:57
케이크,25534,2024-12-30 04:05:57
케이크,10708,2024-12-29 21:28:57
카푸치노,8806,2024-12-30 13:31:57
아메리카노,25098,2024-12-30 00:37:57
카푸치노,1080,2024-12-30 08:29:57
카푸치노,5187,2024-12-30 13:09:57
카푸치노,26579,2024-12-30 02:59:57
케이크,17176,2024-12-30 13:54:57
