menu,price,order_time
만두,12041,2024-12-30 08:46:56
떡볶이,8940,2024-12-30 07:14:56
떡볶이,7634,2024-12-30 02:45:56
만두,26925,2024-12-30 01:57:56
김밥,18333,2024-12-30 07:46:56
만두,11568,2024-12-29 20:51:56
떡볶이,6317,2024-12-30 12:49:56
만두,4547,2024-12-29 21:57:56
떡볶이,22424,2024-12-30 03:47:56
김밥,7850,2024-12-30 01:52:56
김밥,17470,2024-12-29 20:37:56
만두,11424,2024-12-29 23:17:56
김밥,13336,2024-12-30 02:05:56
만두,6680,2024-12-29 20:10:56
만두,10159,2024-12-30 15:48:56
떡볶이,2087,2024-12-30 01:55:56
떡볶이,25759,2024-12-30 13:46:56
만두,10311,2024-12-30 14:39:56
떡볶이,13885,2024-12-30 05:37:56
김밥,21463,2024-12-29 18:20:56
떡볶이,23331,2024-12-30 03:52:56
떡볶이,1143,2024-12-30 15:01:56
떡볶이,11546,2024-12-30 09:35:56
떡볶이,2334,2024-12-30 13:01:56
만두,1878,2024-12-29 20:05:56
만두,3051,2024-12-29 17:28:56
떡볶이,24976,2024-12-30 05:56:56
만두,21165,2024-12-30 04:36:56
떡볶이,22868,2024-12-30 00:34:56
떡볶이,23473,2024-12-29 19:03:56
떡볶이,25135,2024-12-30 01:53:56
김밥,12785,2024-12-30 08:18:56
떡볶이,7449,2024-12-30 11:05:56
김밥,21627,2024-12-30 16:46:56
만두,20633,2024-12-29 20:01:56
만두,15408,2024-12-30 03:27:56
김밥,14781,2024-12-29 23:44:56
떡볶이,25790,2024-12-30 01:54:56
떡볶이,16244,2024-12-30 01:34:56
만두,8701,2024-12-30 09:33:56
떡볶이,20945,2024-12-30 12:51:56
만두,24690,2024-12-29 23:06:56
만두,7450,2024-12-30 11:40:56
만두,15206,2024-12-29 17:57:56
김밥,3568,2024-12-30 08:18:56
김밥,24821,2024-12-30 03:26:56
떡볶이,12553,2024-12-30 16:30:56
김밥,21783,2024-12-30 02:55:56
만두,25340,2024-12-30 01:28:56
떡볶이,4406,2024-12-29 22:06:56
만두,13364,2024-12-29 21:47:56
만두,17909,2024-12-30 05:04:56
떡볶이,18085,2024-12-30 13:45:56
김밥,21021,2024-12-29 21:08:56
떡볶이,3195,2024-12-30 03:46:56
만두,11023,2024-12-30 14:30:56
만두,9578,2024-12-30 02:33:56
떡볶이,12972,2024-12-29 22:07:56
만두,15993,2024-12-30 10:39:56
김밥,15257,2024-12-29 19:19:56
만두,19079,2024-12-29 22:14:56
김밥,22370,2024-12-30 07:27:56
김밥,27421,2024-12-30 12:14:56
김밥,22325,2024-12-30 12:50:56
김밥,11486,2024-12-30 12:18:56
떡볶이,16087,2024-12-29 18:45:56
떡볶이,11058,2024-12-30 00:25:56
김밥,9479,2024-12-30 15:23:56
떡볶이,2789,2024-12-30 09:29:56
만두,25370,2024-12-30 05:15:56
만두,28518,2024-12-30 10:02:56
만두,21110,2024-12-30 07:05:56
김밥,16412,2024-12-30 02:18:56
김밥,14251,2024-12-30 07:02:56
떡볶이,21036,2024-12-30 00:09:56
만두,18808,2024-12-30 01:57:56
떡볶이,1794,2024-12-30 03:19:56
김밥,11292,2024-12-30 01:43:56
김밥,19752,2024-12-30 11:01:56
김밥,15640,2024-12-30 00:46:56
떡볶이,23735,2024-12-30 13:38:56
김밥,7385,2024-12-30 07:31:56
김밥,24238,2024-12-30 08:01:56
떡볶이,24506,2024-12-30 04:40:56
떡볶이,6890,2024-12-30 11:46:56
만두,24257,2024-12-30 02:20:56
떡볶이,1300,2024-12-30 03:18:56
떡볶이,3354,2024-12-29 21:46:56
만두,11516,2024-12-30 16:56:56
떡볶이,26212,2024-12-30 08:57:56
떡볶이,5263,2024-12-29 20:16:56
떡볶이,5567,2024-12-30 16:12:56
만두,20008,2024-12-30 10:41:56
김밥,29242,2024-12-30 03:54:56
만두,23830,2024-12-30 11:25:56
만두,1858,2024-12-30 12:18:56
떡볶이,28234,2024-12-29 21:48:56
만두,18708,2024-12-30 03:25:56
떡볶이,2165,2024-12-30 07:05:56
떡볶이,24744,2024-12-30 10:07:56
