menu,price,order_time
케이크,4789,2024-12-29 23:05:56
카푸치노,19607,2024-12-29 22:24:56
케이크,27234,2024-12-29 20:30:56
카푸치노,1688,2024-12-29 21:27:56
카푸치노,28460,2024-12-29 21:59:56
케이크,22183,2024-12-30 13:09:56
아메리카노,15846,2024-12-29 20:56:56
케이크,3959,2024-12-30 02:44:56
카푸치노,26948,2024-12-30 08:40:56
카푸치노,19102,2024-12-30 14:54:56
카푸치노,15800,2024-12-30 01:29:56
케이크,28731,2024-12-30 06:36:56
카푸치노,24508,2024-12-30 03:05:56
케이크,4869,2024-12-29 21:52:56
카푸치노,7478,2024-12-30 05:52:56
아메리카노,2108,2024-12-30 00:29:56
아메리카노,26815,2024-12-30 12:07:56
카푸치노,2725,2024-12-30 02:01:56
카푸치노,24239,2024-12-30 15:17:56
케이크,6497,2024-12-30 03:21:56
카푸치노,5567,2024-12-30 16:53:56
아메리카노,27316,2024-12-30 00:16:56
케이크,6930,2024-12-30 10:21:56
케이크,25501,2024-12-30 05:47:56
케이크,5604,2024-12-30 00:28:56
케이크,12957,2024-12-30 16:25:56
아메리카노,18501,2024-12-30 05:19:56
아메리카노,20350,2024-12-29 20:31:56
아메리카노,6759,2024-12-29 21:56:56
카푸치노,16229,2024-12-30 03:36:56
아메리카노,27262,2024-12-30 15:11:56
카푸치노,15697,2024-12-29 20:20:56
케이크,28461,2024-12-30 15:14:56
케이크,7547,2024-12-30 12:01:56
아메리카노,27391,2024-12-30 01:11:56
아메리카노,17034,2024-12-29 23:50:56
아메리카노,25881,2024-12-30 09:09:56
케이크,15100,2024-12-30 15:27:56
케이크,6343,2024-12-30 08:35:56
카푸치노,15143,2024-12-30 04:30:56
아메리카노,4653,2024-12-29 21:45:56
카푸치노,23327,2024-12-30 13:32:56
아메리카노,28409,2024-12-30 08:47:56
아메리카노,20521,2024-12-30 06:17:56
아메리카노,10781,2024-12-30 09:03:56
아메리카노,3531,2024-12-30 07:34:56
카푸치노,11136,2024-12-29 22:02:56
카푸치노,27186,2024-12-30 17:17:56
아메리카노,10613,2024-12-30 02:24:56
아메리카노,12354,2024-12-30 09:16:56
아메리카노,18461,2024-12-30 06:03:56
카푸치노,1849,2024-12-29 18:46:56
카푸치노,19741,2024-12-29 21:20:56
아메리카노,18680,2024-12-29 21:58:56
카푸치노,27457,2024-12-30 16:10:56
아메리카노,20639,2024-12-30 05:12:56
케이크,1498,2024-12-30 06:46:56
카푸치노,29149,2024-12-30 14:29:56
카푸치노,16626,2024-12-30 08:37:56
아메리카노,6536,2024-12-30 12:11:56
카푸치노,13038,2024-12-30 15:38:56
케이크,25148,2024-12-29 20:33:56
아메리카노,19105,2024-12-29 20:42:56
케이크,3904,2024-12-29 20:02:56
케이크,5425,2024-12-30 06:04:56
케이크,27815,2024-12-29 20:21:56
케이크,4895,2024-12-30 05:29:56
카푸치노,10483,2024-12-30 08:07:56
아메리카노,25201,2024-12-30 01:09:56
카푸치노,28827,2024-12-29 19:54:56
아메리카노,20046,2024-12-30 15:01:56
케이크,16266,2024-12-29 17:22:56
케이크,14610,2024-12-29 18:48:56
카푸치노,23380,2024-12-30 02:16:56
카푸치노,20761,2024-12-30 01:33:56
아메리카노,2079,2024-12-29 20:51:56
케이크,3588,2024-12-29 23:42:56
아메리카노,23118,2024-12-30 12:28:56
케이크,29326,2024-12-30 12:02:56
카푸치노,1381,2024-12-29 21:56:56
카푸치노,18566,2024-12-30 02:47:56
카푸치노,13252,2024-12-30 00:36:56
카푸치노,4219,2024-12-30 12:27:56
카푸치노,13827,2024-12-30 11:23:56
케이크,16806,2024-12-30 11:36:56
아메리카노,27568,2024-12-30 06:56:56
아메리카노,21602,2024-12-30 00:03:56
아메리카노,15772,2024-12-29 19:37:56
케이크,13518,2024-12-30 08:13:56
카푸치노,17560,2024-12-29 23:32:56
카푸치노,3701,2024-12-30 11:46:56
카푸치노,22483,2024-12-29 20:33:56
케이크,3723,2024-12-30 01:07:56
케이크,16222,2024-12-30 14:17:56
아메리카노,8256,2024-12-30 15:53:56
아메리카노,8899,2024-12-30 12:18:56
케이크,19824,2024-12-29 17:44:56
아메리카노,15163,2024-12-30 06:31:56
아메리카노,6189,2024-12-30 10:10:56
카푸치노,16251,2024-12-29 23:57:56
