menu,price,order_time
카푸치노,23726,2024-12-30 15:48:56
아메리카노,9365,2024-12-29 23:55:56
아메리카노,16012,2024-12-30 12:33:56
케이크,20404,2024-12-30 08:11:56
아메리카노,1514,2024-12-29 18:11:56
케이크,23186,2024-12-30 04:43:56
카푸치노,18700,2024-12-29 17:57:56
케이크,10683,2024-12-30 05:27:56
아메리카노,16446,2024-12-29 17:42:56
케이크,6825,2024-12-29 22:37:56
카푸치노,20529,2024-12-29 20:12:56
아메리카노,7246,2024-12-30 01:34:56
케이크,29178,2024-12-30 04:52:56
카푸치노,23603,2024-12-30 11:07:56
케이크,8518,2024-12-30 01:17:56
카푸치노,16785,2024-12-30 00:47:56
아메리카노,29449,2024-12-30 03:23:56
케이크,15928,2024-12-30 08:12:56
케이크,15654,2024-12-30 01:18:56
아메리카노,2372,2024-12-30 08:05:56
아메리카노,10621,2024-12-30 10:47:56
카푸치노,15011,2024-12-29 17:56:56
카푸치노,15816,2024-12-29 19:46:56
아메리카노,12644,2024-12-30 03:20:56
케이크,11593,2024-12-29 23:42:56
카푸치노,25773,2024-12-29 19:12:56
카푸치노,28900,2024-12-29 19:33:56
케이크,28366,2024-12-30 01:10:56
케이크,19271,2024-12-29 18:12:56
카푸치노,1230,2024-12-30 15:44:56
카푸치노,21498,2024-12-30 09:16:56
케이크,23314,2024-12-30 12:21:56
카푸치노,18658,2024-12-29 20:12:56
아메리카노,12368,2024-12-29 22:06:56
케이크,21505,2024-12-30 12:57:56
아메리카노,7561,2024-12-30 02:18:56
케이크,14079,2024-12-29 19:45:56
카푸치노,10104,2024-12-29 21:15:56
아메리카노,16019,2024-12-30 12:07:56
아메리카노,24829,2024-12-30 12:55:56
아메리카노,16753,2024-12-29 21:18:56
아메리카노,5036,2024-12-30 14:42:56
케이크,24217,2024-12-30 01:12:56
케이크,12453,2024-12-30 09:07:56
케이크,11237,2024-12-30 00:48:56
케이크,18030,2024-12-29 21:02:56
카푸치노,5226,2024-12-30 06:43:56
카푸치노,15647,2024-12-29 17:25:56
케이크,29766,2024-12-30 03:59:56
케이크,13577,2024-12-30 10:28:56
카푸치노,8180,2024-12-29 20:18:56
케이크,11102,2024-12-30 14:39:56
아메리카노,25335,2024-12-30 00:49:56
아메리카노,4026,2024-12-30 17:07:56
아메리카노,8700,2024-12-30 08:04:56
케이크,5182,2024-12-29 20:33:56
케이크,25545,2024-12-30 06:33:56
아메리카노,29737,2024-12-29 23:37:56
케이크,22271,2024-12-30 13:01:56
아메리카노,22856,2024-12-30 16:49:56
케이크,18108,2024-12-30 11:55:56
아메리카노,29770,2024-12-29 23:33:56
케이크,29213,2024-12-30 08:09:56
카푸치노,4273,2024-12-30 01:21:56
카푸치노,18073,2024-12-30 03:02:56
카푸치노,9011,2024-12-30 06:41:56
카푸치노,8998,2024-12-30 04:17:56
카푸치노,7008,2024-12-30 04:54:56
케이크,4093,2024-12-30 10:55:56
카푸치노,11498,2024-12-30 05:44:56
카푸치노,1053,2024-12-29 18:33:56
카푸치노,3346,2024-12-29 17:55:56
케이크,22694,2024-12-30 06:54:56
카푸치노,22740,2024-12-30 10:04:56
카푸치노,2522,2024-12-29 23:23:56
아메리카노,3111,2024-12-30 03:12:56
카푸치노,3141,2024-12-30 16:29:56
카푸치노,11799,2024-12-30 15:25:56
아메리카노,5811,2024-12-30 15:43:56
카푸치노,7567,2024-12-30 06:31:56
아메리카노,28990,2024-12-30 10:53:56
아메리카노,12528,2024-12-29 20:47:56
케이크,16335,2024-12-29 22:39:56
카푸치노,12028,2024-12-30 15:00:56
아메리카노,15275,2024-12-30 07:29:56
케이크,3953,2024-12-30 17:13:56
카푸치노,17493,2024-12-29 20:58:56
카푸치노,27090,2024-12-30 05:40:56
케이크,17054,2024-12-29 19:21:56
아메리카노,26108,2024-12-30 01:35:56
케이크,23577,2024-12-30 02:58:56
카푸치노,5859,2024-12-30 17:06:56
아메리카노,26785,2024-12-29 18:07:56
카푸치노,12284,2024-12-30 14:30:56
카푸치노,19677,2024-12-30 03:01:56
카푸치노,29560,2024-12-30 00:20:56
아메리카노,9505,2024-12-29 23:21:56
케이크,27134,2024-12-30 04:35:56
케이크,14226,2024-12-29 19:55:56
케이크,24694,2024-12-30 01:00:56
