menu,price,order_time
떡볶이,25351,2024-12-30 06:25:56
떡볶이,4619,2024-12-29 19:29:56
떡볶이,9723,2024-12-30 04:10:56
김밥,3464,2024-12-29 18:17:56
만두,12681,2024-12-29 21:48:56
만두,23370,2024-12-30 13:58:56
떡볶이,15941,2024-12-29 21:05:56
만두,7583,2024-12-30 12:38:56
떡볶이,23207,2024-12-30 11:16:56
김밥,23059,2024-12-30 00:43:56
만두,20623,2024-12-30 03:53:56
만두,7029,2024-12-30 05:17:56
만두,24549,2024-12-29 21:46:56
만두,15399,2024-12-30 02:49:56
김밥,1388,2024-12-30 11:10:56
떡볶이,3290,2024-12-29 18:51:56
김밥,23336,2024-12-30 02:15:56
만두,18675,2024-12-30 16:30:56
만두,26596,2024-12-30 03:30:56
떡볶이,8540,2024-12-29 18:39:56
만두,16599,2024-12-30 13:06:56
김밥,16083,2024-12-30 02:57:56
만두,25109,2024-12-30 11:41:56
떡볶이,8589,2024-12-29 18:00:56
떡볶이,16586,2024-12-30 00:22:56
만두,11469,2024-12-29 17:27:56
김밥,25409,2024-12-30 03:43:56
만두,21381,2024-12-30 08:01:56
김밥,28900,2024-12-30 06:48:56
김밥,20498,2024-12-30 10:59:56
김밥,26763,2024-12-29 19:52:56
떡볶이,1418,2024-12-30 13:28:56
김밥,21593,2024-12-29 23:36:56
김밥,25603,2024-12-30 16:25:56
떡볶이,6823,2024-12-29 20:53:56
김밥,23973,2024-12-29 18:35:56
만두,8445,2024-12-30 03:08:56
만두,22620,2024-12-30 10:18:56
떡볶이,3842,2024-12-29 20:09:56
떡볶이,1428,2024-12-30 06:16:56
떡볶이,12325,2024-12-29 19:20:56
김밥,17085,2024-12-30 05:13:56
김밥,15271,2024-12-29 19:03:56
만두,20912,2024-12-30 14:01:56
김밥,17943,2024-12-30 10:37:56
김밥,4351,2024-12-30 16:08:56
만두,12824,2024-12-30 05:48:56
김밥,15949,2024-12-30 12:26:56
떡볶이,25788,2024-12-30 08:54:56
떡볶이,28208,2024-12-30 07:50:56
떡볶이,23157,2024-12-30 00:43:56
떡볶이,14579,2024-12-29 17:46:56
김밥,23232,2024-12-29 23:06:56
김밥,13977,2024-12-30 13:42:56
만두,15386,2024-12-30 13:47:56
떡볶이,15665,2024-12-30 09:05:56
떡볶이,15264,2024-12-30 07:04:56
떡볶이,14149,2024-12-30 17:03:56
만두,24292,2024-12-30 05:21:56
떡볶이,10337,2024-12-29 21:14:56
떡볶이,16077,2024-12-29 19:57:56
김밥,17449,2024-12-30 14:55:56
만두,6760,2024-12-30 16:42:56
만두,8694,2024-12-29 18:19:56
만두,8222,2024-12-29 19:09:56
만두,19665,2024-12-30 08:56:56
떡볶이,28811,2024-12-30 03:15:56
만두,12084,2024-12-29 23:10:56
떡볶이,6310,2024-12-30 07:00:56
만두,14087,2024-12-29 23:46:56
떡볶이,14925,2024-12-30 09:17:56
김밥,25106,2024-12-30 04:04:56
김밥,21372,2024-12-30 00:40:56
떡볶이,1564,2024-12-30 06:29:56
김밥,23727,2024-12-30 14:45:56
만두,10939,2024-12-30 01:10:56
만두,20155,2024-12-29 23:03:56
만두,5774,2024-12-30 05:48:56
김밥,18932,2024-12-30 06:45:56
만두,11132,2024-12-30 00:15:56
떡볶이,23881,2024-12-29 17:47:56
김밥,4883,2024-12-30 04:06:56
만두,27368,2024-12-30 17:10:56
김밥,14872,2024-12-30 14:31:56
떡볶이,10579,2024-12-29 23:46:56
떡볶이,23054,2024-12-30 02:20:56
김밥,6660,2024-12-29 22:46:56
김밥,16175,2024-12-30 07:43:56
떡볶이,5725,2024-12-29 20:26:56
김밥,18726,2024-12-29 19:06:56
만두,3316,2024-12-30 08:57:56
떡볶이,10451,2024-12-29 17:53:56
떡볶이,10209,2024-12-30 11:33:56
만두,13963,2024-12-30 10:30:56
만두,8947,2024-12-30 01:48:56
떡볶이,20796,2024-12-29 21:10:56
떡볶이,26339,2024-12-29 21:14:56
김밥,27918,2024-12-30 08:16:56
김밥,4050,2024-12-30 05:35:56
만두,2030,2024-12-30 06:08:56
