menu,price,order_time
김밥,11000,2024-12-30 00:39:57
만두,26715,2024-12-29 22:05:57
김밥,15617,2024-12-30 15:06:57
만두,27229,2024-12-29 19:53:57
떡볶이,2439,2024-12-29 21:42:57
만두,8243,2024-12-29 18:07:57
만두,28469,2024-12-30 00:56:57
김밥,29306,2024-12-30 07:53:57
만두,13754,2024-12-30 06:45:57
김밥,10907,2024-12-30 08:41:57
김밥,21706,2024-12-30 05:25:57
떡볶이,12103,2024-12-30 08:23:57
김밥,19513,2024-12-29 20:13:57
만두,15163,2024-12-30 12:25:57
만두,27451,2024-12-30 06:06:57
만두,19809,2024-12-30 05:54:57
김밥,11479,2024-12-30 16:16:57
김밥,24214,2024-12-30 15:27:57
김밥,2692,2024-12-30 07:28:57
떡볶이,5265,2024-12-29 21:19:57
만두,14015,2024-12-29 17:55:57
김밥,28028,2024-12-30 09:22:57
만두,20410,2024-12-30 00:28:57
김밥,20860,2024-12-30 08:57:57
만두,12121,2024-12-29 18:26:57
김밥,21120,2024-12-30 09:46:57
만두,19130,2024-12-29 20:15:57
김밥,19675,2024-12-29 20:25:57
김밥,29193,2024-12-29 18:36:57
김밥,11736,2024-12-30 10:56:57
김밥,17827,2024-12-29 23:51:57
떡볶이,16127,2024-12-29 20:24:57
만두,12122,2024-12-30 15:25:57
떡볶이,8207,2024-12-30 17:06:57
김밥,15645,2024-12-30 01:02:57
만두,29168,2024-12-30 06:22:57
만두,12930,2024-12-30 04:40:57
떡볶이,22904,2024-12-30 14:35:57
떡볶이,14923,2024-12-30 00:54:57
떡볶이,15568,2024-12-29 20:48:57
김밥,5559,2024-12-30 03:24:57
김밥,28778,2024-12-30 15:28:57
김밥,29044,2024-12-29 18:35:57
김밥,7869,2024-12-30 00:28:57
만두,5133,2024-12-29 22:50:57
만두,12908,2024-12-29 23:26:57
김밥,4917,2024-12-29 23:23:57
만두,13005,2024-12-30 01:35:57
김밥,18623,2024-12-30 02:25:57
김밥,23224,2024-12-30 11:05:57
떡볶이,21320,2024-12-30 05:27:57
김밥,16717,2024-12-30 00:21:57
만두,14792,2024-12-30 16:24:57
만두,9470,2024-12-30 06:46:57
김밥,4438,2024-12-30 13:40:57
떡볶이,29291,2024-12-30 11:20:57
김밥,29337,2024-12-29 19:24:57
떡볶이,19500,2024-12-30 16:54:57
김밥,18845,2024-12-29 22:09:57
만두,8238,2024-12-30 00:50:57
떡볶이,21761,2024-12-29 22:54:57
떡볶이,1499,2024-12-30 17:00:57
만두,29150,2024-12-29 22:22:57
김밥,5542,2024-12-30 00:30:57
떡볶이,22777,2024-12-30 03:36:57
김밥,8936,2024-12-30 00:28:57
김밥,5227,2024-12-30 05:30:57
만두,20741,2024-12-30 08:54:57
떡볶이,1836,2024-12-30 15:01:57
김밥,8165,2024-12-30 05:45:57
떡볶이,11189,2024-12-29 19:30:57
떡볶이,25410,2024-12-30 15:03:57
김밥,9160,2024-12-30 15:43:57
떡볶이,18327,2024-12-29 21:51:57
떡볶이,27840,2024-12-30 10:37:57
만두,11525,2024-12-30 07:15:57
떡볶이,9613,2024-12-30 00:05:57
떡볶이,14947,2024-12-30 03:18:57
떡볶이,20429,2024-12-30 11:51:57
만두,26952,2024-12-30 09:09:57
만두,16320,2024-12-30 10:20:57
만두,11918,2024-12-30 12:30:57
떡볶이,17505,2024-12-30 07:50:57
만두,1745,2024-12-29 21:50:57
떡볶이,22679,2024-12-30 09:04:57
떡볶이,5499,2024-12-30 07:31:57
만두,29687,2024-12-30 02:44:57
김밥,26393,2024-12-29 18:20:57
떡볶이,29645,2024-12-29 21:32:57
김밥,21006,2024-12-30 04:56:57
만두,22904,2024-12-30 06:37:57
떡볶이,16495,2024-12-30 06:20:57
떡볶이,10998,2024-12-30 02:23:57
만두,8020,2024-12-30 11:45:57
김밥,28322,2024-12-30 01:17:57
떡볶이,24681,2024-12-30 00:06:57
김밥,15760,2024-12-29 18:17:57
김밥,25066,2024-12-30 06:01:57
김밥,17280,2024-12-30 01:57:57
김밥,1371,2024-12-29 21:09:57
