menu,price,order_time
카푸치노,13882,2024-12-29 20:26:56
아메리카노,20640,2024-12-29 20:46:56
케이크,29941,2024-12-30 03:42:56
카푸치노,8733,2024-12-30 01:33:56
케이크,23234,2024-12-30 04:11:56
카푸치노,25300,2024-12-30 08:17:56
카푸치노,25509,2024-12-29 23:44:56
카푸치노,28910,2024-12-29 21:25:56
아메리카노,7703,2024-12-30 03:40:56
아메리카노,22480,2024-12-30 13:01:56
카푸치노,18536,2024-12-29 19:02:56
카푸치노,19440,2024-12-29 20:26:56
아메리카노,7335,2024-12-30 05:25:56
케이크,25567,2024-12-30 04:00:56
케이크,17859,2024-12-29 20:16:56
케이크,18127,2024-12-30 08:13:56
카푸치노,13005,2024-12-30 04:27:56
카푸치노,26374,2024-12-30 16:24:56
케이크,24310,2024-12-30 09:57:56
아메리카노,23873,2024-12-29 20:20:56
카푸치노,26532,2024-12-30 02:47:56
아메리카노,11242,2024-12-30 14:22:56
아메리카노,22456,2024-12-30 16:04:56
아메리카노,29852,2024-12-30 13:13:56
카푸치노,13157,2024-12-30 12:12:56
카푸치노,13214,2024-12-30 06:34:56
케이크,25097,2024-12-30 02:58:56
케이크,17372,2024-12-30 12:16:56
아메리카노,19278,2024-12-30 12:37:56
케이크,27297,2024-12-29 17:34:56
카푸치노,25595,2024-12-30 16:49:56
카푸치노,19099,2024-12-29 23:24:56
카푸치노,19498,2024-12-30 15:45:56
케이크,12903,2024-12-30 02:04:56
케이크,22842,2024-12-30 02:17:56
카푸치노,1936,2024-12-29 21:16:56
아메리카노,23749,2024-12-29 18:33:56
케이크,15469,2024-12-29 18:31:56
카푸치노,29097,2024-12-29 17:55:56
케이크,22680,2024-12-30 08:15:56
카푸치노,27971,2024-12-30 08:21:56
케이크,7523,2024-12-30 05:12:56
케이크,3397,2024-12-30 10:49:56
아메리카노,19510,2024-12-30 17:08:56
케이크,23171,2024-12-30 10:34:56
케이크,7012,2024-12-30 11:31:56
아메리카노,10856,2024-12-30 12:11:56
아메리카노,2240,2024-12-30 09:30:56
카푸치노,21911,2024-12-29 22:58:56
아메리카노,17636,2024-12-30 05:45:56
아메리카노,9671,2024-12-29 19:39:56
아메리카노,18771,2024-12-29 20:30:56
케이크,6254,2024-12-29 23:51:56
아메리카노,9147,2024-12-30 09:58:56
카푸치노,14421,2024-12-30 12:57:56
아메리카노,7967,2024-12-30 10:47:56
아메리카노,11792,2024-12-30 16:01:56
카푸치노,15402,2024-12-29 21:22:56
아메리카노,10747,2024-12-30 06:41:56
케이크,6079,2024-12-30 01:32:56
카푸치노,11124,2024-12-30 02:06:56
아메리카노,9291,2024-12-30 11:18:56
케이크,21656,2024-12-30 08:50:56
케이크,16631,2024-12-29 19:21:56
아메리카노,9623,2024-12-30 00:05:56
케이크,6997,2024-12-30 11:23:56
케이크,7335,2024-12-30 09:57:56
아메리카노,13571,2024-12-30 01:48:56
케이크,16214,2024-12-29 18:09:56
카푸치노,24523,2024-12-29 19:01:56
아메리카노,3204,2024-12-29 18:38:56
케이크,28227,2024-12-30 08:15:56
아메리카노,22141,2024-12-30 06:45:56
아메리카노,7511,2024-12-29 17:30:56
아메리카노,26995,2024-12-30 01:58:56
카푸치노,19361,2024-12-30 06:27:56
카푸치노,20239,2024-12-29 19:14:56
아메리카노,27744,2024-12-30 07:42:56
아메리카노,24019,2024-12-30 01:51:56
아메리카노,15455,2024-12-29 22:55:56
케이크,29567,2024-12-30 11:14:56
카푸치노,9308,2024-12-30 14:33:56
아메리카노,10097,2024-12-30 05:52:56
케이크,4405,2024-12-30 03:22:56
케이크,7978,2024-12-29 23:09:56
케이크,11648,2024-12-30 06:54:56
케이크,3434,2024-12-30 04:07:56
아메리카노,4142,2024-12-30 13:56:56
아메리카노,6767,2024-12-30 06:29:56
케이크,19662,2024-12-29 22:26:56
아메리카노,20319,2024-12-30 07:56:56
카푸치노,13289,2024-12-29 22:40:56
카푸치노,7853,2024-12-30 07:27:56
아메리카노,21207,2024-12-30 02:58:56
케이크,20237,2024-12-30 06:21:56
케이크,7570,2024-12-30 05:01:56
케이크,25162,2024-12-30 08:26:56
케이크,23486,2024-12-30 03:27:56
케이크,5563,2024-12-29 21:49:56
케이크,13901,2024-12-29 17:44:56
