menu,price,order_time
떡볶이,22315,2024-12-29 20:09:56
떡볶이,29628,2024-12-29 23:07:56
닭강정,10267,2024-12-29 21:32:56
떡볶이,14776,2024-12-29 17:21:56
닭강정,10677,2024-12-29 19:31:56
감자튀김,7877,2024-12-30 12:20:56
감자튀김,16635,2024-12-30 00:53:56
닭강정,25902,2024-12-30 10:57:56
떡볶이,1275,2024-12-30 11:12:56
감자튀김,28548,2024-12-30 10:28:56
떡볶이,27474,2024-12-30 02:34:56
닭강정,6650,2024-12-30 04:39:56
감자튀김,5929,2024-12-30 09:23:56
닭강정,17275,2024-12-30 08:03:56
떡볶이,5991,2024-12-30 00:24:56
닭강정,18494,2024-12-29 20:48:56
닭강정,24442,2024-12-29 18:19:56
닭강정,4505,2024-12-30 12:30:56
감자튀김,13875,2024-12-29 20:34:56
감자튀김,24671,2024-12-30 10:32:56
떡볶이,11485,2024-12-29 19:05:56
닭강정,3743,2024-12-30 09:32:56
감자튀김,8675,2024-12-30 12:11:56
닭강정,25380,2024-12-30 05:35:56
감자튀김,12521,2024-12-30 02:36:56
감자튀김,13661,2024-12-30 13:51:56
떡볶이,28719,2024-12-30 15:56:56
떡볶이,5822,2024-12-30 08:01:56
닭강정,2026,2024-12-30 09:28:56
닭강정,15565,2024-12-29 21:52:56
감자튀김,11144,2024-12-30 08:32:56
닭강정,2205,2024-12-29 23:10:56
떡볶이,29057,2024-12-29 20:34:56
감자튀김,27263,2024-12-29 17:51:56
떡볶이,4246,2024-12-30 08:55:56
감자튀김,19849,2024-12-29 22:27:56
감자튀김,1446,2024-12-30 02:41:56
닭강정,15467,2024-12-30 14:57:56
닭강정,4724,2024-12-29 22:22:56
감자튀김,3529,2024-12-30 13:38:56
감자튀김,16094,2024-12-30 01:45:56
닭강정,25051,2024-12-30 03:24:56
닭강정,27715,2024-12-30 07:05:56
닭강정,10504,2024-12-30 11:45:56
닭강정,24000,2024-12-30 12:15:56
닭강정,1678,2024-12-30 08:06:56
감자튀김,20215,2024-12-30 05:27:56
떡볶이,28044,2024-12-30 08:35:56
떡볶이,10120,2024-12-30 08:39:56
닭강정,17362,2024-12-30 12:15:56
닭강정,22979,2024-12-30 00:36:56
닭강정,16955,2024-12-30 03:26:56
떡볶이,29413,2024-12-30 00:54:56
감자튀김,8941,2024-12-30 05:30:56
닭강정,7867,2024-12-29 22:02:56
닭강정,7632,2024-12-30 06:35:56
떡볶이,25121,2024-12-30 04:05:56
닭강정,12311,2024-12-29 21:35:56
떡볶이,11497,2024-12-30 15:59:56
닭강정,12101,2024-12-29 22:02:56
감자튀김,11486,2024-12-30 14:15:56
닭강정,24063,2024-12-30 14:01:56
감자튀김,21916,2024-12-30 05:43:56
닭강정,29571,2024-12-30 08:39:56
떡볶이,12172,2024-12-30 06:53:56
감자튀김,10753,2024-12-29 22:17:56
닭강정,6217,2024-12-30 17:16:56
떡볶이,24680,2024-12-30 11:31:56
닭강정,26928,2024-12-30 17:07:56
떡볶이,29929,2024-12-29 19:09:56
떡볶이,6772,2024-12-30 05:18:56
떡볶이,5382,2024-12-30 13:36:56
닭강정,4533,2024-12-29 21:23:56
떡볶이,6608,2024-12-29 21:03:56
떡볶이,29554,2024-12-30 06:42:56
닭강정,7020,2024-12-30 04:28:56
닭강정,5006,2024-12-29 19:12:56
닭강정,17177,2024-12-30 16:39:56
감자튀김,11492,2024-12-30 01:33:56
감자튀김,28410,2024-12-30 09:00:56
닭강정,10496,2024-12-30 13:12:56
떡볶이,11014,2024-12-29 22:03:56
떡볶이,27921,2024-12-30 13:15:56
떡볶이,9977,2024-12-30 14:58:56
닭강정,28318,2024-12-29 22:27:56
닭강정,13324,2024-12-30 08:29:56
떡볶이,26241,2024-12-30 01:54:56
떡볶이,16178,2024-12-30 15:01:56
감자튀김,1017,2024-12-30 02:50:56
감자튀김,12956,2024-12-30 05:31:56
닭강정,1646,2024-12-30 12:01:56
떡볶이,23813,2024-12-29 21:26:56
떡볶이,4502,2024-12-29 21:31:56
감자튀김,13195,2024-12-30 14:47:56
감자튀김,8711,2024-12-30 11:12:56
감자튀김,26488,2024-12-30 12:56:56
감자튀김,27834,2024-12-30 10:48:56
감자튀김,5869,2024-12-30 00:43:56
감자튀김,5788,2024-12-30 16:47:56
닭강정,17016,2024-12-30 10:11:56
