menu,price,order_time
아메리카노,14612,2024-12-30 06:42:57
카푸치노,28179,2024-12-29 19:52:57
아메리카노,7594,2024-12-30 01:45:57
케이크,12626,2024-12-30 00:03:57
카푸치노,12722,2024-12-29 18:18:57
아메리카노,14735,2024-12-29 20:27:57
케이크,1671,2024-12-30 08:45:57
케이크,27247,2024-12-29 18:37:57
케이크,11986,2024-12-29 17:38:57
케이크,18208,2024-12-30 06:21:57
카푸치노,25046,2024-12-29 20:09:57
아메리카노,26828,2024-12-30 13:42:57
카푸치노,13521,2024-12-29 19:34:57
케이크,7275,2024-12-30 02:59:57
아메리카노,23752,2024-12-30 09:31:57
카푸치노,27359,2024-12-30 00:54:57
아메리카노,3669,2024-12-30 08:48:57
아메리카노,7586,2024-12-29 17:30:57
케이크,8780,2024-12-30 05:36:57
케이크,15871,2024-12-29 21:11:57
카푸치노,18843,2024-12-29 23:06:57
케이크,10273,2024-12-29 23:56:57
아메리카노,12707,2024-12-29 21:30:57
아메리카노,12041,2024-12-30 07:03:57
케이크,24405,2024-12-29 19:22:57
아메리카노,8287,2024-12-30 04:58:57
아메리카노,1028,2024-12-29 17:27:57
아메리카노,14985,2024-12-30 11:10:57
카푸치노,28892,2024-12-30 02:27:57
아메리카노,6542,2024-12-30 05:58:57
아메리카노,22030,2024-12-30 03:28:57
카푸치노,7104,2024-12-30 11:03:57
아메리카노,18779,2024-12-29 20:47:57
카푸치노,10901,2024-12-30 07:08:57
케이크,1421,2024-12-29 18:02:57
아메리카노,28325,2024-12-29 22:00:57
아메리카노,22419,2024-12-29 21:47:57
케이크,19184,2024-12-30 01:15:57
케이크,14963,2024-12-30 04:29:57
케이크,5574,2024-12-30 13:34:57
케이크,13923,2024-12-30 15:21:57
아메리카노,21841,2024-12-29 21:09:57
아메리카노,5490,2024-12-30 06:23:57
아메리카노,12975,2024-12-30 15:45:57
카푸치노,23934,2024-12-30 04:41:57
아메리카노,21984,2024-12-30 07:34:57
아메리카노,12158,2024-12-30 15:30:57
아메리카노,17905,2024-12-30 17:19:57
카푸치노,4114,2024-12-30 13:21:57
케이크,10354,2024-12-30 07:10:57
카푸치노,21625,2024-12-29 22:18:57
카푸치노,23887,2024-12-30 15:28:57
아메리카노,10093,2024-12-29 20:25:57
케이크,21366,2024-12-30 02:21:57
케이크,19591,2024-12-29 19:23:57
아메리카노,10192,2024-12-29 21:57:57
아메리카노,3348,2024-12-30 00:44:57
카푸치노,1875,2024-12-30 04:38:57
아메리카노,26765,2024-12-29 21:51:57
케이크,15917,2024-12-29 23:35:57
케이크,24089,2024-12-30 09:03:57
카푸치노,10400,2024-12-30 00:19:57
아메리카노,7303,2024-12-30 00:48:57
아메리카노,21252,2024-12-30 06:49:57
아메리카노,13964,2024-12-30 02:13:57
카푸치노,5693,2024-12-30 03:42:57
카푸치노,20990,2024-12-30 04:42:57
카푸치노,11426,2024-12-30 08:02:57
카푸치노,26622,2024-12-30 14:24:57
케이크,8352,2024-12-29 17:26:57
아메리카노,13900,2024-12-30 07:23:57
카푸치노,19864,2024-12-30 02:45:57
케이크,20434,2024-12-30 13:02:57
아메리카노,3451,2024-12-29 17:43:57
케이크,19013,2024-12-30 10:06:57
케이크,8639,2024-12-30 05:48:57
케이크,13890,2024-12-30 04:12:57
케이크,26472,2024-12-30 01:34:57
케이크,19452,2024-12-30 07:08:57
케이크,18025,2024-12-29 17:51:57
케이크,12948,2024-12-30 09:10:57
케이크,11017,2024-12-30 08:05:57
아메리카노,27500,2024-12-30 13:15:57
아메리카노,13045,2024-12-29 21:58:57
케이크,10653,2024-12-30 04:23:57
카푸치노,11858,2024-12-30 03:14:57
아메리카노,15132,2024-12-29 20:34:57
카푸치노,29541,2024-12-30 15:42:57
카푸치노,27162,2024-12-30 04:17:57
카푸치노,3486,2024-12-29 21:33:57
케이크,19486,2024-12-30 06:52:57
케이크,1656,2024-12-29 17:22:57
아메리카노,1031,2024-12-30 00:41:57
카푸치노,5241,2024-12-30 03:28:57
케이크,23616,2024-12-30 09:24:57
아메리카노,12939,2024-12-30 12:31:57
아메리카노,18229,2024-12-30 12:24:57
케이크,27387,2024-12-30 11:08:57
카푸치노,6618,2024-12-29 22:36:57
카푸치노,9458,2024-12-30 07:48:57
