menu,price,order_time
연어초밥,2918,2024-12-30 12:33:56
연어초밥,20527,2024-12-29 21:33:56
광어회,3916,2024-12-30 13:51:56
광어회,11013,2024-12-30 07:11:56
광어회,13273,2024-12-30 02:51:56
광어회,18767,2024-12-30 16:05:56
광어회,9787,2024-12-30 11:38:56
연어초밥,13541,2024-12-30 11:49:56
참치회,20563,2024-12-29 18:25:56
광어회,20991,2024-12-30 17:09:56
광어회,11642,2024-12-30 13:22:56
광어회,3348,2024-12-30 09:42:56
참치회,23599,2024-12-30 11:18:56
연어초밥,21759,2024-12-30 11:24:56
참치회,23754,2024-12-30 08:01:56
연어초밥,29354,2024-12-30 17:12:56
연어초밥,5098,2024-12-30 11:17:56
광어회,18258,2024-12-30 00:53:56
연어초밥,5119,2024-12-30 04:57:56
참치회,22738,2024-12-30 12:49:56
광어회,25950,2024-12-30 03:25:56
참치회,9581,2024-12-29 23:50:56
연어초밥,17811,2024-12-29 21:57:56
광어회,11031,2024-12-30 10:14:56
연어초밥,11395,2024-12-29 17:30:56
광어회,28132,2024-12-29 23:12:56
연어초밥,16142,2024-12-30 10:56:56
참치회,2087,2024-12-29 18:52:56
참치회,8081,2024-12-30 05:36:56
연어초밥,3311,2024-12-30 16:21:56
참치회,20465,2024-12-30 17:09:56
광어회,14516,2024-12-30 04:23:56
광어회,20098,2024-12-30 13:44:56
광어회,23340,2024-12-30 15:19:56
연어초밥,1670,2024-12-30 16:56:56
광어회,9021,2024-12-29 20:24:56
참치회,5369,2024-12-30 01:15:56
연어초밥,12664,2024-12-30 15:26:56
광어회,18236,2024-12-30 05:48:56
광어회,28290,2024-12-30 11:51:56
참치회,18961,2024-12-30 07:47:56
연어초밥,20845,2024-12-30 10:34:56
참치회,28292,2024-12-30 09:00:56
참치회,16731,2024-12-30 06:00:56
참치회,20374,2024-12-30 07:37:56
연어초밥,5793,2024-12-30 04:57:56
광어회,11829,2024-12-30 02:09:56
연어초밥,8785,2024-12-30 08:13:56
참치회,22915,2024-12-30 11:16:56
참치회,10734,2024-12-30 05:27:56
참치회,26978,2024-12-30 05:50:56
연어초밥,15352,2024-12-30 06:42:56
참치회,1367,2024-12-30 00:07:56
참치회,22949,2024-12-30 03:27:56
연어초밥,19333,2024-12-30 14:54:56
연어초밥,29182,2024-12-29 19:15:56
연어초밥,2080,2024-12-29 20:59:56
참치회,16491,2024-12-30 12:43:56
광어회,24592,2024-12-30 01:08:56
광어회,14511,2024-12-29 17:33:56
참치회,6618,2024-12-30 02:01:56
연어초밥,1675,2024-12-29 21:06:56
참치회,10505,2024-12-30 04:28:56
광어회,17944,2024-12-30 12:12:56
광어회,26228,2024-12-30 01:03:56
참치회,29735,2024-12-29 18:57:56
연어초밥,27487,2024-12-30 15:05:56
광어회,19280,2024-12-29 17:39:56
광어회,4115,2024-12-29 21:48:56
연어초밥,18951,2024-12-30 05:18:56
연어초밥,5806,2024-12-29 23:47:56
참치회,29445,2024-12-29 19:07:56
참치회,24356,2024-12-30 17:00:56
광어회,13087,2024-12-29 22:38:56
참치회,5958,2024-12-30 06:36:56
연어초밥,28221,2024-12-30 01:25:56
참치회,9271,2024-12-30 04:05:56
참치회,17814,2024-12-30 02:01:56
연어초밥,19809,2024-12-30 10:33:56
연어초밥,3857,2024-12-30 15:53:56
연어초밥,1367,2024-12-29 23:46:56
연어초밥,17366,2024-12-29 18:55:56
광어회,2348,2024-12-30 01:28:56
광어회,3945,2024-12-30 10:52:56
연어초밥,24574,2024-12-30 09:30:56
참치회,27082,2024-12-30 13:48:56
광어회,4949,2024-12-30 03:25:56
참치회,21685,2024-12-29 22:05:56
연어초밥,6072,2024-12-30 02:05:56
광어회,17953,2024-12-30 15:18:56
광어회,9151,2024-12-30 16:25:56
참치회,26694,2024-12-29 21:29:56
참치회,25069,2024-12-30 14:45:56
연어초밥,16180,2024-12-30 01:12:56
광어회,18792,2024-12-30 08:14:56
참치회,18948,2024-12-30 10:30:56
연어초밥,18549,2024-12-30 15:52:56
연어초밥,15942,2024-12-29 23:05:56
참치회,26803,2024-12-29 18:31:56
참치회,14078,2024-12-30 14:46:56
