menu,price,order_time
아메리카노,21452,2024-12-30 01:51:56
카푸치노,6412,2024-12-29 22:47:56
아메리카노,11777,2024-12-30 06:14:56
아메리카노,24484,2024-12-30 16:10:56
카푸치노,5490,2024-12-29 19:03:56
케이크,28754,2024-12-30 10:02:56
케이크,10643,2024-12-29 17:43:56
케이크,13416,2024-12-30 07:14:56
아메리카노,10932,2024-12-29 18:52:56
케이크,1756,2024-12-30 00:24:56
케이크,17090,2024-12-30 16:46:56
아메리카노,9659,2024-12-30 12:38:56
케이크,7562,2024-12-30 17:07:56
아메리카노,11967,2024-12-30 06:56:56
케이크,27768,2024-12-30 00:34:56
아메리카노,4294,2024-12-30 04:47:56
아메리카노,6057,2024-12-29 22:04:56
아메리카노,23105,2024-12-30 07:58:56
카푸치노,23396,2024-12-30 02:32:56
카푸치노,23509,2024-12-30 00:03:56
케이크,23683,2024-12-30 08:59:56
아메리카노,25750,2024-12-29 23:08:56
케이크,4044,2024-12-30 02:37:56
케이크,18764,2024-12-30 09:50:56
아메리카노,9895,2024-12-30 11:31:56
카푸치노,1359,2024-12-30 00:30:56
케이크,3926,2024-12-29 22:13:56
케이크,12670,2024-12-30 00:18:56
케이크,19690,2024-12-30 13:00:56
카푸치노,16958,2024-12-29 20:04:56
케이크,26087,2024-12-29 19:23:56
카푸치노,20744,2024-12-30 10:16:56
케이크,20403,2024-12-30 14:06:56
아메리카노,26756,2024-12-30 14:37:56
카푸치노,15033,2024-12-30 04:30:56
카푸치노,13917,2024-12-30 09:22:56
카푸치노,11945,2024-12-30 13:24:56
카푸치노,8961,2024-12-30 06:28:56
아메리카노,23414,2024-12-30 12:35:56
케이크,12467,2024-12-29 18:51:56
아메리카노,15198,2024-12-30 10:32:56
아메리카노,29846,2024-12-30 13:34:56
케이크,19574,2024-12-30 16:58:56
카푸치노,25962,2024-12-29 19:37:56
카푸치노,4479,2024-12-30 00:56:56
아메리카노,3339,2024-12-30 12:15:56
케이크,6819,2024-12-30 16:09:56
케이크,5994,2024-12-29 22:04:56
아메리카노,1059,2024-12-30 10:10:56
아메리카노,7593,2024-12-30 07:15:56
아메리카노,11025,2024-12-30 09:52:56
케이크,29277,2024-12-29 20:52:56
케이크,21108,2024-12-30 16:54:56
케이크,1909,2024-12-29 23:02:56
아메리카노,6958,2024-12-30 07:29:56
카푸치노,23760,2024-12-29 21:59:56
카푸치노,22452,2024-12-30 01:05:56
아메리카노,22782,2024-12-30 02:33:56
케이크,5089,2024-12-29 20:40:56
케이크,22437,2024-12-29 20:21:56
케이크,3754,2024-12-29 22:54:56
케이크,2491,2024-12-30 04:32:56
아메리카노,17144,2024-12-30 03:24:56
아메리카노,18947,2024-12-29 23:52:56
케이크,11683,2024-12-30 07:08:56
카푸치노,24141,2024-12-30 16:34:56
아메리카노,6475,2024-12-30 17:19:56
케이크,28723,2024-12-29 17:27:56
카푸치노,20766,2024-12-30 16:23:56
아메리카노,6232,2024-12-29 22:24:56
아메리카노,11816,2024-12-30 10:20:56
아메리카노,29798,2024-12-29 21:36:56
케이크,5178,2024-12-30 13:03:56
아메리카노,5230,2024-12-29 23:30:56
케이크,15194,2024-12-30 03:58:56
아메리카노,14874,2024-12-30 05:04:56
아메리카노,23577,2024-12-30 04:04:56
아메리카노,28255,2024-12-29 19:36:56
케이크,25379,2024-12-30 08:29:56
카푸치노,7289,2024-12-29 22:56:56
케이크,1681,2024-12-29 21:44:56
카푸치노,16856,2024-12-30 00:01:56
케이크,29187,2024-12-30 01:08:56
카푸치노,3829,2024-12-29 18:53:56
카푸치노,9178,2024-12-30 06:18:56
케이크,12668,2024-12-30 04:33:56
케이크,19693,2024-12-30 06:58:56
케이크,2681,2024-12-29 23:38:56
케이크,28484,2024-12-30 13:37:56
카푸치노,10123,2024-12-30 10:23:56
아메리카노,22520,2024-12-30 16:59:56
케이크,2859,2024-12-30 12:18:56
케이크,15858,2024-12-29 20:10:56
케이크,26748,2024-12-29 23:20:56
카푸치노,9496,2024-12-29 22:09:56
카푸치노,28905,2024-12-30 12:02:56
케이크,4828,2024-12-29 18:19:56
카푸치노,17956,2024-12-29 21:54:56
케이크,7368,2024-12-29 22:30:56
카푸치노,8150,2024-12-30 02:47:56
