menu,price,order_time
감자튀김,19961,2024-12-30 07:12:56
닭강정,6043,2024-12-29 23:27:56
닭강정,9799,2024-12-29 19:34:56
감자튀김,3104,2024-12-30 04:12:56
감자튀김,16690,2024-12-29 18:25:56
떡볶이,24893,2024-12-30 05:21:56
떡볶이,8779,2024-12-30 10:30:56
닭강정,1118,2024-12-30 01:37:56
닭강정,7841,2024-12-30 07:04:56
떡볶이,9554,2024-12-29 21:12:56
떡볶이,24460,2024-12-30 14:54:56
떡볶이,11365,2024-12-30 11:00:56
닭강정,10877,2024-12-30 03:01:56
떡볶이,17047,2024-12-29 18:58:56
떡볶이,21436,2024-12-30 11:16:56
닭강정,15498,2024-12-29 19:07:56
감자튀김,6743,2024-12-30 02:40:56
감자튀김,19229,2024-12-30 05:03:56
감자튀김,11263,2024-12-30 12:18:56
떡볶이,28384,2024-12-29 21:30:56
닭강정,14084,2024-12-30 12:17:56
닭강정,13564,2024-12-29 18:51:56
떡볶이,18684,2024-12-29 19:22:56
닭강정,19531,2024-12-30 08:27:56
닭강정,23561,2024-12-30 10:59:56
떡볶이,17342,2024-12-30 10:08:56
닭강정,4155,2024-12-30 03:10:56
떡볶이,17898,2024-12-30 08:37:56
감자튀김,7807,2024-12-30 16:10:56
닭강정,17324,2024-12-30 04:57:56
감자튀김,24235,2024-12-30 05:40:56
닭강정,2229,2024-12-30 02:49:56
감자튀김,7310,2024-12-29 19:43:56
떡볶이,16979,2024-12-30 11:31:56
닭강정,5870,2024-12-29 19:00:56
닭강정,21103,2024-12-30 01:21:56
떡볶이,19074,2024-12-30 13:55:56
닭강정,28412,2024-12-30 10:25:56
닭강정,17409,2024-12-29 21:46:56
떡볶이,4359,2024-12-30 03:32:56
닭강정,17731,2024-12-29 20:56:56
떡볶이,28607,2024-12-29 21:54:56
닭강정,3312,2024-12-30 05:16:56
감자튀김,28126,2024-12-30 17:03:56
감자튀김,14990,2024-12-30 03:06:56
닭강정,28254,2024-12-30 05:26:56
닭강정,16972,2024-12-29 19:50:56
닭강정,22320,2024-12-30 09:50:56
떡볶이,27488,2024-12-29 20:06:56
떡볶이,3634,2024-12-29 18:04:56
떡볶이,29155,2024-12-30 15:17:56
떡볶이,17514,2024-12-30 16:23:56
감자튀김,18678,2024-12-29 18:56:56
떡볶이,24516,2024-12-29 18:04:56
닭강정,17536,2024-12-30 04:34:56
감자튀김,1509,2024-12-30 02:24:56
감자튀김,19399,2024-12-30 04:39:56
감자튀김,10600,2024-12-30 09:10:56
닭강정,29862,2024-12-30 06:31:56
감자튀김,10987,2024-12-30 15:22:56
감자튀김,2235,2024-12-29 18:11:56
떡볶이,9036,2024-12-29 20:03:56
떡볶이,18642,2024-12-30 01:28:56
떡볶이,24916,2024-12-30 11:27:56
감자튀김,16995,2024-12-29 23:44:56
감자튀김,6903,2024-12-30 01:35:56
떡볶이,9384,2024-12-30 01:17:56
감자튀김,13506,2024-12-29 21:46:56
떡볶이,8742,2024-12-30 08:50:56
감자튀김,21527,2024-12-30 14:39:56
떡볶이,13131,2024-12-30 01:43:56
떡볶이,3920,2024-12-29 19:39:56
닭강정,23490,2024-12-29 21:05:56
떡볶이,13414,2024-12-29 20:30:56
떡볶이,29613,2024-12-29 22:58:56
닭강정,23452,2024-12-30 07:25:56
감자튀김,8435,2024-12-30 11:56:56
닭강정,16055,2024-12-30 16:05:56
감자튀김,24481,2024-12-29 19:13:56
감자튀김,6055,2024-12-30 11:22:56
닭강정,15856,2024-12-30 03:26:56
떡볶이,17953,2024-12-29 18:43:56
떡볶이,3894,2024-12-29 18:11:56
닭강정,5190,2024-12-30 09:16:56
감자튀김,4074,2024-12-30 10:25:56
떡볶이,17444,2024-12-30 02:01:56
감자튀김,8334,2024-12-30 15:22:56
떡볶이,20856,2024-12-30 12:16:56
감자튀김,27023,2024-12-29 22:36:56
떡볶이,19888,2024-12-30 03:34:56
닭강정,16902,2024-12-29 21:54:56
닭강정,12146,2024-12-30 04:28:56
닭강정,15422,2024-12-30 15:35:56
떡볶이,18482,2024-12-29 17:54:56
떡볶이,17392,2024-12-30 16:03:56
떡볶이,14728,2024-12-29 22:19:56
닭강정,1234,2024-12-30 08:34:56
떡볶이,1358,2024-12-30 04:02:56
감자튀김,21244,2024-12-30 04:28:56
떡볶이,9774,2024-12-30 05:52:56
