menu,price,order_time
케이크,27858,2024-12-30 10:27:56
케이크,15281,2024-12-30 08:12:56
케이크,19845,2024-12-30 16:17:56
케이크,10009,2024-12-30 08:11:56
카푸치노,2725,2024-12-30 06:39:56
케이크,12744,2024-12-30 17:12:56
아메리카노,15460,2024-12-30 12:23:56
아메리카노,25210,2024-12-29 18:50:56
카푸치노,25740,2024-12-30 10:10:56
케이크,27674,2024-12-30 16:06:56
아메리카노,26598,2024-12-30 11:59:56
케이크,15496,2024-12-30 07:46:56
케이크,22033,2024-12-30 09:08:56
케이크,27832,2024-12-30 05:54:56
카푸치노,3605,2024-12-30 07:15:56
카푸치노,6031,2024-12-30 12:08:56
카푸치노,25322,2024-12-30 06:29:56
아메리카노,8048,2024-12-30 16:34:56
케이크,5994,2024-12-30 05:06:56
카푸치노,5730,2024-12-30 04:12:56
아메리카노,12768,2024-12-29 18:43:56
아메리카노,14332,2024-12-30 05:24:56
아메리카노,25297,2024-12-29 17:26:56
아메리카노,7567,2024-12-30 02:41:56
카푸치노,2035,2024-12-30 07:55:56
케이크,3838,2024-12-30 17:05:56
아메리카노,15052,2024-12-30 10:52:56
카푸치노,20552,2024-12-30 13:40:56
카푸치노,9643,2024-12-30 02:40:56
케이크,29703,2024-12-30 12:19:56
아메리카노,9892,2024-12-30 00:48:56
케이크,1770,2024-12-30 17:08:56
카푸치노,15394,2024-12-29 17:54:56
케이크,25567,2024-12-30 03:04:56
카푸치노,14998,2024-12-30 11:07:56
케이크,7420,2024-12-30 08:57:56
케이크,20372,2024-12-29 20:07:56
아메리카노,26450,2024-12-30 01:42:56
케이크,25433,2024-12-30 07:01:56
케이크,12124,2024-12-30 10:56:56
아메리카노,8506,2024-12-30 16:09:56
아메리카노,12628,2024-12-29 23:03:56
카푸치노,16142,2024-12-30 14:33:56
케이크,7037,2024-12-29 18:16:56
케이크,4384,2024-12-30 01:07:56
카푸치노,7032,2024-12-30 14:35:56
케이크,13996,2024-12-30 12:01:56
케이크,12959,2024-12-29 20:00:56
케이크,20425,2024-12-30 05:45:56
아메리카노,6502,2024-12-30 15:23:56
카푸치노,15580,2024-12-29 21:13:56
카푸치노,8168,2024-12-30 02:28:56
아메리카노,27956,2024-12-30 11:33:56
카푸치노,13765,2024-12-30 05:42:56
카푸치노,6989,2024-12-30 09:18:56
아메리카노,4464,2024-12-30 01:12:56
케이크,22029,2024-12-30 13:47:56
케이크,10827,2024-12-29 22:15:56
케이크,15327,2024-12-30 16:41:56
카푸치노,22942,2024-12-30 04:45:56
케이크,4170,2024-12-30 14:27:56
케이크,26129,2024-12-29 23:53:56
아메리카노,17124,2024-12-30 04:12:56
아메리카노,16119,2024-12-30 12:56:56
아메리카노,20685,2024-12-30 15:33:56
아메리카노,12953,2024-12-30 11:45:56
아메리카노,9161,2024-12-30 07:14:56
케이크,19764,2024-12-30 13:11:56
케이크,24556,2024-12-29 17:58:56
카푸치노,16084,2024-12-30 16:55:56
카푸치노,10380,2024-12-30 02:52:56
카푸치노,14292,2024-12-30 02:29:56
아메리카노,13531,2024-12-30 10:47:56
아메리카노,1151,2024-12-30 04:18:56
케이크,26686,2024-12-29 18:30:56
카푸치노,24448,2024-12-30 04:07:56
아메리카노,14019,2024-12-30 00:35:56
아메리카노,1152,2024-12-30 12:59:56
케이크,22070,2024-12-30 07:28:56
카푸치노,16955,2024-12-30 14:50:56
카푸치노,6536,2024-12-30 11:36:56
케이크,9797,2024-12-30 17:17:56
케이크,18733,2024-12-29 22:42:56
아메리카노,2132,2024-12-30 06:29:56
아메리카노,10184,2024-12-30 12:40:56
아메리카노,10884,2024-12-30 10:48:56
아메리카노,14345,2024-12-29 19:46:56
아메리카노,17816,2024-12-30 13:16:56
아메리카노,29520,2024-12-29 18:56:56
카푸치노,9255,2024-12-30 14:14:56
카푸치노,14537,2024-12-30 10:08:56
아메리카노,2619,2024-12-29 17:25:56
아메리카노,19043,2024-12-30 08:01:56
케이크,19385,2024-12-29 22:22:56
아메리카노,16880,2024-12-30 15:36:56
카푸치노,24204,2024-12-30 06:04:56
케이크,27500,2024-12-29 17:48:56
아메리카노,1034,2024-12-30 11:34:56
아메리카노,15113,2024-12-30 14:46:56
케이크,23252,2024-12-29 19:33:56
