menu,price,order_time
떡볶이,6604,2024-12-29 18:43:56
감자튀김,2734,2024-12-30 09:41:56
닭강정,13151,2024-12-30 01:02:56
닭강정,6047,2024-12-30 07:33:56
닭강정,11447,2024-12-30 12:27:56
떡볶이,18467,2024-12-29 19:45:56
감자튀김,29114,2024-12-30 09:42:56
떡볶이,2935,2024-12-30 07:06:56
떡볶이,17335,2024-12-30 03:45:56
떡볶이,12177,2024-12-30 12:59:56
닭강정,15965,2024-12-30 09:54:56
감자튀김,25639,2024-12-30 09:36:56
감자튀김,23374,2024-12-30 06:07:56
닭강정,7668,2024-12-30 12:42:56
감자튀김,4713,2024-12-30 01:18:56
감자튀김,7191,2024-12-30 09:34:56
떡볶이,13588,2024-12-30 14:50:56
떡볶이,26460,2024-12-30 14:14:56
떡볶이,19682,2024-12-30 12:28:56
닭강정,19218,2024-12-30 08:34:56
떡볶이,23337,2024-12-30 07:14:56
닭강정,21149,2024-12-30 16:23:56
감자튀김,6762,2024-12-30 00:38:56
감자튀김,9990,2024-12-30 04:22:56
닭강정,17410,2024-12-30 02:27:56
떡볶이,20032,2024-12-30 10:30:56
닭강정,29116,2024-12-30 16:23:56
닭강정,7705,2024-12-30 00:56:56
닭강정,28693,2024-12-30 09:09:56
감자튀김,7547,2024-12-29 21:44:56
떡볶이,6370,2024-12-30 00:51:56
떡볶이,4162,2024-12-30 03:16:56
떡볶이,5893,2024-12-30 00:06:56
감자튀김,11923,2024-12-29 17:41:56
닭강정,27474,2024-12-30 15:38:56
감자튀김,7233,2024-12-29 19:29:56
감자튀김,6747,2024-12-29 17:55:56
떡볶이,21034,2024-12-30 12:16:56
닭강정,4183,2024-12-30 17:21:56
닭강정,1182,2024-12-29 18:35:56
감자튀김,8789,2024-12-29 18:35:56
떡볶이,5163,2024-12-30 14:44:56
떡볶이,26727,2024-12-30 16:27:56
떡볶이,17668,2024-12-30 01:20:56
닭강정,4737,2024-12-30 01:57:56
떡볶이,15230,2024-12-30 10:10:56
떡볶이,19683,2024-12-30 01:14:56
감자튀김,9051,2024-12-30 02:54:56
닭강정,21711,2024-12-30 16:37:56
닭강정,2101,2024-12-30 12:46:56
감자튀김,7975,2024-12-30 02:07:56
닭강정,14741,2024-12-30 08:47:56
감자튀김,17438,2024-12-30 02:04:56
감자튀김,29793,2024-12-30 07:24:56
닭강정,23889,2024-12-30 01:05:56
떡볶이,1537,2024-12-30 00:16:56
감자튀김,7374,2024-12-30 04:14:56
닭강정,5811,2024-12-30 09:37:56
떡볶이,18219,2024-12-29 22:18:56
떡볶이,27856,2024-12-30 01:20:56
떡볶이,3294,2024-12-30 05:59:56
떡볶이,3913,2024-12-30 04:07:56
감자튀김,3538,2024-12-30 16:38:56
감자튀김,10265,2024-12-30 15:09:56
감자튀김,17817,2024-12-29 22:06:56
감자튀김,5151,2024-12-30 01:09:56
떡볶이,27346,2024-12-29 20:54:56
닭강정,22549,2024-12-29 18:03:56
떡볶이,8447,2024-12-30 07:19:56
떡볶이,20187,2024-12-30 10:27:56
닭강정,3095,2024-12-30 00:03:56
닭강정,24520,2024-12-30 09:40:56
떡볶이,7704,2024-12-30 16:44:56
닭강정,8017,2024-12-29 18:33:56
감자튀김,8313,2024-12-30 03:14:56
감자튀김,5112,2024-12-30 01:43:56
닭강정,13299,2024-12-30 05:13:56
감자튀김,5545,2024-12-29 20:43:56
닭강정,14486,2024-12-29 18:48:56
닭강정,1197,2024-12-30 05:49:56
닭강정,1746,2024-12-29 18:15:56
감자튀김,22357,2024-12-30 01:37:56
닭강정,6310,2024-12-29 23:22:56
감자튀김,1789,2024-12-30 08:29:56
감자튀김,6545,2024-12-30 11:50:56
감자튀김,1454,2024-12-29 22:57:56
닭강정,1785,2024-12-30 09:54:56
떡볶이,20445,2024-12-30 14:28:56
닭강정,26545,2024-12-29 20:49:56
감자튀김,12133,2024-12-29 18:28:56
닭강정,21092,2024-12-30 12:29:56
감자튀김,6142,2024-12-30 14:16:56
감자튀김,6295,2024-12-30 01:16:56
감자튀김,13355,2024-12-29 21:33:56
닭강정,16315,2024-12-29 23:26:56
감자튀김,19446,2024-12-30 06:07:56
닭강정,5470,2024-12-29 18:39:56
감자튀김,26687,2024-12-30 02:45:56
감자튀김,26639,2024-12-30 03:22:56
닭강정,2454,2024-12-30 03:59:56
