menu,price,order_time
크루아상,9902,2024-12-30 12:32:56
도넛,4649,2024-12-30 03:50:56
머핀,24167,2024-12-29 22:04:56
머핀,2163,2024-12-30 02:50:56
크루아상,25668,2024-12-30 12:52:56
크루아상,27134,2024-12-30 04:19:56
도넛,8719,2024-12-30 01:37:56
머핀,28816,2024-12-30 11:07:56
도넛,22576,2024-12-30 17:02:56
도넛,13030,2024-12-29 19:02:56
크루아상,8815,2024-12-29 18:17:56
도넛,11775,2024-12-30 05:22:56
도넛,22928,2024-12-30 08:17:56
머핀,27022,2024-12-29 19:36:56
크루아상,28089,2024-12-30 17:06:56
도넛,21740,2024-12-30 06:30:56
머핀,3164,2024-12-30 06:42:56
도넛,20877,2024-12-30 14:56:56
머핀,27035,2024-12-30 04:30:56
머핀,27091,2024-12-30 16:48:56
도넛,9174,2024-12-30 13:04:56
도넛,5524,2024-12-30 14:43:56
머핀,17862,2024-12-30 08:56:56
도넛,22591,2024-12-29 20:12:56
도넛,13094,2024-12-29 22:42:56
머핀,12705,2024-12-29 21:13:56
도넛,4506,2024-12-29 21:59:56
도넛,28927,2024-12-29 17:29:56
크루아상,13632,2024-12-30 06:01:56
크루아상,13966,2024-12-30 16:38:56
도넛,5626,2024-12-30 11:38:56
크루아상,7449,2024-12-30 14:22:56
도넛,1266,2024-12-29 18:39:56
크루아상,11384,2024-12-30 14:12:56
머핀,9542,2024-12-30 14:53:56
머핀,9028,2024-12-30 02:39:56
크루아상,4949,2024-12-30 15:51:56
크루아상,11814,2024-12-29 23:06:56
도넛,16608,2024-12-29 22:57:56
크루아상,12555,2024-12-29 20:00:56
머핀,2157,2024-12-29 18:22:56
크루아상,15629,2024-12-29 23:25:56
크루아상,1389,2024-12-30 14:06:56
머핀,16168,2024-12-30 09:45:56
도넛,5684,2024-12-30 10:31:56
도넛,29981,2024-12-30 01:05:56
머핀,25219,2024-12-29 22:58:56
크루아상,13827,2024-12-29 23:12:56
도넛,4221,2024-12-30 02:19:56
크루아상,16081,2024-12-29 19:08:56
도넛,3324,2024-12-29 20:08:56
크루아상,28769,2024-12-30 03:08:56
머핀,15245,2024-12-29 18:50:56
머핀,11594,2024-12-30 03:53:56
도넛,2975,2024-12-29 22:51:56
머핀,22444,2024-12-30 05:46:56
도넛,22689,2024-12-29 19:07:56
크루아상,9030,2024-12-30 05:56:56
크루아상,13700,2024-12-30 15:19:56
도넛,17538,2024-12-29 22:34:56
도넛,7411,2024-12-30 10:30:56
도넛,6066,2024-12-30 08:45:56
머핀,23399,2024-12-30 00:23:56
도넛,27998,2024-12-30 15:39:56
크루아상,25660,2024-12-30 10:12:56
크루아상,5155,2024-12-30 00:25:56
머핀,3489,2024-12-30 10:40:56
머핀,25542,2024-12-30 03:02:56
크루아상,3117,2024-12-30 03:28:56
크루아상,4260,2024-12-29 22:12:56
머핀,19391,2024-12-30 03:22:56
크루아상,16069,2024-12-30 00:58:56
머핀,17177,2024-12-29 20:16:56
크루아상,17910,2024-12-29 23:52:56
크루아상,16400,2024-12-30 08:20:56
도넛,22103,2024-12-30 10:25:56
크루아상,27681,2024-12-30 09:26:56
머핀,8832,2024-12-30 16:08:56
머핀,7332,2024-12-30 01:46:56
머핀,11570,2024-12-30 09:58:56
도넛,14520,2024-12-30 07:34:56
도넛,18178,2024-12-30 09:19:56
도넛,18142,2024-12-30 12:22:56
크루아상,7241,2024-12-30 10:44:56
머핀,10346,2024-12-30 14:36:56
크루아상,5602,2024-12-29 23:31:56
크루아상,23535,2024-12-30 13:45:56
머핀,11294,2024-12-30 04:59:56
도넛,28539,2024-12-30 00:54:56
도넛,16474,2024-12-30 03:55:56
머핀,1871,2024-12-30 05:21:56
머핀,27454,2024-12-30 12:11:56
도넛,1139,2024-12-30 01:41:56
도넛,14174,2024-12-29 22:48:56
크루아상,25334,2024-12-29 19:27:56
도넛,3619,2024-12-30 12:13:56
도넛,13800,2024-12-29 22:17:56
도넛,17938,2024-12-30 15:34:56
도넛,27395,2024-12-30 05:02:56
도넛,20965,2024-12-30 16:40:56
