menu,price,order_time
카푸치노,11050,2024-12-29 18:15:57
카푸치노,5114,2024-12-30 05:30:57
케이크,18151,2024-12-30 05:12:57
케이크,29540,2024-12-29 19:23:57
카푸치노,9488,2024-12-30 07:49:57
아메리카노,7572,2024-12-30 11:22:57
카푸치노,10945,2024-12-30 13:17:57
케이크,18679,2024-12-30 06:23:57
카푸치노,5774,2024-12-30 05:35:57
카푸치노,16263,2024-12-30 11:12:57
케이크,22869,2024-12-30 10:46:57
케이크,24685,2024-12-29 22:52:57
카푸치노,4873,2024-12-29 19:26:57
아메리카노,20262,2024-12-30 06:50:57
아메리카노,13764,2024-12-30 07:21:57
카푸치노,17199,2024-12-30 02:38:57
카푸치노,6355,2024-12-30 06:41:57
케이크,22851,2024-12-29 23:37:57
아메리카노,22018,2024-12-30 15:04:57
케이크,24224,2024-12-30 01:42:57
카푸치노,8427,2024-12-30 03:02:57
아메리카노,24318,2024-12-30 11:27:57
케이크,26045,2024-12-30 07:28:57
케이크,20156,2024-12-30 16:10:57
아메리카노,17824,2024-12-30 14:45:57
케이크,12193,2024-12-30 09:25:57
카푸치노,28938,2024-12-30 02:41:57
아메리카노,5929,2024-12-30 09:14:57
케이크,8414,2024-12-30 04:12:57
아메리카노,13463,2024-12-29 20:01:57
케이크,26637,2024-12-30 08:39:57
아메리카노,29595,2024-12-30 02:52:57
카푸치노,12761,2024-12-30 06:36:57
카푸치노,26220,2024-12-30 00:12:57
카푸치노,24529,2024-12-30 16:49:57
아메리카노,20656,2024-12-29 19:01:57
아메리카노,7927,2024-12-30 15:54:57
카푸치노,29717,2024-12-30 12:40:57
아메리카노,13040,2024-12-29 23:41:57
케이크,12163,2024-12-30 15:36:57
카푸치노,18911,2024-12-30 14:00:57
아메리카노,11011,2024-12-30 06:14:57
카푸치노,18860,2024-12-29 23:29:57
케이크,11117,2024-12-30 03:39:57
아메리카노,20032,2024-12-29 21:14:57
아메리카노,20991,2024-12-30 02:21:57
케이크,6203,2024-12-29 20:10:57
카푸치노,26263,2024-12-29 23:41:57
카푸치노,12186,2024-12-30 07:13:57
카푸치노,28692,2024-12-29 21:51:57
케이크,17655,2024-12-30 16:34:57
케이크,8016,2024-12-30 06:03:57
아메리카노,7455,2024-12-30 15:48:57
케이크,26474,2024-12-29 20:12:57
케이크,28743,2024-12-30 00:36:57
케이크,25515,2024-12-30 13:06:57
카푸치노,15900,2024-12-29 18:25:57
아메리카노,24118,2024-12-30 05:37:57
케이크,12855,2024-12-30 01:06:57
아메리카노,21596,2024-12-29 18:32:57
카푸치노,11968,2024-12-30 05:18:57
케이크,12819,2024-12-30 02:26:57
케이크,20119,2024-12-29 21:35:57
아메리카노,14245,2024-12-30 16:53:57
케이크,27167,2024-12-30 16:48:57
카푸치노,10537,2024-12-30 02:14:57
아메리카노,16793,2024-12-30 09:31:57
아메리카노,15286,2024-12-30 10:40:57
카푸치노,5599,2024-12-30 01:28:57
아메리카노,19518,2024-12-29 22:49:57
케이크,3323,2024-12-30 05:58:57
케이크,14237,2024-12-30 08:31:57
케이크,10716,2024-12-29 22:26:57
아메리카노,2847,2024-12-29 18:22:57
카푸치노,27268,2024-12-30 07:41:57
카푸치노,15787,2024-12-30 14:48:57
카푸치노,3531,2024-12-29 18:05:57
케이크,10187,2024-12-30 02:07:57
케이크,12290,2024-12-30 12:28:57
카푸치노,3346,2024-12-29 18:15:57
아메리카노,29111,2024-12-29 21:27:57
아메리카노,4497,2024-12-29 22:09:57
아메리카노,22805,2024-12-30 05:32:57
케이크,8133,2024-12-30 11:09:57
아메리카노,24089,2024-12-30 10:34:57
카푸치노,7701,2024-12-29 23:19:57
카푸치노,14773,2024-12-29 21:43:57
카푸치노,5516,2024-12-30 06:03:57
케이크,7447,2024-12-30 16:23:57
카푸치노,12250,2024-12-30 04:14:57
아메리카노,11925,2024-12-29 18:57:57
아메리카노,8067,2024-12-30 07:28:57
카푸치노,13861,2024-12-29 23:04:57
케이크,11280,2024-12-30 03:40:57
아메리카노,11490,2024-12-30 13:04:57
아메리카노,20373,2024-12-29 19:00:57
카푸치노,29667,2024-12-30 08:20:57
케이크,10696,2024-12-30 13:33:57
아메리카노,21183,2024-12-30 04:39:57
아메리카노,15715,2024-12-29 20:10:57
