menu,price,order_time
감자튀김,9565,2024-12-30 15:00:56
떡볶이,9121,2024-12-29 23:26:56
감자튀김,13035,2024-12-29 17:59:56
감자튀김,20758,2024-12-30 11:17:56
닭강정,24408,2024-12-30 13:43:56
감자튀김,8798,2024-12-30 04:10:56
감자튀김,24921,2024-12-30 15:26:56
떡볶이,4587,2024-12-29 20:00:56
떡볶이,22817,2024-12-29 18:57:56
감자튀김,25020,2024-12-29 21:37:56
떡볶이,8111,2024-12-29 20:13:56
닭강정,23221,2024-12-30 10:12:56
닭강정,9990,2024-12-29 22:52:56
닭강정,11498,2024-12-30 07:13:56
감자튀김,5409,2024-12-30 10:08:56
떡볶이,17864,2024-12-30 08:40:56
감자튀김,9395,2024-12-29 21:35:56
떡볶이,26106,2024-12-30 06:06:56
닭강정,17959,2024-12-29 20:15:56
닭강정,11858,2024-12-29 19:24:56
떡볶이,21997,2024-12-29 21:31:56
감자튀김,23677,2024-12-30 00:31:56
감자튀김,6311,2024-12-30 11:41:56
감자튀김,21110,2024-12-30 11:50:56
떡볶이,14425,2024-12-30 06:47:56
떡볶이,15618,2024-12-30 14:18:56
감자튀김,15710,2024-12-29 19:48:56
감자튀김,11045,2024-12-30 07:41:56
떡볶이,27866,2024-12-30 06:29:56
떡볶이,9283,2024-12-30 13:22:56
감자튀김,1180,2024-12-30 09:30:56
닭강정,9444,2024-12-30 04:26:56
감자튀김,20844,2024-12-30 16:41:56
떡볶이,25664,2024-12-30 07:32:56
닭강정,7246,2024-12-30 00:05:56
떡볶이,7966,2024-12-30 02:25:56
감자튀김,26460,2024-12-30 04:08:56
떡볶이,4426,2024-12-29 18:51:56
닭강정,13916,2024-12-30 07:39:56
떡볶이,16135,2024-12-29 23:55:56
감자튀김,29319,2024-12-30 08:01:56
떡볶이,13188,2024-12-29 22:09:56
떡볶이,21008,2024-12-30 15:19:56
닭강정,8224,2024-12-30 02:53:56
닭강정,15141,2024-12-30 09:57:56
감자튀김,7482,2024-12-29 21:29:56
떡볶이,5439,2024-12-30 11:32:56
떡볶이,21660,2024-12-30 03:20:56
닭강정,2346,2024-12-29 22:42:56
떡볶이,19008,2024-12-30 12:46:56
닭강정,24186,2024-12-29 20:20:56
떡볶이,12471,2024-12-30 00:29:56
떡볶이,4741,2024-12-30 05:20:56
감자튀김,17687,2024-12-30 12:00:56
닭강정,7407,2024-12-29 22:59:56
닭강정,19559,2024-12-30 00:28:56
닭강정,24729,2024-12-30 08:15:56
떡볶이,20519,2024-12-30 03:21:56
닭강정,11981,2024-12-30 02:02:56
감자튀김,22350,2024-12-29 23:56:56
떡볶이,17103,2024-12-30 11:50:56
감자튀김,19483,2024-12-30 06:51:56
떡볶이,13765,2024-12-30 09:54:56
닭강정,13872,2024-12-30 02:15:56
감자튀김,19845,2024-12-30 03:41:56
닭강정,7600,2024-12-29 21:25:56
감자튀김,20382,2024-12-30 15:37:56
감자튀김,15511,2024-12-30 14:48:56
닭강정,10742,2024-12-29 19:58:56
감자튀김,22999,2024-12-30 05:44:56
닭강정,13969,2024-12-30 04:09:56
닭강정,14652,2024-12-30 16:28:56
감자튀김,2914,2024-12-30 09:07:56
떡볶이,20527,2024-12-29 18:43:56
떡볶이,24058,2024-12-30 09:40:56
감자튀김,12571,2024-12-30 14:45:56
감자튀김,19990,2024-12-30 00:08:56
닭강정,15447,2024-12-30 06:58:56
닭강정,28137,2024-12-29 21:22:56
떡볶이,15285,2024-12-30 04:50:56
닭강정,7051,2024-12-30 06:36:56
닭강정,10563,2024-12-30 05:47:56
떡볶이,15812,2024-12-30 01:57:56
감자튀김,15227,2024-12-30 12:01:56
닭강정,12358,2024-12-30 15:48:56
닭강정,1401,2024-12-29 19:00:56
떡볶이,9744,2024-12-30 04:07:56
떡볶이,18115,2024-12-30 14:39:56
감자튀김,17867,2024-12-30 14:12:56
감자튀김,23982,2024-12-30 10:29:56
떡볶이,10707,2024-12-29 21:20:56
닭강정,16627,2024-12-30 00:23:56
닭강정,23572,2024-12-30 16:35:56
감자튀김,7377,2024-12-30 10:14:56
감자튀김,18412,2024-12-30 02:54:56
떡볶이,16919,2024-12-29 17:36:56
떡볶이,3603,2024-12-30 02:20:56
닭강정,14298,2024-12-30 10:02:56
감자튀김,27164,2024-12-29 17:55:56
닭강정,15586,2024-12-30 03:16:56
