menu,price,order_time
떡볶이,9609,2024-12-30 14:05:56
감자튀김,26508,2024-12-30 03:53:56
감자튀김,17152,2024-12-30 04:12:56
닭강정,2593,2024-12-30 10:03:56
감자튀김,8190,2024-12-29 19:57:56
감자튀김,20714,2024-12-30 05:52:56
닭강정,26190,2024-12-29 21:59:56
닭강정,5465,2024-12-30 15:29:56
떡볶이,28811,2024-12-30 11:44:56
감자튀김,5131,2024-12-30 02:24:56
감자튀김,18539,2024-12-30 13:53:56
닭강정,23739,2024-12-30 01:05:56
감자튀김,25130,2024-12-30 04:12:56
감자튀김,12996,2024-12-30 11:02:56
감자튀김,9341,2024-12-29 18:11:56
감자튀김,3008,2024-12-30 09:57:56
닭강정,13332,2024-12-30 08:47:56
감자튀김,25642,2024-12-30 15:48:56
감자튀김,10044,2024-12-30 01:41:56
떡볶이,5719,2024-12-29 21:11:56
닭강정,20488,2024-12-30 10:59:56
감자튀김,28769,2024-12-30 13:26:56
닭강정,21912,2024-12-30 02:48:56
닭강정,22122,2024-12-30 03:06:56
닭강정,3637,2024-12-30 13:20:56
떡볶이,4853,2024-12-30 10:55:56
감자튀김,22298,2024-12-29 18:46:56
감자튀김,29012,2024-12-30 09:36:56
닭강정,26513,2024-12-29 21:00:56
감자튀김,12621,2024-12-29 18:59:56
감자튀김,17777,2024-12-30 16:57:56
떡볶이,14207,2024-12-30 14:25:56
감자튀김,15679,2024-12-30 07:24:56
떡볶이,10968,2024-12-29 17:25:56
닭강정,7048,2024-12-30 16:33:56
감자튀김,10796,2024-12-30 09:31:56
닭강정,11757,2024-12-29 23:35:56
감자튀김,9992,2024-12-30 13:46:56
닭강정,4453,2024-12-30 07:07:56
닭강정,7657,2024-12-30 02:59:56
떡볶이,25947,2024-12-30 13:18:56
감자튀김,19064,2024-12-29 18:00:56
떡볶이,2315,2024-12-30 05:34:56
닭강정,4121,2024-12-30 04:11:56
감자튀김,27783,2024-12-30 06:04:56
닭강정,29903,2024-12-29 22:43:56
떡볶이,4397,2024-12-30 14:18:56
닭강정,12349,2024-12-29 20:37:56
떡볶이,16084,2024-12-30 03:32:56
떡볶이,8910,2024-12-29 22:08:56
감자튀김,13314,2024-12-30 17:16:56
닭강정,25906,2024-12-29 18:24:56
떡볶이,8660,2024-12-30 02:00:56
닭강정,27622,2024-12-29 23:22:56
감자튀김,21681,2024-12-30 16:34:56
감자튀김,2515,2024-12-29 18:30:56
닭강정,15736,2024-12-30 15:19:56
감자튀김,15862,2024-12-30 07:07:56
감자튀김,19839,2024-12-30 12:24:56
닭강정,2029,2024-12-30 06:57:56
감자튀김,18767,2024-12-30 08:17:56
닭강정,29406,2024-12-30 10:05:56
닭강정,26453,2024-12-30 06:52:56
감자튀김,7519,2024-12-30 02:10:56
떡볶이,4350,2024-12-30 04:44:56
닭강정,26951,2024-12-30 00:21:56
떡볶이,11430,2024-12-30 09:39:56
떡볶이,11311,2024-12-30 10:44:56
감자튀김,27077,2024-12-30 05:25:56
떡볶이,3008,2024-12-30 05:39:56
닭강정,18541,2024-12-30 03:59:56
떡볶이,27092,2024-12-30 04:08:56
닭강정,9461,2024-12-29 23:31:56
감자튀김,6088,2024-12-29 22:02:56
닭강정,28016,2024-12-30 16:18:56
닭강정,4755,2024-12-30 16:04:56
떡볶이,15148,2024-12-30 16:12:56
닭강정,24332,2024-12-30 09:59:56
닭강정,5898,2024-12-30 07:06:56
닭강정,13124,2024-12-30 04:25:56
닭강정,7151,2024-12-30 14:55:56
닭강정,11053,2024-12-29 19:21:56
닭강정,1890,2024-12-29 21:04:56
닭강정,29195,2024-12-30 16:00:56
떡볶이,15288,2024-12-29 22:34:56
떡볶이,1400,2024-12-30 01:07:56
떡볶이,17945,2024-12-30 04:05:56
떡볶이,22236,2024-12-29 19:30:56
떡볶이,24475,2024-12-30 07:27:56
떡볶이,10468,2024-12-30 14:19:56
닭강정,3077,2024-12-30 00:33:56
닭강정,11337,2024-12-30 08:40:56
감자튀김,13362,2024-12-30 04:44:56
닭강정,23681,2024-12-30 02:22:56
감자튀김,20136,2024-12-29 20:31:56
감자튀김,9040,2024-12-30 14:32:56
떡볶이,12218,2024-12-30 13:13:56
떡볶이,5848,2024-12-29 18:42:56
닭강정,13004,2024-12-29 19:06:56
떡볶이,24551,2024-12-30 06:09:56
