menu,price,order_time
카푸치노,12592,2024-12-29 19:10:56
카푸치노,23722,2024-12-30 11:46:56
카푸치노,13276,2024-12-30 13:26:56
케이크,16617,2024-12-30 10:35:56
아메리카노,2217,2024-12-30 07:21:56
카푸치노,18671,2024-12-29 18:27:56
케이크,16392,2024-12-30 14:45:56
카푸치노,1027,2024-12-30 13:36:56
케이크,6575,2024-12-30 06:28:56
케이크,15671,2024-12-30 06:18:56
아메리카노,22513,2024-12-30 15:40:56
아메리카노,1540,2024-12-29 18:24:56
아메리카노,29912,2024-12-29 18:21:56
아메리카노,15777,2024-12-30 04:36:56
카푸치노,1597,2024-12-30 04:57:56
아메리카노,25090,2024-12-30 16:56:56
케이크,5546,2024-12-29 20:24:56
카푸치노,18971,2024-12-30 11:14:56
케이크,28535,2024-12-29 20:01:56
케이크,22423,2024-12-30 09:15:56
케이크,1126,2024-12-30 09:25:56
케이크,26965,2024-12-30 08:10:56
카푸치노,6469,2024-12-30 00:17:56
카푸치노,28737,2024-12-30 07:44:56
카푸치노,4061,2024-12-30 05:19:56
카푸치노,2219,2024-12-30 04:42:56
아메리카노,4334,2024-12-30 15:43:56
아메리카노,22828,2024-12-29 18:15:56
케이크,19247,2024-12-30 00:05:56
케이크,9913,2024-12-30 16:12:56
케이크,28892,2024-12-30 02:35:56
아메리카노,14594,2024-12-30 14:21:56
카푸치노,18274,2024-12-30 02:32:56
아메리카노,28955,2024-12-30 04:44:56
아메리카노,8143,2024-12-29 23:21:56
카푸치노,12238,2024-12-30 11:07:56
카푸치노,1947,2024-12-30 13:16:56
아메리카노,21261,2024-12-29 22:28:56
케이크,29919,2024-12-30 15:55:56
아메리카노,4709,2024-12-30 00:47:56
카푸치노,18719,2024-12-30 10:35:56
케이크,9108,2024-12-29 18:14:56
카푸치노,14333,2024-12-30 00:38:56
아메리카노,2325,2024-12-30 01:26:56
카푸치노,21762,2024-12-29 20:08:56
케이크,8143,2024-12-29 18:01:56
케이크,2798,2024-12-29 18:27:56
아메리카노,16890,2024-12-30 14:23:56
아메리카노,22833,2024-12-29 23:06:56
케이크,22674,2024-12-30 02:18:56
아메리카노,28708,2024-12-30 07:28:56
케이크,4784,2024-12-30 14:26:56
카푸치노,15698,2024-12-30 13:00:56
아메리카노,22505,2024-12-30 06:24:56
케이크,25536,2024-12-29 19:52:56
카푸치노,3708,2024-12-30 11:49:56
케이크,20454,2024-12-30 14:25:56
아메리카노,23657,2024-12-30 10:12:56
카푸치노,14033,2024-12-29 19:07:56
카푸치노,1053,2024-12-30 09:43:56
케이크,12963,2024-12-29 19:30:56
카푸치노,26004,2024-12-30 15:48:56
아메리카노,24372,2024-12-30 05:24:56
케이크,21721,2024-12-30 17:02:56
카푸치노,20237,2024-12-29 20:28:56
케이크,29211,2024-12-30 06:03:56
아메리카노,19245,2024-12-30 06:20:56
케이크,11756,2024-12-30 13:10:56
카푸치노,23308,2024-12-30 10:33:56
아메리카노,8496,2024-12-30 14:23:56
카푸치노,22422,2024-12-30 13:00:56
아메리카노,25028,2024-12-30 16:27:56
아메리카노,25566,2024-12-30 13:47:56
케이크,7490,2024-12-29 20:18:56
케이크,12194,2024-12-29 22:04:56
아메리카노,12405,2024-12-30 02:46:56
아메리카노,14774,2024-12-30 10:23:56
아메리카노,3588,2024-12-30 02:03:56
아메리카노,22694,2024-12-30 12:44:56
아메리카노,7995,2024-12-30 02:36:56
카푸치노,14723,2024-12-30 11:57:56
아메리카노,24260,2024-12-30 12:05:56
카푸치노,2082,2024-12-30 07:29:56
카푸치노,12289,2024-12-29 19:58:56
케이크,26655,2024-12-30 11:28:56
케이크,22915,2024-12-30 06:45:56
케이크,2076,2024-12-30 11:42:56
아메리카노,15171,2024-12-29 18:56:56
케이크,16788,2024-12-30 10:07:56
아메리카노,15597,2024-12-29 21:08:56
케이크,4219,2024-12-30 14:07:56
카푸치노,6926,2024-12-29 21:21:56
케이크,15186,2024-12-29 17:52:56
케이크,23975,2024-12-30 12:29:56
아메리카노,5547,2024-12-30 00:48:56
아메리카노,17402,2024-12-30 04:04:56
카푸치노,28861,2024-12-29 22:26:56
케이크,14404,2024-12-30 16:20:56
카푸치노,13526,2024-12-30 09:28:56
카푸치노,5852,2024-12-30 15:55:56
