menu,price,order_time
카푸치노,8177,2024-12-30 11:31:57
케이크,5042,2024-12-29 23:23:57
카푸치노,12691,2024-12-30 08:51:57
아메리카노,11816,2024-12-30 00:11:57
케이크,18255,2024-12-30 01:36:57
아메리카노,7648,2024-12-30 15:41:57
카푸치노,6539,2024-12-29 22:09:57
아메리카노,3768,2024-12-30 14:12:57
카푸치노,7732,2024-12-30 03:51:57
카푸치노,23932,2024-12-30 13:42:57
케이크,24590,2024-12-30 05:03:57
케이크,29651,2024-12-29 18:00:57
아메리카노,1503,2024-12-29 22:43:57
아메리카노,15426,2024-12-30 03:29:57
케이크,19154,2024-12-30 04:13:57
카푸치노,11759,2024-12-30 14:50:57
카푸치노,22439,2024-12-30 02:26:57
케이크,28799,2024-12-30 01:32:57
카푸치노,21940,2024-12-29 20:14:57
카푸치노,15379,2024-12-30 13:07:57
카푸치노,22921,2024-12-30 07:08:57
아메리카노,5174,2024-12-30 13:47:57
케이크,17217,2024-12-30 15:47:57
아메리카노,2391,2024-12-30 07:10:57
아메리카노,14612,2024-12-30 01:18:57
아메리카노,7311,2024-12-30 05:37:57
케이크,14125,2024-12-30 04:35:57
케이크,8912,2024-12-30 10:10:57
아메리카노,22845,2024-12-30 13:10:57
케이크,19000,2024-12-30 00:08:57
케이크,16006,2024-12-30 07:18:57
케이크,27627,2024-12-30 01:24:57
카푸치노,28407,2024-12-29 21:14:57
케이크,4228,2024-12-29 20:10:57
카푸치노,13026,2024-12-30 04:51:57
카푸치노,12556,2024-12-29 21:59:57
케이크,4309,2024-12-29 23:11:57
카푸치노,24962,2024-12-29 20:34:57
아메리카노,29299,2024-12-30 13:09:57
아메리카노,16270,2024-12-30 06:11:57
아메리카노,19738,2024-12-30 09:44:57
카푸치노,12389,2024-12-29 18:58:57
카푸치노,9045,2024-12-30 00:18:57
아메리카노,16635,2024-12-29 19:22:57
케이크,21215,2024-12-30 08:03:57
카푸치노,27114,2024-12-30 00:45:57
아메리카노,2754,2024-12-29 20:00:57
아메리카노,29487,2024-12-30 08:42:57
케이크,1553,2024-12-30 02:19:57
케이크,22096,2024-12-29 22:37:57
아메리카노,19781,2024-12-30 04:34:57
카푸치노,21976,2024-12-30 15:38:57
카푸치노,14583,2024-12-29 18:10:57
아메리카노,10261,2024-12-29 21:20:57
아메리카노,12495,2024-12-30 14:55:57
케이크,9090,2024-12-29 23:52:57
케이크,2951,2024-12-29 22:47:57
카푸치노,21077,2024-12-30 07:55:57
카푸치노,20614,2024-12-30 14:28:57
케이크,19778,2024-12-30 13:41:57
카푸치노,26964,2024-12-30 10:19:57
카푸치노,4461,2024-12-30 12:29:57
아메리카노,21780,2024-12-29 23:38:57
카푸치노,26263,2024-12-30 00:25:57
카푸치노,18442,2024-12-29 22:48:57
아메리카노,28543,2024-12-30 04:23:57
아메리카노,10671,2024-12-30 06:00:57
카푸치노,25795,2024-12-29 22:35:57
카푸치노,29129,2024-12-30 08:56:57
아메리카노,16188,2024-12-30 04:17:57
케이크,26826,2024-12-30 07:24:57
카푸치노,6688,2024-12-30 17:19:57
케이크,14721,2024-12-30 17:01:57
카푸치노,15878,2024-12-30 04:56:57
케이크,22281,2024-12-30 03:24:57
아메리카노,26386,2024-12-29 19:05:57
아메리카노,21800,2024-12-30 14:05:57
카푸치노,4956,2024-12-30 05:17:57
아메리카노,18924,2024-12-29 18:35:57
아메리카노,19211,2024-12-30 06:39:57
아메리카노,11999,2024-12-29 23:57:57
케이크,8631,2024-12-30 10:38:57
아메리카노,12483,2024-12-29 22:24:57
케이크,20827,2024-12-30 00:37:57
아메리카노,17584,2024-12-30 04:04:57
케이크,10906,2024-12-29 22:09:57
카푸치노,29741,2024-12-30 13:54:57
아메리카노,28103,2024-12-30 14:04:57
카푸치노,22523,2024-12-30 13:11:57
아메리카노,4458,2024-12-30 10:50:57
아메리카노,3496,2024-12-29 19:01:57
아메리카노,22990,2024-12-30 15:41:57
아메리카노,6835,2024-12-30 05:21:57
카푸치노,11075,2024-12-30 03:16:57
아메리카노,11820,2024-12-30 10:17:57
카푸치노,16826,2024-12-30 01:42:57
케이크,21334,2024-12-30 13:24:57
카푸치노,28240,2024-12-30 07:20:57
카푸치노,20448,2024-12-30 16:56:57
케이크,14684,2024-12-29 19:05:57
