menu,price,order_time
만두,6092,2024-12-30 00:04:56
김밥,15900,2024-12-29 23:55:56
떡볶이,28450,2024-12-30 04:27:56
김밥,29617,2024-12-30 03:46:56
만두,13829,2024-12-30 06:49:56
떡볶이,29387,2024-12-30 03:59:56
만두,3368,2024-12-30 16:16:56
김밥,8588,2024-12-29 18:55:56
떡볶이,4750,2024-12-30 09:48:56
만두,17119,2024-12-30 16:44:56
김밥,21007,2024-12-30 05:31:56
김밥,6062,2024-12-30 05:46:56
떡볶이,4847,2024-12-30 16:02:56
만두,21895,2024-12-30 11:15:56
김밥,1650,2024-12-30 09:01:56
만두,3458,2024-12-30 02:33:56
떡볶이,10424,2024-12-30 01:33:56
떡볶이,15653,2024-12-30 01:24:56
김밥,8494,2024-12-29 19:10:56
떡볶이,6355,2024-12-30 08:31:56
만두,22007,2024-12-30 03:25:56
김밥,9232,2024-12-30 12:22:56
떡볶이,4693,2024-12-30 02:30:56
떡볶이,21122,2024-12-30 16:39:56
만두,6884,2024-12-30 11:11:56
김밥,22292,2024-12-30 11:46:56
떡볶이,25264,2024-12-30 10:00:56
김밥,19871,2024-12-29 23:34:56
떡볶이,8777,2024-12-30 12:05:56
김밥,5555,2024-12-30 11:04:56
김밥,24865,2024-12-30 06:40:56
떡볶이,8946,2024-12-30 11:58:56
김밥,27507,2024-12-29 19:49:56
떡볶이,16152,2024-12-29 23:48:56
김밥,6895,2024-12-30 17:02:56
만두,8621,2024-12-29 23:43:56
김밥,20228,2024-12-30 09:37:56
떡볶이,26432,2024-12-30 00:28:56
떡볶이,12938,2024-12-29 19:58:56
김밥,5060,2024-12-30 03:21:56
떡볶이,17529,2024-12-30 06:23:56
떡볶이,12566,2024-12-30 11:46:56
김밥,3556,2024-12-29 22:27:56
만두,8705,2024-12-29 20:23:56
떡볶이,18119,2024-12-30 10:46:56
만두,17742,2024-12-29 21:27:56
떡볶이,24264,2024-12-30 06:56:56
김밥,27907,2024-12-30 04:00:56
김밥,16946,2024-12-30 09:29:56
떡볶이,24648,2024-12-30 05:50:56
만두,21529,2024-12-30 09:28:56
떡볶이,6263,2024-12-29 23:30:56
만두,18879,2024-12-29 23:24:56
만두,22521,2024-12-30 13:34:56
김밥,1989,2024-12-29 21:57:56
떡볶이,4387,2024-12-30 01:54:56
떡볶이,9713,2024-12-30 13:57:56
김밥,3952,2024-12-30 08:18:56
만두,12080,2024-12-29 23:13:56
만두,1049,2024-12-30 14:29:56
만두,13386,2024-12-30 16:58:56
떡볶이,12083,2024-12-29 23:38:56
김밥,1267,2024-12-29 18:11:56
만두,24280,2024-12-30 08:50:56
만두,9767,2024-12-30 15:28:56
김밥,10944,2024-12-30 06:54:56
떡볶이,25293,2024-12-29 22:14:56
김밥,19031,2024-12-30 10:53:56
떡볶이,19834,2024-12-30 16:31:56
만두,27048,2024-12-29 19:08:56
떡볶이,18743,2024-12-30 13:25:56
김밥,7284,2024-12-30 14:46:56
김밥,23141,2024-12-29 19:54:56
떡볶이,10370,2024-12-30 04:18:56
김밥,6207,2024-12-30 08:48:56
떡볶이,9963,2024-12-30 14:45:56
김밥,23311,2024-12-29 21:45:56
떡볶이,25299,2024-12-30 10:49:56
만두,4079,2024-12-30 09:22:56
만두,10615,2024-12-30 11:27:56
떡볶이,4116,2024-12-30 03:20:56
떡볶이,5884,2024-12-30 10:48:56
떡볶이,9022,2024-12-30 10:53:56
김밥,14093,2024-12-29 20:01:56
만두,21036,2024-12-30 12:04:56
김밥,6790,2024-12-30 00:21:56
만두,15992,2024-12-30 17:05:56
김밥,12762,2024-12-30 14:03:56
떡볶이,16965,2024-12-30 11:15:56
김밥,22614,2024-12-29 20:50:56
떡볶이,27057,2024-12-30 06:43:56
만두,13851,2024-12-29 22:47:56
떡볶이,27968,2024-12-30 13:42:56
만두,12781,2024-12-30 07:44:56
떡볶이,3219,2024-12-29 22:37:56
김밥,18075,2024-12-30 12:53:56
만두,20262,2024-12-30 03:46:56
김밥,15253,2024-12-29 20:45:56
만두,1738,2024-12-30 15:44:56
만두,24987,2024-12-30 02:59:56
