menu,price,order_time
아메리카노,27837,2024-12-29 20:52:56
카푸치노,3966,2024-12-30 10:05:56
케이크,10829,2024-12-29 20:10:56
케이크,28210,2024-12-30 12:35:56
카푸치노,24641,2024-12-30 09:37:56
카푸치노,22938,2024-12-30 12:53:56
아메리카노,21900,2024-12-30 12:01:56
아메리카노,21127,2024-12-30 07:19:56
카푸치노,14398,2024-12-29 21:23:56
아메리카노,14283,2024-12-29 19:42:56
카푸치노,24546,2024-12-29 19:31:56
카푸치노,23108,2024-12-30 05:32:56
아메리카노,11099,2024-12-29 19:06:56
아메리카노,11340,2024-12-30 14:09:56
케이크,15760,2024-12-30 00:24:56
아메리카노,11512,2024-12-30 02:41:56
카푸치노,20676,2024-12-30 03:36:56
카푸치노,5800,2024-12-29 19:30:56
아메리카노,8102,2024-12-30 08:47:56
카푸치노,26534,2024-12-30 13:05:56
아메리카노,19432,2024-12-30 14:22:56
카푸치노,21692,2024-12-29 20:33:56
아메리카노,26656,2024-12-30 15:18:56
아메리카노,28493,2024-12-30 13:33:56
카푸치노,6064,2024-12-30 08:49:56
케이크,13350,2024-12-30 03:04:56
케이크,29666,2024-12-30 16:52:56
케이크,16479,2024-12-30 04:30:56
아메리카노,13774,2024-12-30 05:35:56
아메리카노,4121,2024-12-30 07:37:56
케이크,5318,2024-12-30 05:01:56
카푸치노,26157,2024-12-30 03:29:56
카푸치노,14529,2024-12-30 13:34:56
아메리카노,22854,2024-12-29 17:34:56
케이크,22517,2024-12-29 22:43:56
케이크,3307,2024-12-30 08:45:56
카푸치노,3953,2024-12-29 19:48:56
아메리카노,10725,2024-12-30 06:42:56
아메리카노,13442,2024-12-29 18:30:56
카푸치노,14651,2024-12-29 23:21:56
카푸치노,10401,2024-12-29 17:29:56
아메리카노,10396,2024-12-30 16:32:56
케이크,19545,2024-12-29 19:06:56
케이크,28481,2024-12-30 11:20:56
아메리카노,25473,2024-12-29 21:20:56
카푸치노,13190,2024-12-30 13:35:56
케이크,24669,2024-12-29 23:06:56
아메리카노,2181,2024-12-29 18:10:56
케이크,19235,2024-12-30 03:59:56
아메리카노,23324,2024-12-30 06:04:56
케이크,27963,2024-12-30 14:52:56
케이크,2608,2024-12-30 05:57:56
케이크,4132,2024-12-30 10:50:56
케이크,23616,2024-12-30 02:53:56
케이크,19059,2024-12-29 19:26:56
아메리카노,6232,2024-12-30 02:32:56
케이크,29158,2024-12-29 22:59:56
카푸치노,6618,2024-12-30 05:01:56
케이크,14445,2024-12-29 19:52:56
케이크,28160,2024-12-30 08:53:56
아메리카노,19330,2024-12-30 07:21:56
케이크,13066,2024-12-30 07:05:56
케이크,15667,2024-12-30 06:44:56
아메리카노,13950,2024-12-29 22:12:56
아메리카노,10918,2024-12-30 14:06:56
케이크,1932,2024-12-30 13:06:56
케이크,5550,2024-12-30 02:10:56
카푸치노,3970,2024-12-29 19:24:56
케이크,11851,2024-12-30 09:01:56
케이크,2235,2024-12-30 10:05:56
케이크,6858,2024-12-29 17:27:56
아메리카노,20241,2024-12-29 23:35:56
아메리카노,6652,2024-12-30 16:09:56
카푸치노,19096,2024-12-30 05:15:56
카푸치노,26975,2024-12-29 19:39:56
아메리카노,14787,2024-12-30 06:52:56
케이크,20752,2024-12-30 07:58:56
아메리카노,17177,2024-12-29 19:00:56
아메리카노,12948,2024-12-30 05:47:56
카푸치노,20680,2024-12-30 10:12:56
케이크,14370,2024-12-30 14:46:56
카푸치노,4218,2024-12-30 01:55:56
케이크,19911,2024-12-29 22:26:56
케이크,9703,2024-12-30 13:19:56
케이크,29962,2024-12-30 06:15:56
카푸치노,14512,2024-12-29 19:14:56
아메리카노,16432,2024-12-30 09:11:56
카푸치노,4652,2024-12-30 16:42:56
케이크,12582,2024-12-30 01:44:56
아메리카노,9409,2024-12-30 05:01:56
아메리카노,20618,2024-12-30 06:52:56
카푸치노,12022,2024-12-30 10:25:56
카푸치노,21934,2024-12-30 14:40:56
케이크,27211,2024-12-30 16:33:56
아메리카노,22126,2024-12-30 14:21:56
카푸치노,9294,2024-12-30 02:39:56
케이크,12661,2024-12-30 11:18:56
아메리카노,13746,2024-12-30 00:53:56
카푸치노,19363,2024-12-30 00:03:56
카푸치노,2601,2024-12-30 03:51:56
