menu,price,order_time
떡볶이,4799,2024-12-30 17:19:56
떡볶이,13731,2024-12-30 12:47:56
만두,26175,2024-12-30 08:46:56
김밥,26941,2024-12-30 03:39:56
만두,22566,2024-12-30 01:04:56
김밥,5692,2024-12-29 18:10:56
김밥,9257,2024-12-29 23:01:56
만두,29674,2024-12-30 15:15:56
김밥,6905,2024-12-30 14:04:56
김밥,1406,2024-12-30 10:55:56
떡볶이,17980,2024-12-30 03:02:56
만두,12826,2024-12-29 19:28:56
김밥,19548,2024-12-30 16:19:56
만두,1248,2024-12-30 10:31:56
김밥,21883,2024-12-30 07:35:56
떡볶이,18035,2024-12-30 06:31:56
만두,25972,2024-12-30 06:29:56
김밥,8757,2024-12-30 10:15:56
떡볶이,10773,2024-12-30 03:10:56
떡볶이,23635,2024-12-30 08:03:56
김밥,25233,2024-12-29 17:31:56
만두,29662,2024-12-30 15:25:56
만두,24345,2024-12-30 13:41:56
만두,7915,2024-12-30 03:58:56
만두,1757,2024-12-29 20:39:56
떡볶이,20938,2024-12-30 00:09:56
만두,7260,2024-12-29 21:59:56
만두,29827,2024-12-30 03:07:56
만두,28888,2024-12-30 05:18:56
떡볶이,17422,2024-12-30 10:58:56
김밥,22046,2024-12-30 12:39:56
떡볶이,3977,2024-12-30 08:14:56
떡볶이,5897,2024-12-29 23:39:56
김밥,23110,2024-12-30 10:18:56
떡볶이,1581,2024-12-29 21:43:56
김밥,8802,2024-12-30 12:27:56
만두,27598,2024-12-30 14:42:56
떡볶이,8107,2024-12-30 08:45:56
김밥,16167,2024-12-30 01:19:56
만두,20369,2024-12-29 23:06:56
김밥,17556,2024-12-30 12:51:56
만두,18967,2024-12-30 06:44:56
만두,7606,2024-12-30 14:13:56
만두,22940,2024-12-30 16:39:56
김밥,11799,2024-12-30 14:12:56
떡볶이,15691,2024-12-30 03:03:56
김밥,13080,2024-12-29 18:13:56
떡볶이,21243,2024-12-30 08:03:56
떡볶이,26570,2024-12-30 09:01:56
김밥,18667,2024-12-30 09:01:56
떡볶이,23822,2024-12-30 12:33:56
만두,4888,2024-12-29 18:10:56
떡볶이,17799,2024-12-29 23:42:56
김밥,11325,2024-12-30 10:41:56
만두,21359,2024-12-30 01:45:56
만두,1043,2024-12-30 02:48:56
김밥,22023,2024-12-30 09:44:56
떡볶이,4722,2024-12-30 00:06:56
떡볶이,7153,2024-12-29 22:35:56
떡볶이,7696,2024-12-30 06:43:56
만두,20280,2024-12-30 15:04:56
만두,25396,2024-12-30 11:09:56
김밥,4673,2024-12-30 01:55:56
만두,6763,2024-12-30 03:58:56
만두,13192,2024-12-30 00:10:56
만두,17412,2024-12-30 06:13:56
떡볶이,11418,2024-12-29 18:46:56
떡볶이,14188,2024-12-30 14:00:56
떡볶이,9378,2024-12-29 19:05:56
떡볶이,3142,2024-12-30 06:59:56
떡볶이,9369,2024-12-30 12:24:56
떡볶이,18774,2024-12-30 16:29:56
만두,4480,2024-12-30 05:47:56
김밥,3629,2024-12-29 20:49:56
김밥,23501,2024-12-29 22:12:56
떡볶이,16582,2024-12-29 19:21:56
떡볶이,14844,2024-12-30 12:44:56
떡볶이,15689,2024-12-30 12:16:56
만두,8179,2024-12-30 14:01:56
만두,13267,2024-12-29 20:50:56
떡볶이,22933,2024-12-30 02:12:56
김밥,20849,2024-12-30 06:11:56
김밥,19838,2024-12-30 12:41:56
떡볶이,26844,2024-12-30 05:06:56
김밥,15706,2024-12-29 21:24:56
떡볶이,7129,2024-12-30 14:39:56
떡볶이,5957,2024-12-30 01:40:56
김밥,7640,2024-12-29 22:04:56
만두,24138,2024-12-30 16:02:56
떡볶이,9538,2024-12-29 21:04:56
떡볶이,5896,2024-12-29 23:14:56
김밥,20106,2024-12-29 18:53:56
김밥,25188,2024-12-29 20:03:56
떡볶이,20984,2024-12-29 21:39:56
만두,24405,2024-12-30 05:40:56
만두,1531,2024-12-30 07:35:56
떡볶이,14811,2024-12-30 00:45:56
김밥,7597,2024-12-30 01:00:56
떡볶이,22661,2024-12-29 17:36:56
김밥,23357,2024-12-29 17:39:56
