menu,price,order_time
카푸치노,23006,2024-12-30 13:48:56
카푸치노,21084,2024-12-30 05:29:56
아메리카노,9856,2024-12-30 10:29:56
아메리카노,17453,2024-12-30 00:07:56
아메리카노,25197,2024-12-29 17:36:56
아메리카노,29832,2024-12-30 12:37:56
케이크,29149,2024-12-30 14:57:56
아메리카노,25801,2024-12-30 08:34:56
케이크,13005,2024-12-30 11:21:56
케이크,4392,2024-12-30 14:11:56
케이크,2900,2024-12-30 02:10:56
케이크,23061,2024-12-30 04:29:56
아메리카노,25998,2024-12-30 01:47:56
케이크,8066,2024-12-29 22:54:56
케이크,9021,2024-12-30 04:12:56
아메리카노,20126,2024-12-30 10:15:56
아메리카노,19819,2024-12-30 02:15:56
카푸치노,25233,2024-12-30 15:10:56
케이크,13536,2024-12-30 01:39:56
카푸치노,17587,2024-12-30 02:47:56
케이크,6988,2024-12-29 19:35:56
카푸치노,17673,2024-12-30 09:51:56
케이크,20087,2024-12-30 01:54:56
케이크,13538,2024-12-30 13:13:56
케이크,2893,2024-12-29 23:32:56
케이크,1742,2024-12-29 21:32:56
아메리카노,28938,2024-12-30 03:12:56
아메리카노,15312,2024-12-30 12:35:56
케이크,23447,2024-12-30 08:49:56
케이크,25779,2024-12-30 03:55:56
아메리카노,18812,2024-12-30 11:11:56
케이크,24460,2024-12-29 22:29:56
케이크,13399,2024-12-30 14:53:56
카푸치노,19929,2024-12-30 04:17:56
케이크,14831,2024-12-29 20:40:56
카푸치노,24683,2024-12-30 11:58:56
카푸치노,27023,2024-12-30 05:12:56
아메리카노,10310,2024-12-30 09:29:56
카푸치노,2990,2024-12-30 13:18:56
카푸치노,2160,2024-12-29 22:07:56
카푸치노,18092,2024-12-30 06:38:56
아메리카노,25960,2024-12-30 13:50:56
카푸치노,22616,2024-12-29 19:59:56
케이크,5629,2024-12-30 10:43:56
케이크,24602,2024-12-30 16:06:56
카푸치노,16319,2024-12-30 03:19:56
카푸치노,1562,2024-12-30 09:05:56
아메리카노,26238,2024-12-29 18:42:56
아메리카노,6483,2024-12-30 10:56:56
카푸치노,27202,2024-12-29 22:32:56
카푸치노,12780,2024-12-29 18:02:56
아메리카노,28880,2024-12-29 20:46:56
아메리카노,10937,2024-12-30 01:46:56
카푸치노,7045,2024-12-30 07:32:56
케이크,9922,2024-12-30 10:15:56
케이크,20337,2024-12-30 08:16:56
케이크,7484,2024-12-30 14:21:56
케이크,6240,2024-12-30 03:08:56
아메리카노,15684,2024-12-30 15:47:56
아메리카노,16735,2024-12-29 19:37:56
케이크,3400,2024-12-30 11:53:56
아메리카노,19346,2024-12-30 10:37:56
케이크,29475,2024-12-30 02:37:56
카푸치노,16979,2024-12-30 06:27:56
아메리카노,6807,2024-12-29 17:29:56
케이크,22419,2024-12-30 07:31:56
아메리카노,24936,2024-12-30 15:22:56
아메리카노,15798,2024-12-30 15:03:56
케이크,1496,2024-12-30 14:36:56
카푸치노,8872,2024-12-30 00:58:56
카푸치노,26095,2024-12-30 15:45:56
케이크,9250,2024-12-30 07:57:56
카푸치노,23525,2024-12-30 00:03:56
아메리카노,7949,2024-12-30 03:41:56
케이크,7978,2024-12-30 06:21:56
아메리카노,27343,2024-12-30 06:57:56
카푸치노,9516,2024-12-30 02:57:56
아메리카노,5513,2024-12-30 01:55:56
카푸치노,27234,2024-12-30 08:38:56
아메리카노,6621,2024-12-29 17:36:56
아메리카노,2092,2024-12-30 07:09:56
카푸치노,23010,2024-12-29 17:45:56
아메리카노,2692,2024-12-30 01:00:56
카푸치노,2313,2024-12-29 21:56:56
카푸치노,21428,2024-12-30 06:37:56
케이크,21145,2024-12-29 22:07:56
아메리카노,20424,2024-12-30 17:16:56
케이크,1059,2024-12-30 02:00:56
카푸치노,5876,2024-12-30 10:28:56
카푸치노,16437,2024-12-30 15:04:56
아메리카노,27773,2024-12-29 21:00:56
아메리카노,18353,2024-12-30 03:31:56
카푸치노,25082,2024-12-30 03:27:56
케이크,23647,2024-12-30 03:21:56
아메리카노,24648,2024-12-30 10:15:56
카푸치노,21792,2024-12-29 18:03:56
카푸치노,28213,2024-12-29 18:20:56
케이크,17966,2024-12-30 10:49:56
케이크,21579,2024-12-30 01:30:56
아메리카노,11881,2024-12-30 12:28:56
