menu,price,order_time
케이크,12825,2024-12-29 19:43:56
케이크,23334,2024-12-30 09:32:56
아메리카노,6983,2024-12-30 13:33:56
카푸치노,14400,2024-12-29 23:19:56
아메리카노,29860,2024-12-30 03:36:56
아메리카노,10543,2024-12-30 01:52:56
케이크,13766,2024-12-30 15:16:56
케이크,23488,2024-12-30 16:47:56
케이크,23552,2024-12-29 18:03:56
아메리카노,6485,2024-12-30 16:04:56
아메리카노,10591,2024-12-30 00:11:56
카푸치노,1693,2024-12-30 09:41:56
아메리카노,18586,2024-12-30 11:58:56
아메리카노,1325,2024-12-30 14:11:56
아메리카노,3894,2024-12-29 19:45:56
카푸치노,22726,2024-12-30 15:43:56
아메리카노,8331,2024-12-29 21:35:56
아메리카노,24912,2024-12-30 08:51:56
케이크,10666,2024-12-29 19:42:56
카푸치노,18162,2024-12-30 05:13:56
아메리카노,29090,2024-12-30 14:02:56
카푸치노,25024,2024-12-30 02:15:56
아메리카노,29077,2024-12-29 17:41:56
카푸치노,6375,2024-12-30 13:29:56
아메리카노,5921,2024-12-29 19:34:56
아메리카노,13955,2024-12-30 12:38:56
카푸치노,28691,2024-12-30 13:46:56
아메리카노,1996,2024-12-30 09:38:56
케이크,10305,2024-12-30 12:46:56
카푸치노,4579,2024-12-29 18:57:56
카푸치노,19738,2024-12-30 00:00:56
아메리카노,15000,2024-12-30 15:39:56
케이크,18964,2024-12-30 14:32:56
카푸치노,6840,2024-12-30 13:51:56
카푸치노,9555,2024-12-30 06:40:56
케이크,1076,2024-12-29 23:49:56
아메리카노,29746,2024-12-30 06:49:56
케이크,3865,2024-12-30 04:01:56
카푸치노,16981,2024-12-29 19:01:56
아메리카노,18903,2024-12-30 14:47:56
케이크,14829,2024-12-30 13:46:56
케이크,18167,2024-12-30 07:09:56
아메리카노,5223,2024-12-30 16:32:56
카푸치노,28429,2024-12-30 06:00:56
아메리카노,17047,2024-12-30 15:41:56
아메리카노,6009,2024-12-30 08:55:56
카푸치노,8124,2024-12-29 17:56:56
케이크,3936,2024-12-29 19:29:56
케이크,3506,2024-12-30 01:44:56
카푸치노,1691,2024-12-30 08:43:56
아메리카노,15767,2024-12-30 17:00:56
카푸치노,5511,2024-12-30 15:26:56
아메리카노,15693,2024-12-30 13:42:56
카푸치노,16620,2024-12-30 10:30:56
아메리카노,6381,2024-12-29 23:43:56
케이크,3016,2024-12-30 10:50:56
카푸치노,26778,2024-12-30 01:06:56
케이크,2412,2024-12-30 12:36:56
카푸치노,28593,2024-12-29 21:04:56
케이크,13792,2024-12-30 04:14:56
카푸치노,22548,2024-12-30 10:43:56
아메리카노,6744,2024-12-29 23:22:56
카푸치노,20005,2024-12-29 19:03:56
아메리카노,12267,2024-12-29 18:14:56
카푸치노,1642,2024-12-30 01:29:56
케이크,29977,2024-12-29 23:10:56
카푸치노,20130,2024-12-30 04:08:56
카푸치노,26861,2024-12-30 13:34:56
케이크,25971,2024-12-30 07:23:56
케이크,13955,2024-12-29 23:05:56
아메리카노,26945,2024-12-30 10:15:56
아메리카노,22327,2024-12-30 00:19:56
카푸치노,11548,2024-12-30 07:53:56
카푸치노,20376,2024-12-30 04:10:56
아메리카노,3741,2024-12-30 14:28:56
아메리카노,12578,2024-12-30 02:14:56
카푸치노,23950,2024-12-30 10:23:56
케이크,27867,2024-12-30 11:57:56
아메리카노,12662,2024-12-29 22:45:56
카푸치노,10175,2024-12-29 21:04:56
케이크,21106,2024-12-30 02:47:56
케이크,26454,2024-12-30 03:58:56
카푸치노,21807,2024-12-30 06:59:56
케이크,16597,2024-12-30 04:22:56
케이크,13320,2024-12-30 01:01:56
카푸치노,13578,2024-12-30 08:34:56
케이크,18236,2024-12-29 21:18:56
카푸치노,28802,2024-12-29 17:47:56
카푸치노,25734,2024-12-30 14:55:56
카푸치노,13454,2024-12-30 10:44:56
카푸치노,16662,2024-12-30 14:01:56
카푸치노,3126,2024-12-29 20:18:56
카푸치노,6090,2024-12-30 09:04:56
아메리카노,17138,2024-12-29 17:44:56
카푸치노,15214,2024-12-30 10:36:56
카푸치노,21389,2024-12-30 01:18:56
케이크,6581,2024-12-30 06:09:56
케이크,22623,2024-12-30 00:09:56
카푸치노,27065,2024-12-30 02:16:56
케이크,9039,2024-12-30 00:37:56
