menu,price,order_time
만두,6361,2024-12-30 09:41:56
떡볶이,18636,2024-12-30 13:45:56
떡볶이,18471,2024-12-30 12:02:56
만두,6229,2024-12-30 04:24:56
김밥,22088,2024-12-30 13:14:56
만두,20731,2024-12-29 22:08:56
만두,10760,2024-12-30 11:14:56
떡볶이,24250,2024-12-30 16:12:56
떡볶이,1337,2024-12-30 10:00:56
떡볶이,3305,2024-12-30 08:35:56
만두,11332,2024-12-30 08:11:56
김밥,7797,2024-12-30 11:23:56
떡볶이,12319,2024-12-29 21:13:56
떡볶이,28292,2024-12-29 17:47:56
떡볶이,2447,2024-12-29 23:31:56
김밥,16052,2024-12-29 22:56:56
떡볶이,6048,2024-12-30 06:40:56
만두,20039,2024-12-30 06:00:56
만두,6665,2024-12-29 18:43:56
떡볶이,22864,2024-12-30 07:45:56
김밥,18541,2024-12-30 07:05:56
김밥,9145,2024-12-29 17:26:56
떡볶이,24227,2024-12-30 00:02:56
떡볶이,3606,2024-12-30 05:04:56
떡볶이,3114,2024-12-30 11:24:56
떡볶이,20518,2024-12-29 18:49:56
떡볶이,16192,2024-12-29 17:24:56
만두,16127,2024-12-30 12:55:56
떡볶이,12821,2024-12-30 04:39:56
만두,12775,2024-12-30 03:28:56
만두,11112,2024-12-30 15:19:56
떡볶이,21946,2024-12-29 18:58:56
만두,6987,2024-12-30 15:14:56
만두,16625,2024-12-29 23:50:56
떡볶이,27690,2024-12-30 08:01:56
만두,21177,2024-12-30 14:37:56
김밥,16946,2024-12-29 17:59:56
만두,2088,2024-12-30 14:08:56
떡볶이,29274,2024-12-30 05:02:56
만두,20149,2024-12-30 15:11:56
만두,28469,2024-12-30 00:22:56
만두,15549,2024-12-30 04:14:56
만두,7776,2024-12-30 00:35:56
김밥,17739,2024-12-30 09:47:56
김밥,18296,2024-12-30 03:01:56
김밥,25456,2024-12-30 16:22:56
떡볶이,9499,2024-12-30 00:00:56
떡볶이,1072,2024-12-30 12:57:56
떡볶이,13771,2024-12-30 12:41:56
김밥,4836,2024-12-29 19:20:56
김밥,13087,2024-12-29 22:36:56
만두,6874,2024-12-30 13:19:56
김밥,21784,2024-12-30 05:44:56
만두,25295,2024-12-30 11:47:56
만두,23702,2024-12-29 23:01:56
떡볶이,14707,2024-12-30 13:00:56
떡볶이,7686,2024-12-29 18:25:56
김밥,10776,2024-12-30 01:38:56
김밥,19885,2024-12-30 06:48:56
김밥,25787,2024-12-30 05:36:56
떡볶이,16740,2024-12-30 16:41:56
떡볶이,2801,2024-12-30 02:08:56
떡볶이,24105,2024-12-30 14:08:56
만두,12376,2024-12-30 02:45:56
떡볶이,20547,2024-12-30 15:38:56
떡볶이,29173,2024-12-30 07:18:56
떡볶이,26234,2024-12-30 11:09:56
만두,24931,2024-12-30 13:00:56
떡볶이,2177,2024-12-29 22:54:56
떡볶이,3996,2024-12-29 18:37:56
떡볶이,2892,2024-12-30 07:10:56
김밥,29544,2024-12-29 19:22:56
김밥,28997,2024-12-30 13:05:56
떡볶이,29118,2024-12-30 11:06:56
떡볶이,28529,2024-12-30 10:19:56
떡볶이,9096,2024-12-30 02:29:56
김밥,16109,2024-12-30 16:41:56
만두,13034,2024-12-30 00:44:56
만두,5019,2024-12-29 20:41:56
떡볶이,4002,2024-12-29 17:30:56
떡볶이,11804,2024-12-29 18:01:56
김밥,4905,2024-12-30 02:37:56
떡볶이,20292,2024-12-30 10:41:56
만두,16641,2024-12-30 13:16:56
떡볶이,29631,2024-12-30 02:28:56
떡볶이,1809,2024-12-30 10:38:56
만두,2950,2024-12-29 23:18:56
김밥,1065,2024-12-30 02:38:56
김밥,16768,2024-12-29 20:04:56
만두,8526,2024-12-30 08:24:56
만두,17125,2024-12-29 23:10:56
떡볶이,15370,2024-12-30 05:00:56
만두,23661,2024-12-30 12:50:56
김밥,15019,2024-12-29 18:45:56
떡볶이,2467,2024-12-30 07:47:56
만두,18427,2024-12-30 12:19:56
떡볶이,1672,2024-12-29 23:39:56
떡볶이,3074,2024-12-30 00:33:56
만두,9490,2024-12-30 06:15:56
김밥,25718,2024-12-30 11:25:56
