menu,price,order_time
카푸치노,27536,2024-12-30 09:32:56
아메리카노,21625,2024-12-30 07:16:56
아메리카노,26253,2024-12-30 02:18:56
카푸치노,5383,2024-12-30 02:40:56
카푸치노,20547,2024-12-30 12:44:56
케이크,3866,2024-12-29 22:10:56
케이크,12966,2024-12-30 04:09:56
케이크,18095,2024-12-30 08:26:56
카푸치노,5597,2024-12-30 15:49:56
케이크,14270,2024-12-30 01:14:56
아메리카노,16980,2024-12-29 22:42:56
케이크,23114,2024-12-30 06:20:56
아메리카노,18910,2024-12-30 08:59:56
카푸치노,20780,2024-12-30 09:27:56
아메리카노,8013,2024-12-30 08:54:56
아메리카노,21751,2024-12-29 19:15:56
케이크,21869,2024-12-29 22:16:56
케이크,28811,2024-12-30 11:29:56
아메리카노,19923,2024-12-30 12:48:56
케이크,23568,2024-12-29 23:13:56
아메리카노,7011,2024-12-30 15:59:56
카푸치노,23320,2024-12-30 14:00:56
케이크,20547,2024-12-30 11:29:56
케이크,14495,2024-12-30 11:38:56
카푸치노,9593,2024-12-30 11:39:56
아메리카노,27279,2024-12-29 21:22:56
케이크,5206,2024-12-29 21:04:56
케이크,13446,2024-12-30 16:27:56
아메리카노,8573,2024-12-30 10:15:56
아메리카노,4751,2024-12-30 04:13:56
카푸치노,19404,2024-12-30 09:02:56
케이크,17095,2024-12-29 20:20:56
아메리카노,11960,2024-12-30 03:39:56
아메리카노,25573,2024-12-30 02:23:56
카푸치노,22521,2024-12-30 00:04:56
아메리카노,18584,2024-12-30 10:07:56
카푸치노,18395,2024-12-29 18:24:56
카푸치노,16176,2024-12-29 21:57:56
케이크,26044,2024-12-30 16:10:56
카푸치노,3539,2024-12-29 18:56:56
아메리카노,1345,2024-12-29 23:55:56
케이크,14305,2024-12-30 01:39:56
케이크,17833,2024-12-29 22:43:56
아메리카노,29309,2024-12-30 10:53:56
카푸치노,17138,2024-12-29 17:26:56
카푸치노,12948,2024-12-29 21:19:56
아메리카노,4131,2024-12-30 07:06:56
아메리카노,23109,2024-12-30 07:54:56
카푸치노,11283,2024-12-30 12:12:56
카푸치노,1199,2024-12-30 12:15:56
카푸치노,6318,2024-12-29 23:15:56
카푸치노,10147,2024-12-30 08:45:56
아메리카노,6354,2024-12-30 05:46:56
카푸치노,3773,2024-12-29 21:58:56
케이크,16502,2024-12-29 22:32:56
케이크,5955,2024-12-29 23:07:56
카푸치노,15131,2024-12-29 23:49:56
케이크,8714,2024-12-29 18:02:56
케이크,1716,2024-12-30 13:07:56
케이크,13371,2024-12-30 17:07:56
카푸치노,2194,2024-12-29 18:16:56
아메리카노,23665,2024-12-29 18:37:56
아메리카노,25199,2024-12-30 01:50:56
카푸치노,4950,2024-12-30 03:10:56
아메리카노,10207,2024-12-30 05:25:56
카푸치노,3397,2024-12-30 00:39:56
케이크,10471,2024-12-30 10:32:56
카푸치노,14864,2024-12-29 20:15:56
아메리카노,16454,2024-12-30 14:53:56
케이크,3805,2024-12-29 19:42:56
케이크,17564,2024-12-29 23:59:56
카푸치노,27440,2024-12-30 15:32:56
케이크,17530,2024-12-30 08:16:56
아메리카노,11349,2024-12-29 23:59:56
카푸치노,12192,2024-12-30 04:38:56
아메리카노,4892,2024-12-30 03:50:56
카푸치노,17085,2024-12-30 16:57:56
케이크,2066,2024-12-30 16:40:56
카푸치노,22770,2024-12-30 03:24:56
카푸치노,24883,2024-12-30 14:47:56
케이크,27593,2024-12-30 01:42:56
아메리카노,10745,2024-12-30 04:10:56
케이크,5379,2024-12-30 13:28:56
케이크,4079,2024-12-30 16:48:56
케이크,13520,2024-12-30 11:53:56
케이크,21302,2024-12-30 12:52:56
아메리카노,22738,2024-12-30 17:15:56
카푸치노,18950,2024-12-30 08:41:56
아메리카노,18814,2024-12-29 18:43:56
케이크,19256,2024-12-30 02:36:56
카푸치노,23466,2024-12-30 00:29:56
아메리카노,4821,2024-12-30 01:28:56
카푸치노,21818,2024-12-30 14:33:56
카푸치노,17772,2024-12-29 21:19:56
아메리카노,20379,2024-12-30 03:50:56
카푸치노,16331,2024-12-30 07:12:56
카푸치노,17401,2024-12-30 06:17:56
카푸치노,3260,2024-12-30 11:51:56
카푸치노,26608,2024-12-30 13:55:56
아메리카노,21502,2024-12-29 22:14:56
