menu,price,order_time
만두,2702,2024-12-30 01:07:56
떡볶이,25488,2024-12-29 22:20:56
떡볶이,1309,2024-12-30 10:51:56
김밥,23192,2024-12-30 10:06:56
김밥,6404,2024-12-29 17:53:56
김밥,1162,2024-12-29 17:39:56
떡볶이,23085,2024-12-30 05:01:56
김밥,14290,2024-12-30 04:58:56
김밥,23263,2024-12-30 07:51:56
만두,27524,2024-12-30 08:56:56
만두,10949,2024-12-30 08:08:56
만두,16805,2024-12-30 00:48:56
떡볶이,22549,2024-12-30 01:42:56
김밥,9552,2024-12-29 21:18:56
김밥,6547,2024-12-30 07:03:56
떡볶이,9453,2024-12-30 10:33:56
김밥,10936,2024-12-30 02:47:56
김밥,17445,2024-12-30 01:50:56
만두,27782,2024-12-29 17:37:56
만두,15475,2024-12-29 22:57:56
만두,12615,2024-12-30 05:52:56
김밥,27607,2024-12-30 01:29:56
만두,9541,2024-12-30 09:00:56
떡볶이,26204,2024-12-30 00:23:56
만두,3182,2024-12-30 17:10:56
떡볶이,4781,2024-12-29 21:05:56
만두,14722,2024-12-30 06:06:56
김밥,17677,2024-12-30 11:10:56
김밥,21824,2024-12-29 21:08:56
만두,13295,2024-12-29 18:09:56
떡볶이,12295,2024-12-30 04:42:56
떡볶이,18304,2024-12-30 02:20:56
만두,8527,2024-12-30 12:33:56
만두,24095,2024-12-30 01:32:56
만두,13904,2024-12-30 06:32:56
떡볶이,1132,2024-12-30 09:31:56
떡볶이,26484,2024-12-29 18:23:56
만두,15822,2024-12-29 19:21:56
만두,12222,2024-12-29 21:41:56
떡볶이,25678,2024-12-30 13:49:56
떡볶이,23204,2024-12-29 19:36:56
김밥,10623,2024-12-30 02:31:56
떡볶이,3987,2024-12-30 01:55:56
만두,19318,2024-12-30 01:35:56
김밥,10003,2024-12-30 11:41:56
만두,6967,2024-12-30 02:12:56
떡볶이,4791,2024-12-30 06:44:56
만두,2017,2024-12-30 01:40:56
만두,4620,2024-12-29 21:01:56
김밥,11412,2024-12-29 17:38:56
떡볶이,1293,2024-12-30 00:23:56
떡볶이,23186,2024-12-30 00:53:56
떡볶이,29913,2024-12-30 05:30:56
떡볶이,28045,2024-12-30 06:12:56
떡볶이,12683,2024-12-30 09:00:56
김밥,11318,2024-12-30 06:08:56
떡볶이,16965,2024-12-30 03:54:56
김밥,3387,2024-12-30 12:51:56
만두,24079,2024-12-30 13:15:56
떡볶이,29967,2024-12-30 15:19:56
김밥,18170,2024-12-30 13:36:56
김밥,29186,2024-12-30 09:24:56
김밥,29023,2024-12-30 10:31:56
만두,17184,2024-12-30 14:43:56
김밥,2889,2024-12-30 07:21:56
만두,5159,2024-12-30 16:06:56
만두,11695,2024-12-30 06:45:56
김밥,26949,2024-12-29 22:19:56
떡볶이,25623,2024-12-29 19:42:56
김밥,28788,2024-12-30 14:31:56
떡볶이,7542,2024-12-29 22:02:56
만두,5203,2024-12-30 06:17:56
만두,1410,2024-12-30 16:04:56
떡볶이,21393,2024-12-30 09:32:56
만두,20681,2024-12-30 10:02:56
만두,20136,2024-12-30 09:08:56
만두,13300,2024-12-30 10:58:56
김밥,28299,2024-12-29 22:33:56
만두,26480,2024-12-30 05:17:56
김밥,9549,2024-12-30 16:49:56
김밥,25511,2024-12-30 09:56:56
떡볶이,11547,2024-12-30 05:12:56
떡볶이,25961,2024-12-30 06:59:56
만두,21448,2024-12-30 08:07:56
김밥,3836,2024-12-29 19:32:56
만두,28849,2024-12-30 00:46:56
만두,8343,2024-12-30 06:19:56
만두,10593,2024-12-30 00:14:56
만두,11971,2024-12-30 00:41:56
김밥,26070,2024-12-29 19:02:56
김밥,5140,2024-12-30 14:33:56
만두,7281,2024-12-29 20:03:56
떡볶이,28617,2024-12-30 11:51:56
떡볶이,5048,2024-12-30 05:28:56
떡볶이,27721,2024-12-29 22:29:56
김밥,4359,2024-12-29 18:22:56
만두,15066,2024-12-30 12:34:56
떡볶이,16161,2024-12-29 23:10:56
떡볶이,9357,2024-12-29 19:01:56
김밥,23001,2024-12-30 10:14:56
