menu,price,order_time
감자튀김,18827,2024-12-30 09:48:57
닭강정,25592,2024-12-30 12:17:57
감자튀김,20232,2024-12-30 00:48:57
감자튀김,15320,2024-12-29 17:22:57
감자튀김,14339,2024-12-30 01:49:57
감자튀김,1512,2024-12-29 19:10:57
감자튀김,5573,2024-12-30 09:20:57
떡볶이,25161,2024-12-29 21:45:57
감자튀김,16513,2024-12-29 21:02:57
닭강정,15674,2024-12-30 15:42:57
닭강정,17255,2024-12-30 14:15:57
닭강정,20047,2024-12-30 17:06:57
닭강정,14362,2024-12-29 22:05:57
감자튀김,26642,2024-12-29 20:01:57
닭강정,6070,2024-12-30 02:01:57
닭강정,9760,2024-12-29 19:52:57
닭강정,28683,2024-12-30 12:46:57
떡볶이,2912,2024-12-29 18:13:57
감자튀김,3222,2024-12-30 07:28:57
떡볶이,11833,2024-12-30 16:55:57
감자튀김,26819,2024-12-30 08:54:57
떡볶이,1733,2024-12-30 00:49:57
떡볶이,26794,2024-12-29 21:45:57
떡볶이,14410,2024-12-29 22:38:57
떡볶이,7336,2024-12-30 11:28:57
떡볶이,26097,2024-12-30 05:24:57
닭강정,23167,2024-12-29 23:02:57
떡볶이,8803,2024-12-30 12:23:57
닭강정,10695,2024-12-29 19:19:57
감자튀김,23764,2024-12-30 16:28:57
닭강정,27517,2024-12-30 05:29:57
닭강정,4764,2024-12-30 07:30:57
닭강정,13443,2024-12-30 08:41:57
감자튀김,25685,2024-12-29 19:28:57
감자튀김,18455,2024-12-30 14:57:57
닭강정,28550,2024-12-30 14:15:57
감자튀김,14352,2024-12-30 00:52:57
감자튀김,11979,2024-12-30 06:42:57
감자튀김,9201,2024-12-30 04:33:57
닭강정,5307,2024-12-30 11:07:57
감자튀김,5278,2024-12-30 10:08:57
감자튀김,15077,2024-12-29 21:23:57
떡볶이,21573,2024-12-30 10:03:57
감자튀김,4494,2024-12-29 19:43:57
닭강정,28350,2024-12-30 01:58:57
닭강정,17920,2024-12-29 19:42:57
떡볶이,20234,2024-12-30 06:20:57
닭강정,20657,2024-12-30 11:42:57
떡볶이,9164,2024-12-30 15:11:57
떡볶이,9767,2024-12-29 20:25:57
떡볶이,16721,2024-12-30 02:36:57
떡볶이,24074,2024-12-30 06:14:57
감자튀김,3815,2024-12-30 03:18:57
감자튀김,8966,2024-12-30 00:50:57
닭강정,18679,2024-12-30 06:41:57
감자튀김,28070,2024-12-29 20:26:57
떡볶이,22255,2024-12-29 17:41:57
감자튀김,23690,2024-12-30 06:59:57
떡볶이,4642,2024-12-30 15:33:57
떡볶이,22926,2024-12-30 06:26:57
떡볶이,6450,2024-12-30 09:00:57
닭강정,14228,2024-12-30 12:02:57
떡볶이,7676,2024-12-30 15:00:57
감자튀김,13197,2024-12-30 02:16:57
떡볶이,23723,2024-12-29 22:59:57
닭강정,23938,2024-12-30 16:42:57
떡볶이,12328,2024-12-30 00:57:57
떡볶이,9098,2024-12-30 01:38:57
떡볶이,1109,2024-12-30 02:39:57
닭강정,10613,2024-12-30 10:00:57
떡볶이,1278,2024-12-30 13:06:57
떡볶이,9580,2024-12-30 15:02:57
감자튀김,11731,2024-12-30 10:24:57
감자튀김,7968,2024-12-29 20:27:57
닭강정,22880,2024-12-29 23:54:57
감자튀김,3508,2024-12-30 04:02:57
떡볶이,4410,2024-12-30 08:28:57
떡볶이,3281,2024-12-30 05:48:57
떡볶이,21198,2024-12-30 07:23:57
떡볶이,18434,2024-12-30 08:22:57
닭강정,9437,2024-12-30 00:41:57
떡볶이,21172,2024-12-30 00:01:57
감자튀김,11655,2024-12-29 18:31:57
감자튀김,8280,2024-12-30 12:35:57
떡볶이,9518,2024-12-30 04:32:57
떡볶이,3196,2024-12-29 18:33:57
감자튀김,21797,2024-12-30 12:34:57
감자튀김,17014,2024-12-30 00:59:57
닭강정,24652,2024-12-30 12:04:57
떡볶이,14530,2024-12-29 20:32:57
닭강정,29976,2024-12-30 11:54:57
닭강정,22541,2024-12-30 13:50:57
떡볶이,13516,2024-12-30 16:08:57
닭강정,10625,2024-12-29 19:53:57
떡볶이,7191,2024-12-29 18:07:57
떡볶이,29294,2024-12-30 14:22:57
감자튀김,25360,2024-12-29 17:54:57
닭강정,12498,2024-12-29 21:37:57
닭강정,28952,2024-12-30 05:55:57
닭강정,15466,2024-12-30 05:30:57
