menu,price,order_time
케이크,8769,2024-12-30 05:31:56
케이크,8946,2024-12-29 22:43:56
아메리카노,18405,2024-12-30 16:39:56
카푸치노,17930,2024-12-29 20:06:56
아메리카노,28318,2024-12-30 05:31:56
아메리카노,28412,2024-12-30 13:55:56
케이크,8576,2024-12-30 08:31:56
케이크,29336,2024-12-30 14:38:56
아메리카노,7030,2024-12-30 02:22:56
아메리카노,13797,2024-12-30 01:43:56
카푸치노,15555,2024-12-30 05:05:56
아메리카노,15920,2024-12-30 07:34:56
아메리카노,16049,2024-12-30 00:07:56
카푸치노,29407,2024-12-29 23:33:56
카푸치노,12928,2024-12-30 01:35:56
케이크,20858,2024-12-30 05:07:56
케이크,19940,2024-12-30 03:07:56
카푸치노,5387,2024-12-30 03:13:56
케이크,8238,2024-12-29 19:09:56
케이크,10846,2024-12-30 15:53:56
케이크,13872,2024-12-30 02:02:56
케이크,25554,2024-12-30 15:10:56
아메리카노,20477,2024-12-29 21:00:56
아메리카노,9278,2024-12-30 17:10:56
카푸치노,16560,2024-12-29 20:56:56
카푸치노,9487,2024-12-30 14:05:56
카푸치노,10906,2024-12-29 18:38:56
카푸치노,21192,2024-12-30 15:49:56
케이크,21553,2024-12-30 10:57:56
케이크,7216,2024-12-30 05:33:56
카푸치노,12403,2024-12-30 15:19:56
카푸치노,9257,2024-12-30 16:36:56
아메리카노,20488,2024-12-30 16:35:56
카푸치노,8681,2024-12-30 04:39:56
아메리카노,2675,2024-12-29 19:39:56
케이크,27061,2024-12-29 22:23:56
케이크,29247,2024-12-30 05:46:56
카푸치노,28804,2024-12-30 14:24:56
아메리카노,16454,2024-12-29 23:58:56
아메리카노,18728,2024-12-30 10:31:56
아메리카노,8877,2024-12-30 02:34:56
카푸치노,11771,2024-12-30 06:26:56
아메리카노,18973,2024-12-30 06:21:56
카푸치노,17883,2024-12-30 06:16:56
카푸치노,21403,2024-12-30 13:47:56
아메리카노,3908,2024-12-30 00:58:56
카푸치노,24765,2024-12-29 23:16:56
케이크,5140,2024-12-30 15:24:56
케이크,19580,2024-12-29 19:30:56
카푸치노,17085,2024-12-30 08:10:56
아메리카노,18048,2024-12-30 03:06:56
카푸치노,27452,2024-12-30 01:06:56
케이크,27275,2024-12-30 06:42:56
아메리카노,28072,2024-12-30 01:29:56
카푸치노,11757,2024-12-30 07:34:56
케이크,23251,2024-12-29 19:32:56
카푸치노,29639,2024-12-29 17:49:56
카푸치노,2699,2024-12-30 12:28:56
카푸치노,17417,2024-12-30 05:53:56
케이크,11085,2024-12-30 12:33:56
카푸치노,12863,2024-12-29 22:19:56
아메리카노,16802,2024-12-29 17:52:56
케이크,14003,2024-12-30 08:09:56
아메리카노,23478,2024-12-29 22:08:56
케이크,29564,2024-12-29 19:16:56
케이크,23625,2024-12-30 03:50:56
케이크,8800,2024-12-29 17:47:56
케이크,6507,2024-12-30 07:55:56
카푸치노,6391,2024-12-30 14:54:56
케이크,6147,2024-12-29 21:44:56
카푸치노,27434,2024-12-30 11:54:56
아메리카노,28073,2024-12-30 06:09:56
케이크,20776,2024-12-30 05:15:56
케이크,21608,2024-12-30 08:36:56
카푸치노,5727,2024-12-30 08:03:56
카푸치노,18125,2024-12-30 13:09:56
카푸치노,16731,2024-12-29 21:37:56
아메리카노,4707,2024-12-30 13:18:56
카푸치노,16222,2024-12-29 20:05:56
아메리카노,6957,2024-12-30 10:16:56
케이크,13761,2024-12-30 10:31:56
케이크,19150,2024-12-30 12:42:56
아메리카노,4120,2024-12-30 09:46:56
아메리카노,17950,2024-12-29 18:01:56
카푸치노,16483,2024-12-30 02:46:56
케이크,12911,2024-12-29 21:27:56
아메리카노,12728,2024-12-30 05:12:56
케이크,9908,2024-12-30 08:14:56
아메리카노,21932,2024-12-29 18:10:56
케이크,26282,2024-12-30 06:03:56
케이크,2327,2024-12-29 21:57:56
아메리카노,24688,2024-12-30 06:33:56
케이크,14525,2024-12-30 12:32:56
케이크,10256,2024-12-30 14:40:56
케이크,12581,2024-12-30 13:48:56
케이크,24072,2024-12-30 06:20:56
케이크,28015,2024-12-29 19:11:56
케이크,8556,2024-12-30 16:42:56
카푸치노,25565,2024-12-30 03:55:56
케이크,27265,2024-12-30 11:44:56
