menu,price,order_time
케이크,28887,2024-12-30 10:11:57
아메리카노,28091,2024-12-30 08:09:57
케이크,11340,2024-12-29 18:28:57
카푸치노,12374,2024-12-30 13:44:57
카푸치노,26285,2024-12-30 09:31:57
케이크,1058,2024-12-30 11:41:57
케이크,6796,2024-12-29 22:10:57
아메리카노,16592,2024-12-29 23:51:57
케이크,20169,2024-12-30 16:41:57
카푸치노,21287,2024-12-30 08:32:57
카푸치노,19718,2024-12-30 14:06:57
케이크,9885,2024-12-30 02:17:57
케이크,17193,2024-12-30 04:35:57
카푸치노,29530,2024-12-30 00:00:57
아메리카노,12413,2024-12-30 11:26:57
아메리카노,5862,2024-12-30 15:51:57
아메리카노,8482,2024-12-30 09:13:57
카푸치노,11652,2024-12-30 01:31:57
케이크,20432,2024-12-30 00:27:57
카푸치노,3679,2024-12-30 08:06:57
아메리카노,7547,2024-12-30 15:55:57
케이크,13337,2024-12-30 04:57:57
카푸치노,15224,2024-12-30 07:48:57
케이크,12795,2024-12-29 23:32:57
아메리카노,15060,2024-12-29 19:51:57
아메리카노,4380,2024-12-29 17:39:57
카푸치노,13687,2024-12-29 20:46:57
카푸치노,2117,2024-12-30 07:26:57
케이크,24723,2024-12-29 23:56:57
아메리카노,3509,2024-12-29 23:55:57
카푸치노,22785,2024-12-30 03:06:57
아메리카노,5690,2024-12-30 14:12:57
카푸치노,16169,2024-12-29 23:50:57
케이크,1138,2024-12-30 03:20:57
케이크,18835,2024-12-30 05:11:57
카푸치노,26155,2024-12-29 20:41:57
카푸치노,28129,2024-12-30 10:47:57
아메리카노,7218,2024-12-30 03:56:57
케이크,8572,2024-12-30 00:17:57
카푸치노,20813,2024-12-30 00:37:57
케이크,26533,2024-12-30 14:05:57
아메리카노,20810,2024-12-30 03:56:57
카푸치노,17986,2024-12-29 22:03:57
케이크,19049,2024-12-30 06:34:57
카푸치노,2612,2024-12-30 01:07:57
케이크,22104,2024-12-30 06:49:57
카푸치노,13833,2024-12-30 01:02:57
케이크,7242,2024-12-30 14:16:57
카푸치노,7544,2024-12-30 04:15:57
카푸치노,15084,2024-12-29 17:56:57
아메리카노,11756,2024-12-30 16:40:57
카푸치노,12575,2024-12-30 11:35:57
카푸치노,21698,2024-12-29 22:15:57
카푸치노,27482,2024-12-30 04:17:57
케이크,1697,2024-12-30 02:34:57
아메리카노,15689,2024-12-30 10:54:57
케이크,28394,2024-12-30 14:35:57
카푸치노,16676,2024-12-30 05:28:57
케이크,8146,2024-12-29 22:27:57
아메리카노,20642,2024-12-30 06:23:57
카푸치노,24800,2024-12-30 00:46:57
카푸치노,7836,2024-12-29 23:08:57
카푸치노,1011,2024-12-30 07:29:57
케이크,21838,2024-12-30 00:30:57
케이크,29413,2024-12-29 23:31:57
케이크,9379,2024-12-30 06:32:57
카푸치노,20212,2024-12-29 19:20:57
케이크,16011,2024-12-30 03:47:57
케이크,21055,2024-12-29 22:14:57
아메리카노,10739,2024-12-29 20:21:57
아메리카노,16256,2024-12-29 23:02:57
카푸치노,13762,2024-12-29 17:43:57
케이크,19968,2024-12-30 00:31:57
케이크,12426,2024-12-29 18:00:57
카푸치노,3361,2024-12-29 23:09:57
아메리카노,9942,2024-12-29 20:37:57
아메리카노,3974,2024-12-29 18:46:57
아메리카노,1025,2024-12-29 21:19:57
아메리카노,1422,2024-12-29 22:15:57
케이크,24070,2024-12-29 20:34:57
아메리카노,14577,2024-12-29 23:53:57
카푸치노,4853,2024-12-30 02:51:57
아메리카노,27300,2024-12-30 05:39:57
아메리카노,20370,2024-12-30 13:17:57
카푸치노,17086,2024-12-30 00:14:57
카푸치노,17127,2024-12-30 12:10:57
케이크,19324,2024-12-30 03:52:57
케이크,28754,2024-12-29 19:47:57
카푸치노,28204,2024-12-29 20:42:57
아메리카노,23706,2024-12-30 16:30:57
카푸치노,23895,2024-12-29 23:53:57
아메리카노,6784,2024-12-30 02:39:57
카푸치노,19512,2024-12-30 05:11:57
카푸치노,2406,2024-12-30 14:01:57
카푸치노,3170,2024-12-30 08:36:57
케이크,14760,2024-12-29 21:23:57
카푸치노,19980,2024-12-30 09:12:57
케이크,25460,2024-12-29 18:19:57
카푸치노,5715,2024-12-30 07:31:57
카푸치노,29259,2024-12-30 11:44:57
