menu,price,order_time
닭강정,6213,2024-12-30 13:37:56
떡볶이,13256,2024-12-30 01:49:56
감자튀김,24965,2024-12-29 23:57:56
떡볶이,21268,2024-12-29 20:23:56
닭강정,12864,2024-12-30 05:46:56
닭강정,5369,2024-12-30 05:53:56
감자튀김,3006,2024-12-30 09:13:56
닭강정,16826,2024-12-30 14:34:56
닭강정,22578,2024-12-30 01:42:56
닭강정,11460,2024-12-29 19:25:56
닭강정,19541,2024-12-30 10:20:56
닭강정,20665,2024-12-30 11:40:56
감자튀김,3213,2024-12-30 10:49:56
닭강정,10819,2024-12-29 20:59:56
떡볶이,29163,2024-12-30 08:47:56
떡볶이,19875,2024-12-30 09:04:56
감자튀김,27735,2024-12-30 03:33:56
닭강정,1185,2024-12-30 02:19:56
닭강정,28733,2024-12-30 05:41:56
닭강정,29118,2024-12-29 21:55:56
감자튀김,16735,2024-12-30 00:39:56
감자튀김,13931,2024-12-29 18:16:56
감자튀김,21365,2024-12-29 21:34:56
감자튀김,1635,2024-12-30 13:05:56
닭강정,28159,2024-12-30 14:58:56
떡볶이,12565,2024-12-30 14:12:56
떡볶이,10029,2024-12-30 03:32:56
떡볶이,29134,2024-12-30 12:09:56
닭강정,2354,2024-12-30 01:53:56
닭강정,23922,2024-12-30 00:10:56
감자튀김,14681,2024-12-30 14:57:56
닭강정,6625,2024-12-30 00:31:56
떡볶이,7473,2024-12-30 03:51:56
닭강정,9278,2024-12-30 13:22:56
감자튀김,1451,2024-12-30 15:40:56
떡볶이,20343,2024-12-30 13:01:56
떡볶이,20057,2024-12-30 17:08:56
감자튀김,23547,2024-12-30 14:48:56
감자튀김,16472,2024-12-29 22:57:56
감자튀김,23427,2024-12-30 01:26:56
떡볶이,10345,2024-12-30 14:01:56
떡볶이,16147,2024-12-30 09:16:56
감자튀김,9815,2024-12-30 17:14:56
떡볶이,24188,2024-12-29 20:46:56
떡볶이,18676,2024-12-30 09:19:56
감자튀김,27924,2024-12-30 04:49:56
닭강정,2887,2024-12-30 07:49:56
감자튀김,12294,2024-12-29 21:28:56
감자튀김,7974,2024-12-29 23:28:56
감자튀김,14568,2024-12-30 03:58:56
감자튀김,17208,2024-12-30 16:21:56
감자튀김,12822,2024-12-30 17:18:56
닭강정,24868,2024-12-30 08:14:56
감자튀김,18946,2024-12-30 04:13:56
감자튀김,27325,2024-12-29 17:44:56
닭강정,28590,2024-12-30 14:08:56
감자튀김,10587,2024-12-30 06:02:56
떡볶이,9051,2024-12-29 22:58:56
감자튀김,14779,2024-12-30 00:42:56
감자튀김,16029,2024-12-29 22:47:56
닭강정,5195,2024-12-30 00:04:56
감자튀김,28546,2024-12-30 06:49:56
감자튀김,14353,2024-12-30 08:18:56
떡볶이,9887,2024-12-29 22:04:56
닭강정,14392,2024-12-30 05:36:56
감자튀김,5785,2024-12-29 22:53:56
감자튀김,6937,2024-12-30 00:29:56
닭강정,15294,2024-12-30 15:30:56
떡볶이,11453,2024-12-30 04:20:56
감자튀김,9808,2024-12-30 07:33:56
감자튀김,6538,2024-12-29 18:34:56
떡볶이,10037,2024-12-30 10:05:56
떡볶이,6936,2024-12-30 04:45:56
감자튀김,23939,2024-12-30 02:33:56
감자튀김,1067,2024-12-29 21:38:56
닭강정,23937,2024-12-30 10:19:56
닭강정,14919,2024-12-30 05:35:56
닭강정,13429,2024-12-30 17:16:56
닭강정,3199,2024-12-30 14:04:56
감자튀김,1496,2024-12-30 13:25:56
떡볶이,11540,2024-12-29 22:24:56
감자튀김,4870,2024-12-29 23:18:56
감자튀김,9166,2024-12-30 07:38:56
감자튀김,7589,2024-12-30 01:10:56
감자튀김,20696,2024-12-29 23:32:56
감자튀김,27317,2024-12-29 20:42:56
떡볶이,19003,2024-12-30 16:25:56
감자튀김,15519,2024-12-30 00:03:56
닭강정,7383,2024-12-30 01:58:56
떡볶이,20677,2024-12-30 02:13:56
닭강정,15131,2024-12-30 15:18:56
닭강정,16822,2024-12-29 17:53:56
떡볶이,24406,2024-12-30 11:48:56
닭강정,11004,2024-12-30 06:36:56
떡볶이,21444,2024-12-30 13:56:56
떡볶이,19628,2024-12-30 00:08:56
떡볶이,7484,2024-12-29 21:17:56
감자튀김,2339,2024-12-30 08:25:56
떡볶이,21585,2024-12-30 07:18:56
감자튀김,23751,2024-12-30 07:42:56
