menu,price,order_time
케이크,28661,2024-12-30 14:00:56
카푸치노,23160,2024-12-29 22:03:56
케이크,23034,2024-12-30 06:22:56
케이크,13317,2024-12-30 14:40:56
아메리카노,12603,2024-12-30 15:08:56
카푸치노,7181,2024-12-30 08:55:56
아메리카노,19059,2024-12-29 23:21:56
아메리카노,23747,2024-12-30 02:14:56
카푸치노,6384,2024-12-29 23:59:56
아메리카노,10427,2024-12-30 04:15:56
아메리카노,10873,2024-12-30 10:48:56
아메리카노,24023,2024-12-30 08:30:56
케이크,4836,2024-12-29 17:43:56
카푸치노,7477,2024-12-30 08:51:56
케이크,13495,2024-12-29 22:18:56
케이크,3260,2024-12-30 16:55:56
카푸치노,17985,2024-12-30 11:56:56
케이크,17991,2024-12-30 03:01:56
아메리카노,29840,2024-12-29 20:21:56
케이크,27043,2024-12-30 11:54:56
케이크,2091,2024-12-30 17:15:56
케이크,21870,2024-12-30 01:40:56
케이크,10447,2024-12-30 16:06:56
케이크,3228,2024-12-29 21:55:56
케이크,29808,2024-12-29 19:23:56
케이크,24626,2024-12-29 21:39:56
케이크,2642,2024-12-30 04:57:56
케이크,5556,2024-12-30 15:39:56
케이크,4050,2024-12-30 04:57:56
카푸치노,25092,2024-12-30 10:17:56
아메리카노,23547,2024-12-30 10:09:56
카푸치노,2567,2024-12-30 10:31:56
아메리카노,18823,2024-12-30 05:47:56
케이크,21230,2024-12-29 17:35:56
아메리카노,26850,2024-12-29 23:23:56
카푸치노,20920,2024-12-30 07:58:56
카푸치노,19269,2024-12-30 03:48:56
케이크,22714,2024-12-30 10:46:56
케이크,13583,2024-12-30 14:42:56
케이크,13295,2024-12-29 22:53:56
카푸치노,14021,2024-12-30 03:56:56
케이크,17107,2024-12-29 22:38:56
카푸치노,8767,2024-12-29 19:47:56
케이크,22529,2024-12-30 11:25:56
아메리카노,4007,2024-12-30 11:43:56
아메리카노,1227,2024-12-29 17:53:56
케이크,12126,2024-12-30 06:45:56
아메리카노,20900,2024-12-30 15:11:56
아메리카노,19203,2024-12-30 06:07:56
케이크,6082,2024-12-30 01:40:56
케이크,21782,2024-12-30 17:10:56
케이크,26971,2024-12-30 01:43:56
아메리카노,6477,2024-12-30 14:48:56
카푸치노,12662,2024-12-30 08:42:56
케이크,11128,2024-12-29 19:51:56
케이크,10140,2024-12-30 12:56:56
아메리카노,7332,2024-12-30 11:03:56
카푸치노,18269,2024-12-29 20:46:56
아메리카노,27027,2024-12-30 07:30:56
카푸치노,13575,2024-12-29 21:15:56
케이크,12551,2024-12-30 03:28:56
아메리카노,19713,2024-12-30 02:50:56
아메리카노,25924,2024-12-30 06:26:56
케이크,18546,2024-12-30 04:45:56
아메리카노,26770,2024-12-29 17:57:56
아메리카노,4814,2024-12-29 20:39:56
케이크,28860,2024-12-30 14:12:56
카푸치노,28367,2024-12-30 17:18:56
케이크,19352,2024-12-29 18:10:56
케이크,21781,2024-12-29 19:13:56
카푸치노,14423,2024-12-29 23:18:56
카푸치노,2279,2024-12-30 06:58:56
카푸치노,8484,2024-12-29 19:40:56
카푸치노,27880,2024-12-30 05:31:56
아메리카노,29685,2024-12-30 15:10:56
케이크,8203,2024-12-29 22:15:56
케이크,7599,2024-12-30 11:26:56
아메리카노,15763,2024-12-30 10:50:56
카푸치노,5731,2024-12-30 13:26:56
아메리카노,21167,2024-12-30 01:56:56
카푸치노,7325,2024-12-30 09:10:56
아메리카노,22819,2024-12-30 16:34:56
카푸치노,23242,2024-12-29 22:59:56
카푸치노,16724,2024-12-30 12:44:56
케이크,9828,2024-12-30 10:44:56
케이크,3595,2024-12-30 10:39:56
카푸치노,7410,2024-12-30 01:52:56
케이크,19360,2024-12-30 16:18:56
아메리카노,7268,2024-12-30 14:38:56
케이크,29468,2024-12-30 05:15:56
케이크,24307,2024-12-29 19:18:56
카푸치노,14847,2024-12-30 17:08:56
카푸치노,29683,2024-12-30 17:09:56
아메리카노,25608,2024-12-29 18:30:56
케이크,14963,2024-12-30 03:55:56
카푸치노,13800,2024-12-30 12:52:56
아메리카노,4926,2024-12-30 11:48:56
카푸치노,26191,2024-12-29 23:52:56
카푸치노,7686,2024-12-30 00:11:56
아메리카노,25273,2024-12-29 23:06:56
