menu,price,order_time
참치회,27396,2024-12-29 20:19:56
연어초밥,12450,2024-12-30 06:46:56
참치회,5131,2024-12-29 21:19:56
연어초밥,10857,2024-12-29 23:20:56
연어초밥,28309,2024-12-30 09:06:56
광어회,7497,2024-12-30 10:33:56
광어회,4116,2024-12-30 11:44:56
연어초밥,8328,2024-12-29 20:39:56
광어회,9042,2024-12-30 14:32:56
참치회,16484,2024-12-30 07:16:56
참치회,22525,2024-12-30 08:05:56
광어회,14020,2024-12-30 15:10:56
참치회,1206,2024-12-30 07:00:56
광어회,24392,2024-12-29 23:59:56
참치회,25317,2024-12-29 23:36:56
참치회,25196,2024-12-30 14:29:56
참치회,18737,2024-12-30 07:10:56
광어회,24248,2024-12-29 19:05:56
참치회,11136,2024-12-29 23:30:56
참치회,1092,2024-12-29 17:32:56
참치회,9060,2024-12-30 09:58:56
참치회,24950,2024-12-30 16:27:56
연어초밥,14336,2024-12-30 15:58:56
광어회,8719,2024-12-29 21:52:56
광어회,12752,2024-12-30 03:19:56
참치회,8282,2024-12-30 04:45:56
연어초밥,3472,2024-12-29 19:27:56
연어초밥,4534,2024-12-30 15:22:56
연어초밥,27651,2024-12-29 20:01:56
연어초밥,10368,2024-12-30 05:44:56
연어초밥,7664,2024-12-30 09:38:56
광어회,8806,2024-12-30 00:54:56
연어초밥,9410,2024-12-30 06:06:56
연어초밥,25137,2024-12-29 18:17:56
광어회,12787,2024-12-29 22:52:56
참치회,5510,2024-12-29 22:15:56
연어초밥,29389,2024-12-29 22:13:56
참치회,17693,2024-12-29 18:19:56
참치회,5441,2024-12-29 18:12:56
광어회,2799,2024-12-29 19:54:56
광어회,24908,2024-12-29 19:39:56
광어회,2108,2024-12-29 23:54:56
연어초밥,14473,2024-12-30 12:18:56
참치회,23250,2024-12-29 20:24:56
참치회,14201,2024-12-29 17:39:56
광어회,12287,2024-12-30 00:50:56
참치회,23591,2024-12-30 01:34:56
광어회,25827,2024-12-29 22:49:56
광어회,18380,2024-12-29 21:23:56
광어회,8127,2024-12-30 15:07:56
광어회,17611,2024-12-30 01:19:56
광어회,15550,2024-12-30 10:55:56
연어초밥,21957,2024-12-29 19:31:56
참치회,29822,2024-12-30 07:06:56
참치회,24743,2024-12-30 10:54:56
연어초밥,15939,2024-12-29 19:02:56
연어초밥,17388,2024-12-30 11:06:56
광어회,7748,2024-12-30 05:05:56
참치회,15680,2024-12-30 12:23:56
연어초밥,22559,2024-12-30 13:50:56
참치회,8946,2024-12-29 19:43:56
참치회,19981,2024-12-29 20:46:56
연어초밥,17228,2024-12-30 00:43:56
연어초밥,5498,2024-12-29 17:22:56
참치회,27135,2024-12-29 18:20:56
광어회,15018,2024-12-30 13:25:56
연어초밥,7986,2024-12-30 13:31:56
연어초밥,14763,2024-12-30 13:08:56
연어초밥,29982,2024-12-30 10:50:56
광어회,9071,2024-12-30 08:28:56
광어회,22666,2024-12-30 01:00:56
참치회,27036,2024-12-30 10:14:56
광어회,7584,2024-12-29 22:41:56
참치회,23615,2024-12-30 10:31:56
광어회,25042,2024-12-29 17:36:56
참치회,21704,2024-12-30 03:15:56
광어회,3908,2024-12-29 19:46:56
참치회,20053,2024-12-30 13:34:56
광어회,14736,2024-12-29 19:13:56
광어회,23873,2024-12-30 05:27:56
참치회,15699,2024-12-30 14:18:56
연어초밥,13980,2024-12-29 17:26:56
참치회,19513,2024-12-30 00:08:56
연어초밥,14664,2024-12-30 02:06:56
참치회,15376,2024-12-29 20:23:56
참치회,14349,2024-12-30 12:41:56
참치회,13779,2024-12-29 20:52:56
연어초밥,11514,2024-12-30 09:57:56
참치회,5241,2024-12-29 23:42:56
연어초밥,22983,2024-12-29 18:00:56
광어회,9871,2024-12-30 07:20:56
광어회,12324,2024-12-30 06:21:56
연어초밥,23578,2024-12-29 18:02:56
연어초밥,17128,2024-12-30 07:50:56
참치회,12447,2024-12-30 16:15:56
광어회,19069,2024-12-30 12:03:56
참치회,5197,2024-12-30 07:19:56
광어회,2191,2024-12-30 04:49:56
연어초밥,2822,2024-12-30 00:20:56
광어회,12148,2024-12-29 22:26:56
