menu,price,order_time
참치회,11163,2024-12-29 23:50:56
참치회,1966,2024-12-30 06:12:56
참치회,25526,2024-12-30 12:01:56
연어초밥,23136,2024-12-29 20:23:56
광어회,11443,2024-12-29 23:05:56
광어회,15357,2024-12-29 19:32:56
광어회,26209,2024-12-30 02:45:56
광어회,20419,2024-12-29 21:47:56
연어초밥,2470,2024-12-30 15:04:56
연어초밥,7175,2024-12-30 07:37:56
광어회,15764,2024-12-29 23:20:56
연어초밥,19404,2024-12-29 22:24:56
참치회,19479,2024-12-30 09:00:56
연어초밥,23586,2024-12-30 09:41:56
광어회,28114,2024-12-29 18:30:56
참치회,25838,2024-12-30 11:29:56
참치회,10127,2024-12-30 15:03:56
연어초밥,21793,2024-12-30 06:50:56
광어회,1883,2024-12-29 19:55:56
연어초밥,26723,2024-12-30 08:42:56
광어회,13481,2024-12-30 15:06:56
연어초밥,23018,2024-12-29 23:58:56
광어회,18271,2024-12-30 02:17:56
참치회,21673,2024-12-30 06:19:56
참치회,25462,2024-12-30 12:26:56
참치회,24548,2024-12-30 15:24:56
연어초밥,28578,2024-12-30 08:15:56
연어초밥,2930,2024-12-30 07:52:56
참치회,27712,2024-12-30 05:11:56
참치회,27420,2024-12-30 03:54:56
참치회,12790,2024-12-30 01:47:56
광어회,26549,2024-12-29 21:14:56
참치회,17391,2024-12-29 21:49:56
연어초밥,2866,2024-12-29 18:57:56
광어회,11253,2024-12-29 17:38:56
연어초밥,20455,2024-12-30 07:31:56
광어회,13502,2024-12-30 13:57:56
광어회,17274,2024-12-30 01:30:56
연어초밥,3695,2024-12-30 14:23:56
광어회,8921,2024-12-29 18:21:56
연어초밥,15264,2024-12-30 17:20:56
연어초밥,11282,2024-12-30 09:11:56
연어초밥,18876,2024-12-29 18:14:56
연어초밥,25979,2024-12-29 22:54:56
연어초밥,2903,2024-12-30 05:41:56
참치회,29583,2024-12-29 21:58:56
광어회,15576,2024-12-30 00:39:56
참치회,17086,2024-12-29 17:52:56
광어회,27424,2024-12-30 07:55:56
연어초밥,6514,2024-12-30 02:36:56
참치회,24705,2024-12-29 22:47:56
연어초밥,1961,2024-12-30 10:07:56
참치회,19075,2024-12-30 10:38:56
광어회,17054,2024-12-29 18:58:56
참치회,5259,2024-12-30 03:12:56
연어초밥,26689,2024-12-30 03:47:56
연어초밥,12317,2024-12-29 19:42:56
연어초밥,2515,2024-12-30 02:48:56
연어초밥,8513,2024-12-29 22:17:56
참치회,2517,2024-12-29 20:20:56
연어초밥,28259,2024-12-30 12:32:56
연어초밥,27951,2024-12-30 10:31:56
참치회,14217,2024-12-29 23:42:56
연어초밥,29716,2024-12-30 11:39:56
연어초밥,26251,2024-12-30 09:49:56
연어초밥,14867,2024-12-30 10:48:56
광어회,2270,2024-12-30 00:50:56
연어초밥,24160,2024-12-30 15:29:56
광어회,6352,2024-12-30 00:45:56
연어초밥,14687,2024-12-30 09:42:56
참치회,27868,2024-12-29 22:40:56
광어회,25097,2024-12-30 12:18:56
광어회,7347,2024-12-29 20:04:56
광어회,29765,2024-12-30 00:18:56
광어회,23804,2024-12-30 02:23:56
연어초밥,23464,2024-12-30 04:29:56
연어초밥,12273,2024-12-29 23:58:56
참치회,11744,2024-12-30 07:01:56
참치회,17091,2024-12-29 20:46:56
참치회,11606,2024-12-30 01:50:56
광어회,17742,2024-12-30 09:46:56
연어초밥,9108,2024-12-29 19:27:56
연어초밥,4532,2024-12-30 06:39:56
연어초밥,11205,2024-12-29 23:18:56
참치회,17180,2024-12-29 18:36:56
광어회,11457,2024-12-29 18:50:56
연어초밥,1004,2024-12-30 12:22:56
광어회,23244,2024-12-30 07:29:56
참치회,29312,2024-12-30 09:26:56
광어회,22883,2024-12-30 17:02:56
참치회,29735,2024-12-29 19:17:56
광어회,15186,2024-12-30 11:45:56
참치회,14691,2024-12-30 07:51:56
참치회,10490,2024-12-30 01:42:56
참치회,29670,2024-12-29 18:43:56
참치회,20209,2024-12-30 08:57:56
연어초밥,12333,2024-12-30 05:23:56
참치회,1652,2024-12-30 14:10:56
광어회,23604,2024-12-30 06:14:56
참치회,21883,2024-12-30 02:43:56
