menu,price,order_time
아메리카노,19693,2024-12-30 14:15:57
아메리카노,13622,2024-12-29 21:29:57
케이크,18711,2024-12-30 05:48:57
케이크,28122,2024-12-30 05:41:57
카푸치노,4249,2024-12-30 01:43:57
아메리카노,13460,2024-12-30 15:21:57
카푸치노,14193,2024-12-30 11:17:57
아메리카노,20507,2024-12-30 15:12:57
케이크,24704,2024-12-30 04:46:57
카푸치노,19769,2024-12-29 18:50:57
카푸치노,18912,2024-12-30 05:21:57
카푸치노,17797,2024-12-30 05:19:57
카푸치노,28347,2024-12-30 12:08:57
케이크,27957,2024-12-30 00:56:57
카푸치노,6519,2024-12-30 04:23:57
케이크,13823,2024-12-30 06:12:57
카푸치노,21243,2024-12-30 06:23:57
케이크,15816,2024-12-30 11:51:57
케이크,18215,2024-12-29 21:40:57
케이크,2136,2024-12-30 00:46:57
아메리카노,22922,2024-12-30 12:30:57
아메리카노,13045,2024-12-30 03:19:57
아메리카노,12174,2024-12-29 23:31:57
케이크,28695,2024-12-30 15:47:57
케이크,11548,2024-12-30 16:34:57
아메리카노,25156,2024-12-30 12:51:57
케이크,12220,2024-12-30 08:46:57
아메리카노,26529,2024-12-29 18:49:57
아메리카노,11964,2024-12-30 07:43:57
아메리카노,6141,2024-12-30 11:28:57
케이크,13437,2024-12-30 00:08:57
카푸치노,22969,2024-12-30 13:30:57
카푸치노,7306,2024-12-30 11:24:57
케이크,2469,2024-12-30 10:42:57
카푸치노,1937,2024-12-30 16:55:57
케이크,27933,2024-12-29 18:48:57
케이크,24544,2024-12-30 01:02:57
케이크,3069,2024-12-29 22:37:57
카푸치노,28682,2024-12-30 08:04:57
아메리카노,26993,2024-12-30 01:53:57
케이크,28254,2024-12-29 17:26:57
카푸치노,24272,2024-12-30 06:59:57
아메리카노,10576,2024-12-29 22:56:57
카푸치노,27374,2024-12-30 01:01:57
카푸치노,20006,2024-12-30 08:43:57
아메리카노,10243,2024-12-30 12:03:57
아메리카노,25965,2024-12-30 06:11:57
아메리카노,19781,2024-12-29 19:15:57
케이크,8050,2024-12-30 13:10:57
카푸치노,17301,2024-12-30 04:15:57
카푸치노,25764,2024-12-30 06:58:57
카푸치노,23313,2024-12-29 21:43:57
케이크,16770,2024-12-30 11:45:57
케이크,19115,2024-12-30 00:17:57
케이크,17835,2024-12-30 01:38:57
카푸치노,20356,2024-12-29 21:41:57
케이크,11647,2024-12-30 08:59:57
아메리카노,27148,2024-12-30 00:44:57
케이크,7694,2024-12-30 10:53:57
케이크,3133,2024-12-30 01:32:57
카푸치노,20673,2024-12-30 08:29:57
케이크,11106,2024-12-29 23:49:57
케이크,24160,2024-12-29 20:20:57
아메리카노,29582,2024-12-30 02:18:57
아메리카노,22575,2024-12-29 22:42:57
케이크,23193,2024-12-30 10:14:57
아메리카노,11656,2024-12-30 04:13:57
케이크,14731,2024-12-30 10:01:57
아메리카노,6865,2024-12-29 17:44:57
케이크,16772,2024-12-30 08:29:57
케이크,7167,2024-12-30 12:18:57
아메리카노,2911,2024-12-30 04:00:57
아메리카노,19319,2024-12-29 23:02:57
케이크,23898,2024-12-29 21:16:57
케이크,11445,2024-12-30 16:27:57
아메리카노,28069,2024-12-30 14:48:57
카푸치노,18092,2024-12-30 03:38:57
아메리카노,1960,2024-12-30 05:15:57
아메리카노,26748,2024-12-29 19:32:57
케이크,21166,2024-12-30 00:46:57
아메리카노,12055,2024-12-30 01:23:57
카푸치노,17965,2024-12-29 23:36:57
케이크,12759,2024-12-30 09:45:57
케이크,10212,2024-12-30 08:40:57
카푸치노,14844,2024-12-30 13:28:57
카푸치노,26737,2024-12-30 00:09:57
카푸치노,21145,2024-12-29 19:50:57
카푸치노,16556,2024-12-30 03:25:57
카푸치노,20830,2024-12-29 19:36:57
아메리카노,13392,2024-12-30 13:32:57
카푸치노,1827,2024-12-30 17:06:57
아메리카노,12682,2024-12-30 09:24:57
아메리카노,3456,2024-12-30 15:13:57
케이크,4478,2024-12-30 10:21:57
케이크,5491,2024-12-29 23:18:57
케이크,9962,2024-12-29 22:28:57
케이크,22335,2024-12-30 16:48:57
카푸치노,15972,2024-12-30 09:22:57
아메리카노,7464,2024-12-29 19:46:57
카푸치노,18427,2024-12-29 22:18:57
