menu,price,order_time
떡볶이,1236,2024-12-30 10:37:56
감자튀김,3893,2024-12-30 01:03:56
떡볶이,27345,2024-12-30 06:45:56
감자튀김,17803,2024-12-30 14:14:56
감자튀김,1417,2024-12-30 02:25:56
닭강정,25267,2024-12-30 13:18:56
닭강정,28755,2024-12-30 12:52:56
닭강정,7077,2024-12-29 22:33:56
떡볶이,4049,2024-12-30 11:28:56
떡볶이,10338,2024-12-30 14:59:56
감자튀김,29010,2024-12-29 19:55:56
떡볶이,3295,2024-12-29 23:15:56
떡볶이,11284,2024-12-29 21:02:56
떡볶이,15541,2024-12-29 23:10:56
닭강정,5930,2024-12-30 08:35:56
닭강정,17598,2024-12-30 07:01:56
닭강정,25963,2024-12-29 22:16:56
닭강정,7408,2024-12-29 21:17:56
떡볶이,6987,2024-12-30 07:08:56
감자튀김,9957,2024-12-30 11:59:56
닭강정,20614,2024-12-30 07:29:56
닭강정,25423,2024-12-30 10:36:56
떡볶이,12208,2024-12-30 05:24:56
닭강정,2032,2024-12-30 06:28:56
닭강정,1594,2024-12-30 13:58:56
닭강정,13117,2024-12-30 16:26:56
떡볶이,15172,2024-12-30 12:34:56
닭강정,13886,2024-12-29 22:47:56
감자튀김,1078,2024-12-30 04:59:56
닭강정,21107,2024-12-30 06:17:56
감자튀김,26414,2024-12-30 12:33:56
떡볶이,20878,2024-12-30 17:13:56
떡볶이,6945,2024-12-29 17:33:56
감자튀김,10137,2024-12-29 21:50:56
감자튀김,28638,2024-12-30 02:35:56
닭강정,23429,2024-12-30 02:05:56
닭강정,4487,2024-12-30 15:20:56
감자튀김,2986,2024-12-29 23:14:56
닭강정,16741,2024-12-30 12:35:56
감자튀김,22694,2024-12-30 15:10:56
떡볶이,11639,2024-12-30 02:45:56
닭강정,25456,2024-12-30 05:42:56
감자튀김,13042,2024-12-29 19:56:56
감자튀김,6700,2024-12-30 15:20:56
닭강정,29692,2024-12-30 00:43:56
감자튀김,19312,2024-12-29 19:57:56
감자튀김,12973,2024-12-29 20:53:56
닭강정,2957,2024-12-29 23:29:56
감자튀김,19474,2024-12-30 09:44:56
떡볶이,5836,2024-12-30 10:07:56
닭강정,5015,2024-12-29 17:45:56
떡볶이,28244,2024-12-29 18:13:56
감자튀김,20585,2024-12-30 05:52:56
닭강정,17782,2024-12-30 06:52:56
떡볶이,23160,2024-12-29 22:39:56
감자튀김,22435,2024-12-30 10:04:56
닭강정,11158,2024-12-30 11:56:56
닭강정,17337,2024-12-29 17:57:56
떡볶이,18114,2024-12-29 21:47:56
닭강정,2928,2024-12-30 00:40:56
닭강정,1357,2024-12-30 04:03:56
떡볶이,4258,2024-12-30 03:17:56
닭강정,26614,2024-12-30 00:07:56
떡볶이,7182,2024-12-29 22:31:56
닭강정,25564,2024-12-29 18:21:56
닭강정,7210,2024-12-29 22:23:56
감자튀김,5580,2024-12-30 04:39:56
떡볶이,28483,2024-12-30 10:20:56
감자튀김,3310,2024-12-29 22:34:56
감자튀김,5193,2024-12-30 15:11:56
떡볶이,24939,2024-12-30 11:51:56
닭강정,23885,2024-12-30 02:09:56
떡볶이,16117,2024-12-30 07:27:56
떡볶이,14378,2024-12-30 15:02:56
닭강정,14104,2024-12-30 04:35:56
감자튀김,8440,2024-12-30 05:17:56
감자튀김,6936,2024-12-30 05:40:56
떡볶이,20925,2024-12-30 12:55:56
닭강정,15410,2024-12-30 06:07:56
감자튀김,11893,2024-12-30 11:34:56
떡볶이,9451,2024-12-29 23:48:56
닭강정,11357,2024-12-30 06:22:56
감자튀김,13896,2024-12-29 19:28:56
감자튀김,29368,2024-12-30 07:55:56
닭강정,1709,2024-12-30 17:06:56
떡볶이,4084,2024-12-30 14:24:56
떡볶이,22919,2024-12-30 02:29:56
감자튀김,20275,2024-12-30 08:55:56
닭강정,21766,2024-12-29 22:20:56
닭강정,18643,2024-12-30 00:23:56
감자튀김,28267,2024-12-29 19:01:56
떡볶이,11879,2024-12-29 19:42:56
떡볶이,16504,2024-12-30 09:10:56
떡볶이,13123,2024-12-30 08:59:56
떡볶이,23108,2024-12-30 13:45:56
닭강정,17855,2024-12-30 17:08:56
닭강정,3117,2024-12-29 20:00:56
닭강정,1132,2024-12-30 02:03:56
닭강정,27533,2024-12-30 10:52:56
감자튀김,28080,2024-12-30 09:54:56
