menu,price,order_time
케이크,3911,2024-12-30 03:28:56
카푸치노,8572,2024-12-30 15:08:56
아메리카노,2070,2024-12-29 20:33:56
아메리카노,29705,2024-12-30 00:12:56
케이크,8287,2024-12-30 09:22:56
아메리카노,11839,2024-12-30 12:21:56
카푸치노,25037,2024-12-30 15:07:56
케이크,27887,2024-12-29 20:50:56
아메리카노,20121,2024-12-30 14:44:56
카푸치노,13510,2024-12-30 14:57:56
아메리카노,27809,2024-12-29 20:20:56
카푸치노,9988,2024-12-30 17:14:56
아메리카노,1368,2024-12-30 06:52:56
아메리카노,1873,2024-12-30 06:00:56
아메리카노,25341,2024-12-30 14:46:56
아메리카노,3678,2024-12-30 12:17:56
아메리카노,16115,2024-12-29 19:09:56
카푸치노,14874,2024-12-29 21:13:56
카푸치노,17500,2024-12-30 12:33:56
케이크,7001,2024-12-30 09:01:56
카푸치노,8550,2024-12-30 16:53:56
카푸치노,17264,2024-12-30 15:02:56
아메리카노,7604,2024-12-30 03:17:56
아메리카노,8774,2024-12-30 00:21:56
아메리카노,20994,2024-12-29 22:23:56
아메리카노,19457,2024-12-30 05:26:56
케이크,21925,2024-12-29 22:26:56
아메리카노,8390,2024-12-30 15:31:56
아메리카노,29081,2024-12-30 02:27:56
케이크,9573,2024-12-30 14:54:56
아메리카노,27865,2024-12-30 02:28:56
카푸치노,7113,2024-12-30 12:12:56
아메리카노,11317,2024-12-30 13:28:56
아메리카노,13831,2024-12-30 11:03:56
아메리카노,26331,2024-12-30 00:19:56
아메리카노,18511,2024-12-30 10:29:56
케이크,9312,2024-12-29 23:56:56
카푸치노,2652,2024-12-29 17:30:56
케이크,25806,2024-12-30 15:48:56
아메리카노,26187,2024-12-30 06:41:56
카푸치노,7040,2024-12-29 22:14:56
카푸치노,13669,2024-12-30 04:35:56
아메리카노,28652,2024-12-30 09:38:56
카푸치노,27610,2024-12-29 22:45:56
아메리카노,4473,2024-12-29 22:57:56
아메리카노,14601,2024-12-30 14:50:56
케이크,3592,2024-12-30 02:21:56
아메리카노,8938,2024-12-30 12:27:56
케이크,29336,2024-12-29 19:41:56
케이크,28803,2024-12-30 14:36:56
카푸치노,3475,2024-12-30 07:15:56
아메리카노,14698,2024-12-30 07:43:56
카푸치노,14558,2024-12-30 15:04:56
케이크,24540,2024-12-30 13:50:56
아메리카노,14146,2024-12-30 05:11:56
케이크,19953,2024-12-30 14:14:56
케이크,6682,2024-12-29 18:49:56
카푸치노,4407,2024-12-30 07:45:56
케이크,12944,2024-12-30 15:40:56
아메리카노,12657,2024-12-30 16:18:56
아메리카노,25730,2024-12-30 10:06:56
아메리카노,10174,2024-12-30 12:01:56
케이크,8846,2024-12-29 20:27:56
카푸치노,14900,2024-12-30 10:10:56
카푸치노,28584,2024-12-29 19:46:56
케이크,27075,2024-12-30 02:32:56
카푸치노,16383,2024-12-30 16:26:56
아메리카노,9866,2024-12-30 06:25:56
아메리카노,20923,2024-12-30 01:11:56
카푸치노,10068,2024-12-30 02:19:56
아메리카노,28841,2024-12-30 14:53:56
카푸치노,8202,2024-12-30 06:41:56
케이크,16719,2024-12-30 05:55:56
카푸치노,23368,2024-12-29 20:40:56
아메리카노,24489,2024-12-29 20:16:56
카푸치노,29028,2024-12-30 05:00:56
아메리카노,15057,2024-12-30 15:09:56
케이크,28386,2024-12-30 04:40:56
아메리카노,10574,2024-12-29 21:06:56
아메리카노,3118,2024-12-30 08:03:56
카푸치노,25882,2024-12-30 15:31:56
카푸치노,2001,2024-12-29 18:32:56
케이크,13345,2024-12-30 07:33:56
카푸치노,7620,2024-12-29 21:48:56
카푸치노,3022,2024-12-30 04:40:56
아메리카노,4598,2024-12-30 15:03:56
아메리카노,4667,2024-12-30 11:33:56
케이크,6692,2024-12-30 00:26:56
케이크,20564,2024-12-30 07:32:56
케이크,28406,2024-12-30 15:33:56
케이크,12208,2024-12-30 01:11:56
카푸치노,26553,2024-12-30 14:51:56
아메리카노,9161,2024-12-30 12:51:56
케이크,18812,2024-12-30 13:05:56
아메리카노,15643,2024-12-30 08:45:56
케이크,19408,2024-12-30 01:58:56
아메리카노,18420,2024-12-30 03:51:56
아메리카노,22545,2024-12-29 23:02:56
아메리카노,9625,2024-12-30 16:25:56
아메리카노,13297,2024-12-30 14:44:56
