menu,price,order_time
아메리카노,16013,2024-12-30 09:46:56
케이크,10403,2024-12-30 09:33:56
케이크,14182,2024-12-30 04:42:56
케이크,9661,2024-12-30 01:47:56
카푸치노,7750,2024-12-30 02:04:56
케이크,26881,2024-12-29 23:10:56
아메리카노,1779,2024-12-30 15:23:56
카푸치노,20889,2024-12-30 08:37:56
카푸치노,4305,2024-12-30 12:32:56
아메리카노,4765,2024-12-30 01:17:56
아메리카노,3359,2024-12-30 04:22:56
카푸치노,4221,2024-12-30 01:41:56
아메리카노,29583,2024-12-30 15:49:56
아메리카노,28410,2024-12-30 10:56:56
케이크,10738,2024-12-30 07:15:56
아메리카노,27099,2024-12-30 07:30:56
아메리카노,26224,2024-12-30 00:13:56
케이크,23931,2024-12-30 05:38:56
케이크,17464,2024-12-30 03:36:56
카푸치노,2679,2024-12-30 05:12:56
케이크,5821,2024-12-30 03:24:56
아메리카노,29281,2024-12-30 14:53:56
카푸치노,9024,2024-12-30 15:02:56
케이크,4056,2024-12-30 12:46:56
카푸치노,16436,2024-12-30 00:38:56
카푸치노,7202,2024-12-30 05:14:56
아메리카노,11763,2024-12-29 17:54:56
아메리카노,3004,2024-12-30 07:51:56
아메리카노,21773,2024-12-30 00:12:56
카푸치노,23577,2024-12-30 11:02:56
케이크,15912,2024-12-30 06:46:56
케이크,17162,2024-12-30 02:28:56
카푸치노,26551,2024-12-30 01:49:56
케이크,12319,2024-12-30 10:37:56
카푸치노,13576,2024-12-30 17:07:56
아메리카노,25944,2024-12-30 15:16:56
아메리카노,16448,2024-12-29 19:57:56
케이크,8938,2024-12-29 21:25:56
아메리카노,29837,2024-12-30 02:31:56
케이크,21199,2024-12-30 10:50:56
카푸치노,2031,2024-12-30 11:34:56
아메리카노,23114,2024-12-30 16:25:56
케이크,27677,2024-12-30 03:14:56
케이크,4042,2024-12-29 20:01:56
카푸치노,7073,2024-12-30 07:01:56
케이크,24336,2024-12-29 19:01:56
케이크,8421,2024-12-29 23:28:56
아메리카노,20080,2024-12-30 00:37:56
아메리카노,29560,2024-12-30 10:39:56
아메리카노,26316,2024-12-30 13:05:56
아메리카노,3054,2024-12-30 11:47:56
카푸치노,4408,2024-12-30 08:27:56
아메리카노,18387,2024-12-30 17:06:56
아메리카노,4933,2024-12-29 19:53:56
케이크,29720,2024-12-30 08:53:56
카푸치노,13471,2024-12-30 15:24:56
케이크,2809,2024-12-30 05:57:56
카푸치노,25452,2024-12-30 14:01:56
케이크,18064,2024-12-30 10:55:56
케이크,22732,2024-12-30 15:48:56
카푸치노,13696,2024-12-30 14:19:56
케이크,23210,2024-12-30 11:08:56
아메리카노,6776,2024-12-30 07:44:56
아메리카노,8186,2024-12-29 22:22:56
카푸치노,22419,2024-12-30 05:46:56
카푸치노,21398,2024-12-29 23:44:56
카푸치노,14599,2024-12-30 14:16:56
카푸치노,24574,2024-12-29 19:58:56
카푸치노,29526,2024-12-29 17:37:56
케이크,27297,2024-12-30 05:29:56
아메리카노,14177,2024-12-30 05:46:56
아메리카노,15622,2024-12-30 04:02:56
카푸치노,10643,2024-12-30 04:36:56
아메리카노,19839,2024-12-30 16:24:56
케이크,26152,2024-12-29 19:23:56
아메리카노,1788,2024-12-30 06:52:56
케이크,13700,2024-12-30 07:33:56
아메리카노,15445,2024-12-29 18:39:56
카푸치노,24149,2024-12-30 06:40:56
아메리카노,16844,2024-12-30 08:46:56
아메리카노,3374,2024-12-30 10:57:56
아메리카노,6793,2024-12-29 18:13:56
아메리카노,7067,2024-12-30 07:15:56
아메리카노,9827,2024-12-29 23:55:56
아메리카노,9596,2024-12-30 10:43:56
케이크,21474,2024-12-29 22:04:56
아메리카노,5366,2024-12-29 20:21:56
아메리카노,5735,2024-12-29 19:46:56
케이크,1864,2024-12-29 21:51:56
케이크,5324,2024-12-30 13:16:56
카푸치노,22487,2024-12-30 06:31:56
아메리카노,21556,2024-12-29 20:48:56
카푸치노,23152,2024-12-30 15:33:56
카푸치노,17861,2024-12-30 10:07:56
아메리카노,22459,2024-12-30 04:32:56
케이크,15863,2024-12-30 16:04:56
카푸치노,24947,2024-12-30 08:35:56
아메리카노,23753,2024-12-30 08:46:56
아메리카노,23438,2024-12-29 20:01:56
아메리카노,27633,2024-12-29 17:32:56
