menu,price,order_time
아메리카노,28353,2024-12-29 20:39:57
카푸치노,14191,2024-12-30 11:34:57
케이크,22054,2024-12-30 15:38:57
아메리카노,6757,2024-12-30 16:49:57
카푸치노,3758,2024-12-30 13:34:57
카푸치노,12390,2024-12-30 00:21:57
카푸치노,22412,2024-12-30 10:41:57
아메리카노,20252,2024-12-30 09:17:57
케이크,1211,2024-12-30 13:32:57
케이크,1598,2024-12-29 17:32:57
케이크,3249,2024-12-30 06:13:57
케이크,6661,2024-12-30 05:13:57
아메리카노,8705,2024-12-30 08:21:57
케이크,9628,2024-12-30 16:34:57
케이크,28927,2024-12-30 03:11:57
아메리카노,3448,2024-12-29 23:38:57
아메리카노,5167,2024-12-29 20:44:57
케이크,4500,2024-12-30 12:04:57
케이크,13647,2024-12-30 15:40:57
아메리카노,16278,2024-12-29 20:40:57
카푸치노,15296,2024-12-29 19:25:57
케이크,23537,2024-12-30 02:37:57
아메리카노,2470,2024-12-29 22:54:57
케이크,13881,2024-12-30 08:22:57
카푸치노,25419,2024-12-30 02:41:57
카푸치노,5080,2024-12-30 10:42:57
카푸치노,21492,2024-12-30 03:35:57
아메리카노,15081,2024-12-30 01:09:57
케이크,20395,2024-12-30 16:02:57
아메리카노,17467,2024-12-30 09:45:57
케이크,20574,2024-12-30 08:42:57
케이크,15177,2024-12-30 04:01:57
아메리카노,25507,2024-12-30 03:16:57
카푸치노,29159,2024-12-30 13:03:57
케이크,25706,2024-12-30 04:34:57
아메리카노,14962,2024-12-29 22:52:57
케이크,15786,2024-12-30 09:03:57
케이크,7714,2024-12-30 11:43:57
카푸치노,1170,2024-12-30 07:12:57
케이크,27579,2024-12-29 21:44:57
아메리카노,21656,2024-12-29 22:50:57
아메리카노,19323,2024-12-30 01:08:57
카푸치노,4280,2024-12-29 19:48:57
케이크,9256,2024-12-30 10:27:57
카푸치노,22771,2024-12-30 12:58:57
카푸치노,20867,2024-12-30 03:28:57
아메리카노,4829,2024-12-30 06:51:57
아메리카노,15073,2024-12-29 18:19:57
카푸치노,25310,2024-12-29 17:44:57
아메리카노,21663,2024-12-30 07:38:57
아메리카노,6096,2024-12-30 13:46:57
케이크,17200,2024-12-30 14:07:57
케이크,21386,2024-12-30 07:56:57
케이크,27425,2024-12-30 06:08:57
카푸치노,17519,2024-12-29 18:27:57
아메리카노,16556,2024-12-29 21:28:57
카푸치노,26884,2024-12-30 02:39:57
케이크,12561,2024-12-30 06:50:57
카푸치노,19187,2024-12-30 08:34:57
케이크,13183,2024-12-29 20:21:57
카푸치노,1759,2024-12-30 13:01:57
케이크,15614,2024-12-30 01:28:57
카푸치노,9393,2024-12-30 10:44:57
카푸치노,6755,2024-12-30 14:25:57
카푸치노,24354,2024-12-29 22:05:57
케이크,12751,2024-12-30 09:28:57
케이크,10066,2024-12-29 20:45:57
아메리카노,3780,2024-12-29 17:46:57
케이크,19682,2024-12-30 02:53:57
카푸치노,25885,2024-12-30 16:19:57
케이크,24370,2024-12-29 21:58:57
카푸치노,4802,2024-12-30 04:16:57
아메리카노,7958,2024-12-30 06:48:57
케이크,29374,2024-12-30 14:06:57
아메리카노,4440,2024-12-29 19:01:57
케이크,20233,2024-12-30 12:57:57
아메리카노,28683,2024-12-30 10:42:57
케이크,11579,2024-12-30 03:55:57
아메리카노,14242,2024-12-30 00:39:57
아메리카노,19158,2024-12-29 20:10:57
아메리카노,29254,2024-12-30 02:17:57
케이크,16205,2024-12-29 17:44:57
카푸치노,24933,2024-12-29 20:01:57
아메리카노,8847,2024-12-29 20:03:57
케이크,28734,2024-12-29 20:43:57
아메리카노,27787,2024-12-30 01:00:57
케이크,22898,2024-12-30 11:44:57
카푸치노,28587,2024-12-29 17:34:57
아메리카노,5550,2024-12-30 09:22:57
아메리카노,24979,2024-12-29 17:33:57
카푸치노,8400,2024-12-30 02:40:57
카푸치노,13118,2024-12-30 16:59:57
케이크,2019,2024-12-30 14:54:57
케이크,2006,2024-12-30 04:12:57
카푸치노,18710,2024-12-30 07:31:57
카푸치노,11047,2024-12-29 19:09:57
카푸치노,4298,2024-12-30 03:03:57
카푸치노,2100,2024-12-29 23:56:57
카푸치노,21739,2024-12-30 13:59:57
케이크,24889,2024-12-30 16:38:57
