menu,price,order_time
참치회,23144,2024-12-30 11:26:57
연어초밥,29689,2024-12-30 00:09:57
연어초밥,14024,2024-12-30 01:37:57
광어회,10605,2024-12-30 15:29:57
참치회,12269,2024-12-29 23:14:57
연어초밥,19645,2024-12-29 23:07:57
광어회,27829,2024-12-29 18:26:57
연어초밥,16101,2024-12-30 13:44:57
광어회,25933,2024-12-30 09:43:57
연어초밥,3966,2024-12-30 13:45:57
광어회,2897,2024-12-30 14:29:57
참치회,5528,2024-12-30 13:00:57
참치회,4588,2024-12-30 00:47:57
연어초밥,16735,2024-12-29 23:45:57
참치회,23619,2024-12-30 00:24:57
참치회,16545,2024-12-30 13:00:57
참치회,22600,2024-12-30 11:53:57
광어회,22647,2024-12-29 23:34:57
연어초밥,22138,2024-12-29 22:30:57
연어초밥,20124,2024-12-29 20:59:57
광어회,20644,2024-12-29 17:48:57
참치회,10350,2024-12-30 03:19:57
참치회,15028,2024-12-30 03:06:57
연어초밥,20367,2024-12-30 11:39:57
광어회,27116,2024-12-29 17:42:57
참치회,24816,2024-12-30 07:51:57
광어회,27469,2024-12-29 18:46:57
광어회,24612,2024-12-30 14:57:57
광어회,27049,2024-12-30 09:07:57
연어초밥,19311,2024-12-30 08:22:57
광어회,6450,2024-12-30 04:27:57
광어회,11786,2024-12-30 04:16:57
참치회,21618,2024-12-30 04:09:57
참치회,3530,2024-12-30 14:20:57
연어초밥,13854,2024-12-30 14:00:57
연어초밥,22380,2024-12-30 04:53:57
연어초밥,14998,2024-12-29 23:21:57
연어초밥,7710,2024-12-30 06:19:57
참치회,13549,2024-12-30 08:17:57
참치회,5958,2024-12-30 15:50:57
광어회,7522,2024-12-29 18:13:57
참치회,11077,2024-12-30 03:21:57
연어초밥,21630,2024-12-30 13:13:57
연어초밥,16924,2024-12-30 12:03:57
참치회,10171,2024-12-29 18:41:57
참치회,9236,2024-12-29 17:36:57
참치회,20804,2024-12-29 22:08:57
광어회,3742,2024-12-30 00:46:57
광어회,20462,2024-12-30 10:52:57
참치회,20441,2024-12-30 16:16:57
참치회,21696,2024-12-30 08:01:57
연어초밥,13122,2024-12-30 09:08:57
연어초밥,20013,2024-12-30 06:46:57
연어초밥,19730,2024-12-30 06:06:57
광어회,26295,2024-12-30 01:46:57
연어초밥,15691,2024-12-29 21:00:57
광어회,24990,2024-12-30 01:17:57
참치회,3366,2024-12-30 14:23:57
참치회,17954,2024-12-30 14:51:57
연어초밥,16676,2024-12-30 10:07:57
연어초밥,17519,2024-12-30 16:15:57
연어초밥,21669,2024-12-30 00:50:57
광어회,6966,2024-12-29 22:51:57
광어회,26010,2024-12-30 10:37:57
광어회,3819,2024-12-30 08:52:57
참치회,8324,2024-12-30 11:57:57
연어초밥,3664,2024-12-30 13:38:57
광어회,27190,2024-12-30 05:16:57
참치회,2028,2024-12-30 12:12:57
연어초밥,6608,2024-12-29 19:05:57
광어회,11469,2024-12-30 07:38:57
연어초밥,28146,2024-12-29 22:45:57
광어회,15876,2024-12-30 11:37:57
광어회,6964,2024-12-30 14:34:57
연어초밥,16946,2024-12-29 22:14:57
참치회,11974,2024-12-30 04:56:57
참치회,8548,2024-12-30 02:31:57
연어초밥,26734,2024-12-29 17:32:57
광어회,2173,2024-12-30 04:56:57
광어회,10219,2024-12-30 11:26:57
광어회,11664,2024-12-29 20:34:57
참치회,15644,2024-12-30 09:00:57
광어회,1842,2024-12-30 05:57:57
광어회,15436,2024-12-30 03:33:57
광어회,10893,2024-12-30 05:32:57
연어초밥,12268,2024-12-30 11:46:57
연어초밥,13316,2024-12-30 13:36:57
참치회,17969,2024-12-29 21:38:57
광어회,26952,2024-12-30 10:55:57
광어회,20858,2024-12-29 21:55:57
광어회,17942,2024-12-30 11:06:57
광어회,1620,2024-12-30 02:51:57
연어초밥,2186,2024-12-29 19:21:57
참치회,21758,2024-12-30 05:05:57
연어초밥,9125,2024-12-30 16:39:57
참치회,13384,2024-12-30 15:38:57
광어회,25252,2024-12-30 05:02:57
연어초밥,1551,2024-12-30 15:14:57
참치회,7343,2024-12-30 11:18:57
참치회,29612,2024-12-30 11:49:57
