menu,price,order_time
머핀,2279,2024-12-30 15:46:56
크루아상,5160,2024-12-30 09:08:56
크루아상,13977,2024-12-30 12:52:56
머핀,4743,2024-12-30 03:44:56
머핀,4789,2024-12-30 04:31:56
머핀,2390,2024-12-30 12:22:56
머핀,8742,2024-12-30 09:27:56
머핀,4955,2024-12-29 23:58:56
크루아상,28683,2024-12-29 20:32:56
크루아상,27921,2024-12-29 17:34:56
도넛,5506,2024-12-29 18:39:56
머핀,4234,2024-12-30 10:42:56
머핀,8106,2024-12-30 14:38:56
도넛,16637,2024-12-29 17:47:56
머핀,17354,2024-12-30 06:14:56
머핀,24264,2024-12-30 06:38:56
크루아상,4343,2024-12-30 09:47:56
크루아상,15554,2024-12-29 23:56:56
크루아상,18038,2024-12-29 20:05:56
머핀,25574,2024-12-30 12:34:56
머핀,11827,2024-12-29 17:35:56
크루아상,3427,2024-12-30 05:39:56
도넛,13137,2024-12-29 19:32:56
크루아상,6552,2024-12-30 17:00:56
도넛,8932,2024-12-29 20:32:56
머핀,16139,2024-12-29 20:15:56
크루아상,22973,2024-12-29 19:38:56
도넛,11580,2024-12-29 21:50:56
도넛,15000,2024-12-30 05:15:56
머핀,23577,2024-12-30 03:49:56
도넛,12552,2024-12-30 00:08:56
머핀,8358,2024-12-29 23:38:56
머핀,29597,2024-12-30 03:32:56
머핀,27047,2024-12-30 16:10:56
도넛,20248,2024-12-30 00:54:56
크루아상,18748,2024-12-30 07:32:56
머핀,22477,2024-12-30 13:24:56
도넛,29836,2024-12-30 16:09:56
크루아상,19568,2024-12-29 19:36:56
도넛,11222,2024-12-30 15:48:56
크루아상,2230,2024-12-30 00:17:56
크루아상,15475,2024-12-30 06:37:56
크루아상,6974,2024-12-30 11:52:56
도넛,19149,2024-12-30 14:50:56
도넛,18874,2024-12-30 16:44:56
머핀,25911,2024-12-29 21:36:56
도넛,12830,2024-12-29 23:29:56
머핀,7184,2024-12-29 20:51:56
크루아상,28432,2024-12-30 06:56:56
도넛,9457,2024-12-30 16:39:56
도넛,29216,2024-12-30 03:09:56
도넛,11759,2024-12-30 03:13:56
머핀,29631,2024-12-30 06:49:56
크루아상,14810,2024-12-29 18:31:56
머핀,10355,2024-12-30 11:21:56
크루아상,7568,2024-12-30 06:27:56
크루아상,15365,2024-12-30 03:38:56
도넛,14973,2024-12-30 07:34:56
도넛,11795,2024-12-30 08:29:56
도넛,10726,2024-12-30 05:54:56
도넛,9383,2024-12-29 22:32:56
머핀,5619,2024-12-30 11:41:56
머핀,11005,2024-12-30 11:27:56
도넛,13050,2024-12-30 01:27:56
머핀,14622,2024-12-30 11:28:56
머핀,26024,2024-12-30 02:23:56
도넛,20073,2024-12-29 18:38:56
도넛,16380,2024-12-30 06:44:56
머핀,19077,2024-12-30 10:17:56
크루아상,8309,2024-12-30 11:06:56
크루아상,3692,2024-12-30 00:25:56
도넛,17761,2024-12-30 03:20:56
도넛,28711,2024-12-29 20:06:56
도넛,19234,2024-12-30 14:45:56
머핀,28179,2024-12-29 19:19:56
머핀,15074,2024-12-30 15:41:56
도넛,14383,2024-12-30 10:57:56
도넛,23866,2024-12-29 19:39:56
크루아상,5328,2024-12-30 02:44:56
도넛,23919,2024-12-30 04:53:56
크루아상,27173,2024-12-30 01:09:56
도넛,10187,2024-12-29 23:47:56
크루아상,9774,2024-12-30 10:18:56
머핀,3996,2024-12-30 09:37:56
크루아상,28390,2024-12-30 11:40:56
크루아상,25593,2024-12-29 18:25:56
크루아상,10381,2024-12-30 00:31:56
머핀,11351,2024-12-29 19:26:56
도넛,29874,2024-12-29 22:32:56
도넛,8897,2024-12-30 11:16:56
크루아상,7987,2024-12-30 01:17:56
도넛,20264,2024-12-30 02:08:56
도넛,18566,2024-12-30 00:38:56
크루아상,19806,2024-12-30 14:32:56
크루아상,26070,2024-12-29 19:07:56
크루아상,8683,2024-12-30 04:31:56
크루아상,20667,2024-12-30 10:04:56
도넛,26721,2024-12-30 15:51:56
크루아상,13513,2024-12-30 13:17:56
크루아상,8556,2024-12-30 02:53:56
