menu,price,order_time
아메리카노,24181,2024-12-30 10:36:56
아메리카노,16292,2024-12-30 10:23:56
카푸치노,17394,2024-12-29 19:01:56
아메리카노,10501,2024-12-30 02:41:56
카푸치노,19822,2024-12-30 17:10:56
카푸치노,8454,2024-12-29 18:47:56
아메리카노,15140,2024-12-30 02:05:56
아메리카노,5874,2024-12-30 10:09:56
아메리카노,2327,2024-12-30 01:06:56
카푸치노,4557,2024-12-30 07:53:56
아메리카노,24115,2024-12-29 18:57:56
아메리카노,18647,2024-12-30 10:48:56
아메리카노,6287,2024-12-30 03:22:56
케이크,17808,2024-12-30 14:47:56
케이크,27188,2024-12-30 13:15:56
아메리카노,3701,2024-12-30 00:26:56
케이크,7995,2024-12-29 23:18:56
아메리카노,12746,2024-12-30 00:39:56
아메리카노,25101,2024-12-29 22:17:56
카푸치노,15058,2024-12-30 04:01:56
아메리카노,9642,2024-12-29 19:07:56
케이크,4616,2024-12-30 07:23:56
케이크,7121,2024-12-30 06:20:56
케이크,28754,2024-12-30 13:31:56
아메리카노,11242,2024-12-30 11:34:56
카푸치노,10321,2024-12-30 10:08:56
아메리카노,19038,2024-12-29 19:57:56
카푸치노,29340,2024-12-30 13:24:56
아메리카노,4384,2024-12-29 22:57:56
아메리카노,1195,2024-12-29 21:16:56
카푸치노,22836,2024-12-30 08:44:56
카푸치노,26927,2024-12-29 20:42:56
아메리카노,19740,2024-12-30 14:23:56
아메리카노,7545,2024-12-30 14:07:56
아메리카노,6984,2024-12-29 19:57:56
케이크,12206,2024-12-30 13:10:56
아메리카노,20613,2024-12-30 09:20:56
카푸치노,1550,2024-12-30 16:05:56
카푸치노,23412,2024-12-30 03:05:56
케이크,6255,2024-12-30 04:53:56
카푸치노,1519,2024-12-30 06:33:56
케이크,11944,2024-12-29 23:10:56
카푸치노,16546,2024-12-30 14:57:56
케이크,14801,2024-12-30 16:57:56
카푸치노,2688,2024-12-29 17:50:56
카푸치노,23837,2024-12-29 22:31:56
케이크,28108,2024-12-30 07:46:56
카푸치노,7409,2024-12-30 01:14:56
케이크,26776,2024-12-30 02:32:56
케이크,15702,2024-12-30 04:17:56
카푸치노,13506,2024-12-30 06:06:56
아메리카노,1075,2024-12-30 00:08:56
케이크,7148,2024-12-29 17:36:56
카푸치노,29862,2024-12-30 06:49:56
케이크,4386,2024-12-30 14:38:56
케이크,23358,2024-12-30 08:35:56
카푸치노,25419,2024-12-30 04:48:56
카푸치노,3520,2024-12-30 15:05:56
카푸치노,8849,2024-12-29 17:51:56
아메리카노,6758,2024-12-29 17:50:56
카푸치노,20465,2024-12-30 02:34:56
카푸치노,7487,2024-12-30 14:36:56
아메리카노,26291,2024-12-30 16:37:56
케이크,11472,2024-12-29 19:35:56
케이크,16045,2024-12-30 03:52:56
아메리카노,2629,2024-12-29 21:11:56
아메리카노,27556,2024-12-29 22:44:56
카푸치노,19780,2024-12-30 12:52:56
케이크,5884,2024-12-30 01:03:56
카푸치노,18652,2024-12-30 10:43:56
아메리카노,13634,2024-12-29 21:39:56
카푸치노,25318,2024-12-29 23:33:56
카푸치노,22847,2024-12-30 02:11:56
카푸치노,28194,2024-12-30 13:32:56
케이크,6999,2024-12-30 02:10:56
케이크,24413,2024-12-29 17:58:56
아메리카노,2839,2024-12-29 23:20:56
케이크,9385,2024-12-29 22:17:56
케이크,29537,2024-12-30 13:37:56
아메리카노,15377,2024-12-30 06:18:56
아메리카노,22815,2024-12-29 23:40:56
아메리카노,5447,2024-12-30 06:45:56
카푸치노,11412,2024-12-29 21:36:56
카푸치노,6214,2024-12-30 07:49:56
카푸치노,27888,2024-12-30 16:35:56
케이크,20975,2024-12-29 20:35:56
케이크,16822,2024-12-30 15:48:56
아메리카노,15769,2024-12-30 08:15:56
카푸치노,1866,2024-12-30 03:12:56
아메리카노,19582,2024-12-30 16:16:56
아메리카노,19852,2024-12-30 05:17:56
케이크,20877,2024-12-30 13:55:56
아메리카노,22239,2024-12-30 08:15:56
케이크,11293,2024-12-30 04:50:56
케이크,20479,2024-12-29 20:44:56
케이크,28045,2024-12-30 11:04:56
카푸치노,18044,2024-12-30 11:26:56
아메리카노,23268,2024-12-29 21:05:56
카푸치노,15243,2024-12-30 08:07:56
케이크,7818,2024-12-30 01:50:56
