menu,price,order_time
아메리카노,19644,2024-12-30 15:09:56
카푸치노,29799,2024-12-30 14:00:56
케이크,14700,2024-12-30 01:42:56
아메리카노,14906,2024-12-30 16:26:56
아메리카노,19643,2024-12-29 21:49:56
케이크,23273,2024-12-29 21:36:56
케이크,14685,2024-12-29 22:56:56
카푸치노,6761,2024-12-29 23:41:56
카푸치노,19734,2024-12-30 16:30:56
케이크,27751,2024-12-30 07:45:56
카푸치노,22300,2024-12-30 13:55:56
케이크,9433,2024-12-30 09:10:56
카푸치노,24922,2024-12-29 20:36:56
아메리카노,1860,2024-12-30 09:04:56
카푸치노,11093,2024-12-30 08:51:56
케이크,7234,2024-12-30 00:49:56
케이크,20881,2024-12-29 19:15:56
카푸치노,17897,2024-12-30 01:41:56
아메리카노,26740,2024-12-29 17:28:56
아메리카노,17685,2024-12-30 06:35:56
케이크,29675,2024-12-30 16:46:56
아메리카노,24956,2024-12-29 23:25:56
카푸치노,24004,2024-12-30 09:29:56
아메리카노,10922,2024-12-30 12:39:56
아메리카노,2897,2024-12-30 05:09:56
카푸치노,8094,2024-12-29 20:56:56
아메리카노,15568,2024-12-30 13:02:56
케이크,24569,2024-12-30 14:51:56
카푸치노,13220,2024-12-29 22:01:56
카푸치노,17095,2024-12-29 22:11:56
케이크,27425,2024-12-29 17:37:56
아메리카노,18366,2024-12-29 23:56:56
케이크,21527,2024-12-30 03:44:56
케이크,8073,2024-12-29 18:45:56
아메리카노,24565,2024-12-30 07:03:56
케이크,9577,2024-12-30 11:57:56
아메리카노,12067,2024-12-29 21:31:56
카푸치노,28506,2024-12-29 19:13:56
케이크,8581,2024-12-30 09:26:56
케이크,29165,2024-12-29 18:54:56
케이크,17129,2024-12-29 20:08:56
아메리카노,27246,2024-12-30 07:17:56
아메리카노,22189,2024-12-29 17:44:56
케이크,10824,2024-12-29 22:16:56
아메리카노,19557,2024-12-30 00:36:56
카푸치노,12427,2024-12-29 18:06:56
아메리카노,4102,2024-12-30 06:36:56
카푸치노,3758,2024-12-29 17:49:56
아메리카노,28038,2024-12-30 10:46:56
아메리카노,29679,2024-12-30 08:23:56
케이크,3540,2024-12-29 23:27:56
아메리카노,27280,2024-12-30 04:00:56
카푸치노,2187,2024-12-30 06:07:56
카푸치노,10981,2024-12-30 05:36:56
아메리카노,19386,2024-12-30 08:14:56
케이크,21527,2024-12-29 20:53:56
케이크,10302,2024-12-30 05:29:56
아메리카노,29023,2024-12-30 10:53:56
케이크,2547,2024-12-29 18:56:56
카푸치노,9117,2024-12-30 05:46:56
아메리카노,27969,2024-12-30 06:54:56
카푸치노,1173,2024-12-30 01:39:56
카푸치노,7819,2024-12-30 00:45:56
아메리카노,18341,2024-12-30 15:56:56
카푸치노,20659,2024-12-30 01:52:56
케이크,14944,2024-12-30 03:39:56
카푸치노,20135,2024-12-29 23:29:56
카푸치노,12025,2024-12-29 20:50:56
카푸치노,22975,2024-12-30 11:33:56
아메리카노,21798,2024-12-29 19:05:56
케이크,20653,2024-12-30 12:36:56
아메리카노,4364,2024-12-30 09:43:56
카푸치노,4070,2024-12-30 14:26:56
카푸치노,21199,2024-12-30 05:29:56
카푸치노,27483,2024-12-30 06:05:56
케이크,22600,2024-12-29 21:36:56
아메리카노,8974,2024-12-30 15:35:56
아메리카노,22572,2024-12-29 21:53:56
케이크,18329,2024-12-30 14:59:56
카푸치노,20132,2024-12-29 20:32:56
케이크,16493,2024-12-30 12:24:56
카푸치노,14242,2024-12-30 06:28:56
아메리카노,12347,2024-12-30 01:22:56
카푸치노,17205,2024-12-30 06:08:56
케이크,4200,2024-12-30 15:35:56
아메리카노,8560,2024-12-30 17:15:56
케이크,15403,2024-12-30 14:00:56
카푸치노,15012,2024-12-30 00:24:56
카푸치노,25198,2024-12-29 20:19:56
케이크,22350,2024-12-29 18:46:56
아메리카노,27430,2024-12-30 02:48:56
케이크,1998,2024-12-29 20:54:56
케이크,18106,2024-12-30 13:56:56
아메리카노,14425,2024-12-29 21:27:56
케이크,28828,2024-12-30 10:13:56
아메리카노,27856,2024-12-30 03:51:56
카푸치노,24104,2024-12-30 12:29:56
케이크,11727,2024-12-30 16:13:56
아메리카노,28738,2024-12-30 05:18:56
카푸치노,8302,2024-12-29 22:26:56
