menu,price,order_time
김밥,25765,2024-12-30 06:05:57
떡볶이,7672,2024-12-30 11:39:57
만두,14756,2024-12-30 06:42:57
만두,24100,2024-12-29 18:12:57
김밥,29668,2024-12-30 13:33:57
떡볶이,7709,2024-12-30 10:55:57
만두,29521,2024-12-30 00:41:57
만두,1018,2024-12-30 11:54:57
만두,28566,2024-12-30 14:50:57
떡볶이,18445,2024-12-30 05:20:57
만두,22975,2024-12-30 07:49:57
김밥,19839,2024-12-30 10:53:57
만두,4151,2024-12-30 06:39:57
만두,28992,2024-12-30 12:47:57
김밥,19159,2024-12-30 00:16:57
떡볶이,15315,2024-12-29 17:58:57
떡볶이,28379,2024-12-29 17:55:57
만두,6729,2024-12-30 00:49:57
김밥,3684,2024-12-29 21:00:57
떡볶이,9762,2024-12-30 06:09:57
김밥,4481,2024-12-30 06:10:57
만두,20888,2024-12-30 09:05:57
만두,11560,2024-12-30 09:43:57
만두,18518,2024-12-30 05:12:57
떡볶이,13374,2024-12-29 17:45:57
만두,4475,2024-12-30 16:55:57
김밥,7481,2024-12-30 04:23:57
떡볶이,21157,2024-12-30 06:49:57
떡볶이,9055,2024-12-29 17:48:57
만두,8621,2024-12-30 05:06:57
만두,18224,2024-12-30 06:13:57
김밥,13983,2024-12-29 18:50:57
만두,13873,2024-12-30 08:56:57
떡볶이,1566,2024-12-30 06:47:57
떡볶이,25836,2024-12-30 03:35:57
떡볶이,10753,2024-12-30 00:25:57
김밥,16328,2024-12-29 22:52:57
만두,19570,2024-12-30 02:13:57
떡볶이,4113,2024-12-30 00:15:57
떡볶이,3451,2024-12-30 01:38:57
김밥,2554,2024-12-30 08:54:57
김밥,5092,2024-12-30 13:20:57
만두,21100,2024-12-29 21:31:57
만두,29658,2024-12-29 21:21:57
김밥,23409,2024-12-30 06:08:57
만두,7188,2024-12-30 00:04:57
김밥,22990,2024-12-30 15:48:57
김밥,14988,2024-12-30 04:16:57
떡볶이,18027,2024-12-30 04:52:57
만두,28493,2024-12-30 03:08:57
떡볶이,2206,2024-12-30 09:36:57
만두,29625,2024-12-30 07:58:57
김밥,19179,2024-12-30 02:47:57
만두,16001,2024-12-30 07:31:57
떡볶이,27701,2024-12-30 14:39:57
떡볶이,21926,2024-12-29 21:25:57
떡볶이,3767,2024-12-30 15:32:57
떡볶이,12122,2024-12-30 12:13:57
김밥,25379,2024-12-29 23:42:57
김밥,25446,2024-12-30 09:57:57
김밥,12946,2024-12-30 12:53:57
떡볶이,1526,2024-12-29 17:57:57
떡볶이,23289,2024-12-30 07:49:57
만두,20226,2024-12-29 21:52:57
김밥,1651,2024-12-30 12:18:57
떡볶이,5268,2024-12-30 13:18:57
만두,25339,2024-12-30 03:54:57
김밥,24669,2024-12-30 02:05:57
떡볶이,27877,2024-12-30 08:45:57
만두,14486,2024-12-30 15:55:57
만두,17871,2024-12-30 09:44:57
만두,17043,2024-12-29 20:15:57
만두,6681,2024-12-30 11:43:57
떡볶이,15943,2024-12-30 12:13:57
떡볶이,1652,2024-12-30 12:23:57
만두,18249,2024-12-29 22:40:57
김밥,9259,2024-12-30 02:15:57
만두,26164,2024-12-30 10:20:57
만두,22926,2024-12-29 17:26:57
만두,8232,2024-12-29 19:32:57
떡볶이,18492,2024-12-29 23:41:57
떡볶이,17661,2024-12-30 09:06:57
떡볶이,21612,2024-12-29 22:52:57
김밥,14870,2024-12-29 18:30:57
떡볶이,18961,2024-12-29 19:37:57
떡볶이,27499,2024-12-30 01:08:57
만두,24069,2024-12-30 15:05:57
떡볶이,18258,2024-12-30 01:56:57
만두,23517,2024-12-29 19:39:57
만두,21507,2024-12-30 12:12:57
만두,19552,2024-12-30 00:03:57
김밥,1086,2024-12-30 10:16:57
김밥,26452,2024-12-29 22:01:57
김밥,15890,2024-12-29 20:37:57
떡볶이,17648,2024-12-30 13:19:57
김밥,25970,2024-12-29 18:18:57
만두,21176,2024-12-29 22:20:57
만두,11135,2024-12-30 02:33:57
만두,16246,2024-12-29 19:43:57
떡볶이,2177,2024-12-30 00:02:57
