menu,price,order_time
아메리카노,22476,2024-12-29 18:27:56
케이크,2021,2024-12-30 13:43:56
아메리카노,10753,2024-12-30 03:22:56
카푸치노,10574,2024-12-30 03:06:56
케이크,20616,2024-12-30 02:47:56
케이크,4418,2024-12-30 10:36:56
케이크,19646,2024-12-30 08:42:56
카푸치노,3138,2024-12-30 05:31:56
케이크,19233,2024-12-30 09:23:56
카푸치노,2641,2024-12-29 18:46:56
아메리카노,21073,2024-12-29 20:05:56
카푸치노,7387,2024-12-30 09:00:56
카푸치노,24829,2024-12-29 21:52:56
카푸치노,25530,2024-12-29 21:36:56
카푸치노,23983,2024-12-29 20:43:56
아메리카노,23728,2024-12-30 03:54:56
케이크,26594,2024-12-30 14:04:56
케이크,24086,2024-12-30 03:04:56
아메리카노,25076,2024-12-30 12:04:56
케이크,3053,2024-12-29 19:45:56
케이크,21749,2024-12-29 20:10:56
아메리카노,17772,2024-12-30 16:31:56
카푸치노,16254,2024-12-30 00:27:56
케이크,19214,2024-12-30 00:18:56
케이크,7274,2024-12-30 02:27:56
아메리카노,2326,2024-12-29 17:27:56
카푸치노,11384,2024-12-29 23:20:56
케이크,25204,2024-12-30 17:05:56
아메리카노,10217,2024-12-29 22:47:56
케이크,20267,2024-12-30 09:29:56
아메리카노,14056,2024-12-30 13:57:56
케이크,2622,2024-12-30 09:03:56
카푸치노,28678,2024-12-30 00:47:56
케이크,25968,2024-12-30 17:13:56
아메리카노,22077,2024-12-30 08:22:56
케이크,23112,2024-12-29 23:55:56
아메리카노,7725,2024-12-30 00:38:56
아메리카노,14296,2024-12-30 09:44:56
케이크,16089,2024-12-30 08:24:56
카푸치노,14214,2024-12-30 14:27:56
케이크,20532,2024-12-30 09:26:56
카푸치노,19030,2024-12-30 06:40:56
케이크,15624,2024-12-29 17:49:56
아메리카노,9176,2024-12-29 18:29:56
아메리카노,7320,2024-12-30 05:04:56
아메리카노,19677,2024-12-30 04:22:56
아메리카노,19685,2024-12-30 07:09:56
카푸치노,13594,2024-12-29 20:42:56
아메리카노,16992,2024-12-30 15:38:56
아메리카노,21991,2024-12-29 20:52:56
카푸치노,4117,2024-12-30 17:00:56
카푸치노,13284,2024-12-29 22:34:56
케이크,20464,2024-12-29 22:59:56
카푸치노,15568,2024-12-30 00:47:56
아메리카노,12164,2024-12-30 10:48:56
카푸치노,21061,2024-12-29 21:11:56
아메리카노,27993,2024-12-29 18:58:56
아메리카노,10851,2024-12-30 11:50:56
아메리카노,9929,2024-12-30 06:46:56
카푸치노,6548,2024-12-30 03:09:56
케이크,22872,2024-12-30 02:00:56
아메리카노,6037,2024-12-30 16:50:56
케이크,23704,2024-12-29 22:27:56
케이크,3905,2024-12-30 09:16:56
카푸치노,7123,2024-12-30 01:40:56
아메리카노,1681,2024-12-30 13:41:56
케이크,6434,2024-12-30 01:39:56
아메리카노,15820,2024-12-30 14:55:56
케이크,10777,2024-12-30 07:48:56
아메리카노,4045,2024-12-30 04:04:56
카푸치노,25901,2024-12-30 04:02:56
아메리카노,29653,2024-12-30 08:22:56
케이크,10544,2024-12-30 12:01:56
카푸치노,27298,2024-12-30 00:19:56
케이크,8430,2024-12-30 07:15:56
아메리카노,23837,2024-12-30 16:22:56
아메리카노,28646,2024-12-30 04:06:56
케이크,26620,2024-12-29 22:40:56
아메리카노,21185,2024-12-30 05:38:56
카푸치노,20649,2024-12-30 02:39:56
카푸치노,5730,2024-12-29 20:57:56
아메리카노,7475,2024-12-30 15:12:56
케이크,25966,2024-12-30 03:06:56
아메리카노,3447,2024-12-29 22:37:56
카푸치노,13512,2024-12-30 00:50:56
케이크,18422,2024-12-30 14:59:56
케이크,22818,2024-12-30 14:36:56
카푸치노,16165,2024-12-30 07:57:56
아메리카노,10906,2024-12-29 19:15:56
아메리카노,14928,2024-12-30 09:23:56
케이크,21628,2024-12-30 11:44:56
카푸치노,27004,2024-12-30 12:03:56
아메리카노,11278,2024-12-30 05:38:56
케이크,19496,2024-12-30 06:39:56
카푸치노,6717,2024-12-30 03:58:56
아메리카노,5463,2024-12-30 04:13:56
케이크,8065,2024-12-29 20:30:56
케이크,21396,2024-12-30 14:41:56
아메리카노,7047,2024-12-30 05:39:56
아메리카노,28283,2024-12-29 18:22:56
