menu,price,order_time
케이크,25182,2024-12-30 06:26:56
아메리카노,24730,2024-12-30 07:26:56
아메리카노,3966,2024-12-30 01:32:56
케이크,16723,2024-12-29 19:21:56
아메리카노,27343,2024-12-29 23:27:56
케이크,27294,2024-12-30 09:39:56
아메리카노,29073,2024-12-29 19:25:56
케이크,15709,2024-12-30 04:50:56
카푸치노,4329,2024-12-29 22:51:56
케이크,8800,2024-12-30 10:02:56
아메리카노,21150,2024-12-30 01:56:56
카푸치노,4520,2024-12-30 10:32:56
케이크,19502,2024-12-30 17:15:56
케이크,24196,2024-12-30 13:17:56
카푸치노,26404,2024-12-30 15:57:56
카푸치노,24415,2024-12-29 18:06:56
아메리카노,26209,2024-12-29 22:04:56
아메리카노,14323,2024-12-30 13:17:56
케이크,1008,2024-12-30 14:28:56
케이크,15173,2024-12-30 10:24:56
카푸치노,26770,2024-12-30 15:19:56
아메리카노,13168,2024-12-30 06:23:56
케이크,15584,2024-12-30 00:39:56
아메리카노,9069,2024-12-30 11:14:56
케이크,9582,2024-12-30 06:59:56
아메리카노,19619,2024-12-29 22:46:56
케이크,29292,2024-12-29 18:16:56
카푸치노,11189,2024-12-30 14:25:56
카푸치노,3514,2024-12-30 01:58:56
카푸치노,8157,2024-12-30 04:23:56
아메리카노,13146,2024-12-30 07:26:56
케이크,28218,2024-12-29 23:21:56
카푸치노,21347,2024-12-30 11:05:56
카푸치노,18477,2024-12-30 08:12:56
카푸치노,11413,2024-12-30 06:57:56
케이크,28914,2024-12-30 11:31:56
카푸치노,18406,2024-12-30 15:37:56
카푸치노,20449,2024-12-29 23:08:56
아메리카노,25230,2024-12-29 22:24:56
아메리카노,29325,2024-12-30 08:25:56
케이크,11025,2024-12-30 06:03:56
카푸치노,4416,2024-12-29 19:25:56
아메리카노,20985,2024-12-30 09:46:56
케이크,27275,2024-12-30 07:31:56
아메리카노,16211,2024-12-29 23:55:56
카푸치노,6667,2024-12-30 15:56:56
케이크,7497,2024-12-30 10:27:56
아메리카노,15762,2024-12-30 09:42:56
케이크,15747,2024-12-30 11:06:56
케이크,25172,2024-12-30 16:29:56
케이크,17087,2024-12-30 06:24:56
아메리카노,16043,2024-12-30 16:21:56
아메리카노,10909,2024-12-29 19:00:56
카푸치노,11163,2024-12-30 03:39:56
아메리카노,29131,2024-12-30 07:57:56
아메리카노,23730,2024-12-30 10:32:56
아메리카노,10945,2024-12-29 17:48:56
아메리카노,12434,2024-12-30 07:43:56
케이크,23774,2024-12-30 08:20:56
카푸치노,25262,2024-12-30 06:09:56
아메리카노,28700,2024-12-30 15:58:56
카푸치노,14638,2024-12-30 07:09:56
아메리카노,19191,2024-12-30 15:43:56
아메리카노,24754,2024-12-29 23:31:56
케이크,10669,2024-12-30 15:56:56
케이크,3637,2024-12-29 20:55:56
카푸치노,15682,2024-12-30 09:00:56
아메리카노,17946,2024-12-30 00:51:56
아메리카노,2875,2024-12-30 01:10:56
케이크,19089,2024-12-30 17:01:56
케이크,27722,2024-12-30 14:55:56
케이크,24035,2024-12-30 11:43:56
카푸치노,15619,2024-12-29 23:06:56
아메리카노,15612,2024-12-30 05:27:56
아메리카노,20661,2024-12-30 04:26:56
케이크,23081,2024-12-30 13:08:56
아메리카노,29257,2024-12-29 23:11:56
카푸치노,26878,2024-12-30 04:44:56
아메리카노,18304,2024-12-30 10:51:56
아메리카노,1325,2024-12-29 17:29:56
아메리카노,25048,2024-12-29 22:21:56
아메리카노,6762,2024-12-30 08:45:56
케이크,16332,2024-12-29 23:00:56
케이크,19455,2024-12-30 09:14:56
카푸치노,22739,2024-12-29 22:21:56
카푸치노,3145,2024-12-30 09:46:56
케이크,4972,2024-12-30 14:19:56
케이크,18260,2024-12-30 08:06:56
아메리카노,1691,2024-12-30 16:03:56
아메리카노,22615,2024-12-30 02:16:56
카푸치노,23047,2024-12-30 08:34:56
아메리카노,12450,2024-12-30 15:31:56
케이크,22327,2024-12-30 01:21:56
케이크,5501,2024-12-30 06:41:56
케이크,14090,2024-12-29 19:15:56
아메리카노,27524,2024-12-30 03:07:56
아메리카노,27462,2024-12-30 14:15:56
케이크,24292,2024-12-30 07:41:56
케이크,23089,2024-12-30 07:20:56
케이크,9222,2024-12-29 20:34:56
