menu,price,order_time
닭강정,8786,2024-12-30 08:17:56
닭강정,15954,2024-12-30 16:41:56
닭강정,9143,2024-12-30 10:33:56
떡볶이,24420,2024-12-30 11:28:56
닭강정,4223,2024-12-30 14:12:56
감자튀김,16238,2024-12-30 00:03:56
감자튀김,12391,2024-12-30 08:53:56
닭강정,16701,2024-12-30 11:46:56
떡볶이,28519,2024-12-30 00:35:56
떡볶이,8894,2024-12-30 01:42:56
닭강정,20891,2024-12-30 15:19:56
떡볶이,3328,2024-12-30 14:55:56
감자튀김,13073,2024-12-29 23:22:56
감자튀김,23428,2024-12-30 05:31:56
감자튀김,2845,2024-12-30 05:21:56
닭강정,20021,2024-12-30 03:07:56
떡볶이,2946,2024-12-30 02:03:56
닭강정,28049,2024-12-30 14:50:56
감자튀김,18749,2024-12-30 14:04:56
떡볶이,6847,2024-12-30 09:30:56
감자튀김,24661,2024-12-30 10:37:56
감자튀김,22240,2024-12-30 10:41:56
떡볶이,17284,2024-12-30 03:18:56
닭강정,29135,2024-12-30 15:50:56
닭강정,2556,2024-12-30 16:45:56
감자튀김,10748,2024-12-30 12:24:56
닭강정,25555,2024-12-30 03:01:56
닭강정,22338,2024-12-30 06:37:56
떡볶이,3740,2024-12-30 05:21:56
닭강정,22567,2024-12-30 04:41:56
떡볶이,8558,2024-12-30 14:57:56
감자튀김,14662,2024-12-30 02:21:56
감자튀김,22849,2024-12-30 13:33:56
감자튀김,12093,2024-12-30 04:31:56
감자튀김,19137,2024-12-30 12:05:56
감자튀김,1521,2024-12-30 14:47:56
떡볶이,26904,2024-12-29 20:54:56
떡볶이,22311,2024-12-30 05:38:56
감자튀김,21110,2024-12-29 18:50:56
떡볶이,19466,2024-12-29 22:15:56
떡볶이,16140,2024-12-30 13:59:56
떡볶이,20247,2024-12-30 15:06:56
닭강정,22051,2024-12-30 10:26:56
떡볶이,6397,2024-12-30 16:28:56
감자튀김,20990,2024-12-30 05:55:56
닭강정,22929,2024-12-30 17:00:56
닭강정,26669,2024-12-30 06:36:56
떡볶이,25622,2024-12-29 21:19:56
닭강정,7229,2024-12-30 10:57:56
떡볶이,3941,2024-12-30 05:24:56
닭강정,16547,2024-12-29 22:17:56
닭강정,8945,2024-12-29 19:50:56
떡볶이,29845,2024-12-30 04:44:56
떡볶이,21156,2024-12-30 01:00:56
닭강정,11056,2024-12-30 02:21:56
감자튀김,17983,2024-12-30 01:48:56
떡볶이,7674,2024-12-30 02:35:56
닭강정,7374,2024-12-30 10:43:56
떡볶이,16346,2024-12-30 08:36:56
떡볶이,15408,2024-12-30 00:24:56
감자튀김,2517,2024-12-30 14:39:56
닭강정,3804,2024-12-29 23:24:56
닭강정,11780,2024-12-30 06:16:56
떡볶이,2309,2024-12-30 03:43:56
닭강정,7631,2024-12-30 01:04:56
떡볶이,16523,2024-12-30 13:59:56
닭강정,26786,2024-12-30 07:02:56
감자튀김,23334,2024-12-30 12:11:56
떡볶이,8352,2024-12-30 10:50:56
닭강정,22222,2024-12-30 16:35:56
닭강정,28505,2024-12-30 09:41:56
감자튀김,29126,2024-12-30 14:21:56
닭강정,11396,2024-12-30 14:18:56
감자튀김,3299,2024-12-29 18:08:56
닭강정,6915,2024-12-30 09:20:56
닭강정,24080,2024-12-29 19:32:56
감자튀김,9204,2024-12-29 18:21:56
떡볶이,5700,2024-12-29 22:18:56
감자튀김,14344,2024-12-30 03:46:56
떡볶이,9561,2024-12-30 11:44:56
떡볶이,20730,2024-12-30 12:58:56
감자튀김,26788,2024-12-30 00:23:56
감자튀김,24520,2024-12-30 04:35:56
감자튀김,25312,2024-12-30 09:20:56
닭강정,20317,2024-12-29 20:54:56
떡볶이,18441,2024-12-30 10:17:56
떡볶이,26827,2024-12-29 19:08:56
떡볶이,3022,2024-12-30 07:03:56
감자튀김,4914,2024-12-29 20:39:56
닭강정,20332,2024-12-30 12:35:56
떡볶이,2906,2024-12-30 09:59:56
떡볶이,8652,2024-12-30 06:33:56
떡볶이,19195,2024-12-29 17:29:56
떡볶이,9957,2024-12-30 09:55:56
떡볶이,22886,2024-12-29 22:34:56
감자튀김,2232,2024-12-30 00:11:56
감자튀김,27496,2024-12-30 02:42:56
떡볶이,3669,2024-12-29 19:53:56
감자튀김,28100,2024-12-30 06:54:56
떡볶이,17177,2024-12-29 18:21:56
