menu,price,order_time
만두,15537,2024-12-30 11:20:56
김밥,2962,2024-12-29 20:45:56
만두,16149,2024-12-30 16:47:56
김밥,4712,2024-12-30 00:12:56
만두,22198,2024-12-29 23:51:56
만두,20827,2024-12-29 19:59:56
만두,12796,2024-12-29 21:05:56
떡볶이,26054,2024-12-29 22:24:56
떡볶이,10413,2024-12-30 00:29:56
만두,8688,2024-12-29 22:44:56
김밥,15405,2024-12-30 00:07:56
떡볶이,10264,2024-12-29 19:49:56
만두,10252,2024-12-30 02:22:56
떡볶이,27887,2024-12-29 18:43:56
김밥,27382,2024-12-30 00:39:56
김밥,25258,2024-12-30 01:59:56
김밥,4182,2024-12-29 17:55:56
만두,28869,2024-12-30 04:00:56
김밥,25944,2024-12-29 17:25:56
만두,4694,2024-12-30 09:00:56
떡볶이,1130,2024-12-30 04:30:56
떡볶이,10174,2024-12-30 04:36:56
김밥,14228,2024-12-30 00:29:56
만두,4919,2024-12-30 03:01:56
떡볶이,17410,2024-12-30 13:20:56
김밥,20103,2024-12-29 23:14:56
김밥,26053,2024-12-30 08:36:56
떡볶이,22615,2024-12-30 13:21:56
김밥,23085,2024-12-30 10:52:56
떡볶이,28725,2024-12-30 06:12:56
김밥,28660,2024-12-30 03:18:56
만두,7324,2024-12-30 14:51:56
김밥,15160,2024-12-30 15:17:56
김밥,3984,2024-12-30 14:50:56
만두,6624,2024-12-29 22:24:56
만두,6879,2024-12-30 14:52:56
만두,13592,2024-12-30 15:33:56
떡볶이,10684,2024-12-30 04:56:56
떡볶이,13973,2024-12-30 06:11:56
김밥,16370,2024-12-29 22:33:56
김밥,4962,2024-12-30 10:49:56
만두,8399,2024-12-30 09:36:56
만두,25580,2024-12-30 01:22:56
김밥,21739,2024-12-29 22:03:56
만두,7180,2024-12-29 18:27:56
김밥,10017,2024-12-29 22:44:56
김밥,11345,2024-12-30 01:11:56
만두,3672,2024-12-30 05:36:56
만두,17424,2024-12-30 06:53:56
만두,29714,2024-12-30 11:26:56
떡볶이,16386,2024-12-29 18:29:56
김밥,14728,2024-12-30 10:45:56
떡볶이,5505,2024-12-30 09:18:56
김밥,2149,2024-12-30 15:44:56
만두,1540,2024-12-30 13:49:56
떡볶이,20729,2024-12-29 23:48:56
김밥,18651,2024-12-30 08:19:56
만두,8376,2024-12-30 14:55:56
떡볶이,12940,2024-12-29 17:54:56
김밥,12557,2024-12-30 14:42:56
떡볶이,29179,2024-12-30 10:42:56
만두,6602,2024-12-29 22:33:56
떡볶이,2016,2024-12-30 06:17:56
김밥,26702,2024-12-30 13:35:56
만두,28661,2024-12-30 13:20:56
떡볶이,6319,2024-12-30 03:20:56
김밥,20867,2024-12-30 09:18:56
김밥,1307,2024-12-29 21:56:56
만두,7708,2024-12-30 09:27:56
김밥,24962,2024-12-29 20:33:56
김밥,14128,2024-12-30 07:03:56
만두,11973,2024-12-30 15:45:56
떡볶이,4992,2024-12-30 11:52:56
김밥,9630,2024-12-30 14:31:56
김밥,2826,2024-12-30 01:45:56
떡볶이,15847,2024-12-30 07:45:56
김밥,6575,2024-12-29 21:46:56
떡볶이,22517,2024-12-30 04:24:56
떡볶이,23653,2024-12-29 22:22:56
만두,29419,2024-12-30 08:07:56
김밥,28879,2024-12-30 11:38:56
김밥,13632,2024-12-30 00:54:56
만두,17379,2024-12-30 09:19:56
만두,14969,2024-12-30 07:40:56
만두,15579,2024-12-30 13:59:56
떡볶이,18220,2024-12-30 06:09:56
김밥,20193,2024-12-30 10:57:56
만두,17324,2024-12-30 01:47:56
김밥,13360,2024-12-30 12:07:56
만두,16200,2024-12-30 14:22:56
김밥,10775,2024-12-29 23:24:56
만두,9247,2024-12-30 03:25:56
떡볶이,22710,2024-12-30 15:42:56
만두,23964,2024-12-30 09:32:56
떡볶이,12930,2024-12-29 22:31:56
떡볶이,12135,2024-12-29 23:10:56
만두,15103,2024-12-29 19:48:56
만두,15255,2024-12-30 17:16:56
김밥,4910,2024-12-30 17:21:56
떡볶이,28323,2024-12-30 04:36:56
