menu,price,order_time
도넛,16392,2024-12-30 11:56:56
머핀,15976,2024-12-30 08:55:56
크루아상,26105,2024-12-30 09:39:56
도넛,18974,2024-12-30 01:51:56
크루아상,16825,2024-12-30 16:54:56
머핀,24894,2024-12-30 03:46:56
도넛,25896,2024-12-30 07:55:56
도넛,10996,2024-12-30 05:04:56
크루아상,29867,2024-12-30 16:17:56
크루아상,10472,2024-12-30 13:12:56
머핀,9456,2024-12-30 09:45:56
크루아상,15003,2024-12-29 17:57:56
크루아상,7443,2024-12-29 21:36:56
도넛,20630,2024-12-30 13:37:56
머핀,6769,2024-12-30 03:00:56
크루아상,8454,2024-12-30 02:37:56
머핀,20755,2024-12-30 11:19:56
크루아상,4300,2024-12-30 08:15:56
머핀,5207,2024-12-30 08:53:56
도넛,3604,2024-12-30 03:06:56
머핀,14068,2024-12-30 05:38:56
도넛,9414,2024-12-30 15:19:56
머핀,28631,2024-12-29 21:34:56
도넛,23406,2024-12-29 21:30:56
도넛,2356,2024-12-30 01:53:56
도넛,27082,2024-12-29 22:42:56
머핀,6817,2024-12-30 01:21:56
크루아상,28754,2024-12-30 07:03:56
크루아상,2857,2024-12-30 08:52:56
머핀,12239,2024-12-29 19:45:56
머핀,25635,2024-12-30 03:57:56
도넛,1354,2024-12-30 09:15:56
크루아상,8710,2024-12-30 01:37:56
머핀,8608,2024-12-30 00:36:56
크루아상,6993,2024-12-30 05:15:56
머핀,28740,2024-12-30 04:06:56
도넛,23836,2024-12-30 06:13:56
도넛,25209,2024-12-30 08:38:56
크루아상,18137,2024-12-30 09:55:56
크루아상,4705,2024-12-30 05:05:56
도넛,29884,2024-12-30 16:35:56
도넛,17185,2024-12-30 16:13:56
크루아상,5033,2024-12-29 19:38:56
도넛,8744,2024-12-30 01:05:56
크루아상,18514,2024-12-29 23:03:56
머핀,5707,2024-12-30 09:59:56
머핀,24404,2024-12-30 16:53:56
머핀,27919,2024-12-29 21:58:56
머핀,3341,2024-12-29 22:37:56
머핀,16537,2024-12-30 10:14:56
머핀,17863,2024-12-30 13:36:56
머핀,9425,2024-12-30 15:54:56
도넛,13874,2024-12-29 18:11:56
크루아상,9749,2024-12-30 06:43:56
머핀,13039,2024-12-30 13:51:56
크루아상,24753,2024-12-30 09:40:56
머핀,16089,2024-12-30 01:47:56
크루아상,19430,2024-12-29 23:43:56
크루아상,25628,2024-12-30 03:33:56
크루아상,23905,2024-12-30 12:47:56
도넛,6801,2024-12-30 05:07:56
크루아상,4862,2024-12-30 02:09:56
도넛,3636,2024-12-30 02:42:56
크루아상,19292,2024-12-30 09:36:56
머핀,5033,2024-12-30 02:26:56
머핀,8599,2024-12-30 12:25:56
크루아상,21436,2024-12-30 13:37:56
도넛,27915,2024-12-30 00:12:56
머핀,15793,2024-12-30 03:05:56
도넛,24489,2024-12-30 13:45:56
머핀,14398,2024-12-29 18:59:56
도넛,2774,2024-12-29 21:10:56
머핀,3576,2024-12-30 16:18:56
머핀,15856,2024-12-30 14:44:56
도넛,8793,2024-12-30 04:43:56
크루아상,20262,2024-12-30 08:00:56
도넛,11584,2024-12-30 08:39:56
크루아상,4690,2024-12-30 01:22:56
도넛,18497,2024-12-29 23:26:56
크루아상,29021,2024-12-30 13:51:56
크루아상,24518,2024-12-30 09:19:56
크루아상,22655,2024-12-30 06:36:56
크루아상,24044,2024-12-30 10:27:56
도넛,6405,2024-12-30 06:46:56
도넛,15933,2024-12-30 16:11:56
도넛,19385,2024-12-30 11:48:56
머핀,25448,2024-12-30 07:00:56
크루아상,5964,2024-12-30 03:43:56
크루아상,9896,2024-12-30 08:16:56
크루아상,5120,2024-12-29 19:00:56
머핀,18417,2024-12-29 19:16:56
크루아상,16492,2024-12-30 08:15:56
머핀,7227,2024-12-29 21:24:56
머핀,6974,2024-12-30 04:32:56
도넛,21335,2024-12-30 13:32:56
도넛,6201,2024-12-30 03:31:56
도넛,20929,2024-12-30 15:08:56
도넛,16391,2024-12-29 22:13:56
도넛,1608,2024-12-30 06:42:56
크루아상,10124,2024-12-29 19:40:56
