menu,price,order_time
도넛,12974,2024-12-30 03:57:56
도넛,19084,2024-12-29 18:46:56
도넛,24494,2024-12-29 19:57:56
크루아상,2162,2024-12-29 17:41:56
크루아상,27235,2024-12-30 14:48:56
크루아상,8248,2024-12-30 05:48:56
머핀,26642,2024-12-30 14:56:56
도넛,29974,2024-12-30 05:57:56
도넛,9877,2024-12-29 23:33:56
머핀,27690,2024-12-30 06:30:56
크루아상,8474,2024-12-30 04:22:56
도넛,2956,2024-12-30 10:07:56
도넛,1194,2024-12-30 02:05:56
크루아상,2701,2024-12-30 15:25:56
도넛,18077,2024-12-30 11:39:56
크루아상,13603,2024-12-30 06:57:56
크루아상,11741,2024-12-29 23:34:56
도넛,7130,2024-12-30 12:21:56
크루아상,11668,2024-12-30 01:49:56
머핀,7418,2024-12-30 01:28:56
크루아상,13093,2024-12-30 15:28:56
머핀,6275,2024-12-29 20:39:56
도넛,2238,2024-12-29 21:11:56
크루아상,15052,2024-12-30 04:05:56
도넛,20250,2024-12-29 21:58:56
도넛,27756,2024-12-30 02:08:56
머핀,25770,2024-12-29 18:38:56
도넛,6962,2024-12-30 05:08:56
도넛,19658,2024-12-30 12:08:56
크루아상,28571,2024-12-30 01:56:56
도넛,22256,2024-12-30 04:08:56
도넛,17606,2024-12-29 20:22:56
크루아상,9837,2024-12-30 02:05:56
도넛,12420,2024-12-30 06:00:56
크루아상,22629,2024-12-30 08:37:56
도넛,17006,2024-12-29 21:47:56
도넛,18259,2024-12-30 05:16:56
머핀,22012,2024-12-30 01:48:56
머핀,17853,2024-12-30 09:58:56
머핀,29934,2024-12-30 09:35:56
머핀,13025,2024-12-30 07:37:56
크루아상,20806,2024-12-30 11:03:56
도넛,5106,2024-12-29 19:41:56
크루아상,13897,2024-12-30 01:42:56
도넛,26011,2024-12-30 11:06:56
머핀,22844,2024-12-30 09:45:56
머핀,22073,2024-12-30 02:35:56
도넛,10872,2024-12-30 06:01:56
머핀,12761,2024-12-30 13:40:56
도넛,17245,2024-12-30 16:21:56
도넛,9215,2024-12-30 02:29:56
크루아상,3830,2024-12-30 03:35:56
크루아상,25747,2024-12-30 04:15:56
크루아상,14612,2024-12-30 02:34:56
크루아상,21629,2024-12-29 19:24:56
도넛,11931,2024-12-30 09:25:56
크루아상,26267,2024-12-30 10:28:56
머핀,12133,2024-12-30 08:57:56
크루아상,12526,2024-12-30 15:06:56
머핀,21009,2024-12-30 07:16:56
크루아상,23037,2024-12-30 09:03:56
머핀,8838,2024-12-30 05:55:56
도넛,29719,2024-12-30 07:47:56
머핀,9266,2024-12-30 15:14:56
머핀,27313,2024-12-30 17:17:56
크루아상,10879,2024-12-30 02:30:56
크루아상,14432,2024-12-30 04:15:56
크루아상,7011,2024-12-29 17:22:56
크루아상,16277,2024-12-30 11:18:56
크루아상,25826,2024-12-30 13:26:56
도넛,21274,2024-12-30 01:28:56
머핀,5723,2024-12-29 18:17:56
크루아상,18426,2024-12-30 03:21:56
크루아상,14996,2024-12-30 08:43:56
크루아상,2355,2024-12-30 06:25:56
도넛,7379,2024-12-29 18:09:56
도넛,4399,2024-12-29 22:26:56
머핀,27376,2024-12-30 13:31:56
도넛,17415,2024-12-29 23:00:56
머핀,2237,2024-12-30 12:21:56
크루아상,9837,2024-12-30 12:12:56
크루아상,26344,2024-12-30 01:46:56
크루아상,25113,2024-12-30 11:04:56
머핀,3210,2024-12-30 02:46:56
머핀,18345,2024-12-30 12:14:56
머핀,4512,2024-12-30 06:22:56
크루아상,17761,2024-12-30 07:59:56
도넛,21438,2024-12-29 23:07:56
크루아상,4554,2024-12-29 21:20:56
머핀,2420,2024-12-30 05:47:56
도넛,20764,2024-12-30 10:33:56
도넛,12632,2024-12-30 04:25:56
크루아상,1184,2024-12-29 17:40:56
머핀,20389,2024-12-30 10:52:56
머핀,14715,2024-12-29 19:32:56
머핀,4575,2024-12-30 06:55:56
머핀,15188,2024-12-30 11:59:56
머핀,29138,2024-12-30 17:06:56
크루아상,5165,2024-12-29 21:06:56
머핀,7594,2024-12-30 05:50:56
