menu,price,order_time
아메리카노,22961,2024-12-29 23:57:56
케이크,28642,2024-12-30 08:39:56
케이크,6564,2024-12-30 00:33:56
아메리카노,16592,2024-12-29 20:47:56
아메리카노,6178,2024-12-30 13:58:56
아메리카노,29805,2024-12-30 01:58:56
케이크,24103,2024-12-30 08:31:56
카푸치노,20801,2024-12-29 23:59:56
케이크,15569,2024-12-30 04:44:56
케이크,6706,2024-12-30 08:07:56
카푸치노,21136,2024-12-29 23:06:56
카푸치노,4193,2024-12-29 21:13:56
케이크,1412,2024-12-30 04:07:56
케이크,9818,2024-12-30 14:15:56
케이크,13758,2024-12-30 12:07:56
카푸치노,29923,2024-12-29 23:59:56
아메리카노,13721,2024-12-30 05:13:56
아메리카노,10200,2024-12-29 22:51:56
아메리카노,20045,2024-12-30 16:31:56
아메리카노,1034,2024-12-30 02:44:56
아메리카노,3744,2024-12-30 15:35:56
케이크,11165,2024-12-30 11:01:56
카푸치노,14092,2024-12-30 01:22:56
카푸치노,8987,2024-12-30 02:16:56
카푸치노,21362,2024-12-30 08:16:56
케이크,6829,2024-12-30 01:56:56
케이크,6954,2024-12-30 11:17:56
아메리카노,28943,2024-12-30 13:11:56
카푸치노,27482,2024-12-30 10:29:56
케이크,11828,2024-12-29 18:36:56
카푸치노,8719,2024-12-30 05:24:56
케이크,22603,2024-12-29 21:28:56
케이크,21357,2024-12-30 00:22:56
아메리카노,3060,2024-12-30 09:56:56
카푸치노,3265,2024-12-29 23:54:56
케이크,2917,2024-12-29 17:24:56
카푸치노,7091,2024-12-30 03:52:56
아메리카노,26184,2024-12-30 05:41:56
카푸치노,7084,2024-12-30 03:53:56
카푸치노,9735,2024-12-30 12:58:56
케이크,12851,2024-12-30 00:06:56
케이크,2895,2024-12-30 05:44:56
아메리카노,7640,2024-12-30 02:09:56
케이크,22231,2024-12-30 05:27:56
아메리카노,24054,2024-12-30 14:52:56
카푸치노,22328,2024-12-30 15:22:56
아메리카노,10598,2024-12-29 19:21:56
케이크,20119,2024-12-29 17:27:56
카푸치노,11661,2024-12-30 03:19:56
케이크,4213,2024-12-30 04:19:56
케이크,16330,2024-12-29 21:11:56
아메리카노,24394,2024-12-29 20:35:56
아메리카노,11578,2024-12-30 04:22:56
아메리카노,7345,2024-12-30 11:45:56
케이크,11290,2024-12-30 13:46:56
카푸치노,2035,2024-12-30 02:10:56
아메리카노,4900,2024-12-29 17:56:56
케이크,1213,2024-12-30 04:42:56
카푸치노,28432,2024-12-30 09:43:56
카푸치노,22637,2024-12-29 19:05:56
케이크,21876,2024-12-29 20:35:56
케이크,14118,2024-12-30 04:30:56
카푸치노,3240,2024-12-30 07:13:56
아메리카노,1665,2024-12-30 06:31:56
케이크,2498,2024-12-30 01:52:56
카푸치노,29708,2024-12-30 09:30:56
아메리카노,5455,2024-12-30 17:00:56
아메리카노,13327,2024-12-30 12:30:56
케이크,4344,2024-12-30 14:47:56
아메리카노,2147,2024-12-30 12:34:56
카푸치노,12625,2024-12-29 21:05:56
아메리카노,7763,2024-12-29 19:22:56
카푸치노,8669,2024-12-30 00:42:56
아메리카노,28761,2024-12-30 00:43:56
아메리카노,9258,2024-12-29 20:50:56
아메리카노,1487,2024-12-30 01:10:56
카푸치노,28726,2024-12-30 00:09:56
카푸치노,16871,2024-12-30 10:10:56
카푸치노,7001,2024-12-29 22:19:56
아메리카노,2297,2024-12-30 00:28:56
카푸치노,7762,2024-12-29 23:33:56
케이크,8603,2024-12-30 01:47:56
아메리카노,1520,2024-12-30 14:54:56
케이크,5624,2024-12-30 01:34:56
아메리카노,4851,2024-12-30 00:36:56
아메리카노,23565,2024-12-30 03:13:56
카푸치노,23493,2024-12-30 06:37:56
케이크,21591,2024-12-30 05:54:56
아메리카노,6961,2024-12-30 13:20:56
케이크,21962,2024-12-30 06:59:56
아메리카노,20233,2024-12-30 10:00:56
아메리카노,9489,2024-12-29 18:49:56
아메리카노,10443,2024-12-30 14:33:56
케이크,14059,2024-12-30 01:21:56
카푸치노,17629,2024-12-29 18:10:56
아메리카노,2029,2024-12-30 07:18:56
카푸치노,11280,2024-12-29 22:19:56
카푸치노,20883,2024-12-30 03:07:56
아메리카노,11598,2024-12-30 03:07:56
케이크,27254,2024-12-30 15:31:56
