menu,price,order_time
카푸치노,2412,2024-12-30 02:48:56
카푸치노,2734,2024-12-29 19:59:56
케이크,5911,2024-12-30 11:57:56
카푸치노,16711,2024-12-30 12:20:56
아메리카노,15566,2024-12-29 23:35:56
아메리카노,4200,2024-12-30 06:17:56
케이크,15566,2024-12-30 01:23:56
케이크,12704,2024-12-30 10:20:56
케이크,7346,2024-12-30 02:57:56
카푸치노,28941,2024-12-29 18:02:56
카푸치노,20769,2024-12-29 19:08:56
카푸치노,25634,2024-12-30 12:07:56
아메리카노,3946,2024-12-29 21:12:56
케이크,22644,2024-12-30 01:48:56
카푸치노,11203,2024-12-29 21:59:56
아메리카노,20636,2024-12-30 00:12:56
아메리카노,21365,2024-12-30 10:22:56
아메리카노,5567,2024-12-29 20:00:56
카푸치노,14064,2024-12-30 10:57:56
케이크,26013,2024-12-30 06:24:56
케이크,18253,2024-12-30 04:25:56
아메리카노,21821,2024-12-30 05:28:56
아메리카노,27706,2024-12-30 15:17:56
카푸치노,28042,2024-12-30 11:10:56
아메리카노,5086,2024-12-30 07:48:56
케이크,9152,2024-12-30 14:59:56
아메리카노,29995,2024-12-30 16:40:56
카푸치노,24245,2024-12-29 19:13:56
케이크,17474,2024-12-30 04:37:56
케이크,28244,2024-12-30 16:33:56
아메리카노,22498,2024-12-30 08:54:56
카푸치노,20618,2024-12-30 13:26:56
카푸치노,25180,2024-12-30 14:14:56
카푸치노,6551,2024-12-30 14:23:56
아메리카노,13173,2024-12-30 10:47:56
카푸치노,19824,2024-12-29 18:36:56
아메리카노,10298,2024-12-30 11:00:56
케이크,18730,2024-12-29 18:25:56
케이크,13625,2024-12-30 05:53:56
카푸치노,8813,2024-12-30 03:15:56
카푸치노,24407,2024-12-30 12:44:56
카푸치노,12175,2024-12-30 06:36:56
카푸치노,6222,2024-12-30 09:06:56
아메리카노,27330,2024-12-30 02:05:56
아메리카노,24192,2024-12-30 08:55:56
아메리카노,3178,2024-12-29 22:28:56
케이크,10910,2024-12-29 20:40:56
아메리카노,17634,2024-12-30 15:26:56
케이크,16885,2024-12-30 00:20:56
아메리카노,25380,2024-12-30 08:13:56
아메리카노,15889,2024-12-30 13:41:56
아메리카노,9427,2024-12-30 07:28:56
케이크,22323,2024-12-29 21:49:56
케이크,3870,2024-12-30 02:53:56
케이크,20118,2024-12-30 10:26:56
케이크,17759,2024-12-29 19:48:56
카푸치노,11897,2024-12-30 04:11:56
아메리카노,20330,2024-12-30 10:48:56
아메리카노,11893,2024-12-30 08:50:56
케이크,9538,2024-12-30 16:27:56
카푸치노,1191,2024-12-30 08:21:56
아메리카노,19841,2024-12-30 08:19:56
카푸치노,7412,2024-12-30 00:40:56
케이크,16458,2024-12-30 07:26:56
카푸치노,26010,2024-12-30 07:16:56
카푸치노,16443,2024-12-30 09:48:56
케이크,6111,2024-12-30 08:09:56
카푸치노,27433,2024-12-29 18:49:56
케이크,22965,2024-12-30 00:08:56
케이크,29467,2024-12-30 16:10:56
카푸치노,2265,2024-12-30 15:36:56
카푸치노,16719,2024-12-30 09:57:56
케이크,21074,2024-12-30 13:04:56
케이크,7523,2024-12-29 22:57:56
아메리카노,3230,2024-12-29 23:44:56
아메리카노,2196,2024-12-30 15:25:56
아메리카노,27132,2024-12-30 12:33:56
아메리카노,10620,2024-12-30 14:19:56
아메리카노,3489,2024-12-30 01:08:56
아메리카노,11456,2024-12-30 05:52:56
아메리카노,20723,2024-12-30 14:02:56
카푸치노,14380,2024-12-30 02:44:56
아메리카노,21815,2024-12-30 12:32:56
카푸치노,29865,2024-12-29 19:28:56
케이크,19373,2024-12-30 02:53:56
케이크,1196,2024-12-30 03:07:56
케이크,29110,2024-12-30 05:48:56
카푸치노,6431,2024-12-30 02:56:56
아메리카노,14309,2024-12-30 05:50:56
케이크,22075,2024-12-30 15:39:56
아메리카노,1756,2024-12-29 23:32:56
케이크,8664,2024-12-30 02:35:56
케이크,18731,2024-12-30 06:14:56
카푸치노,15723,2024-12-30 02:14:56
케이크,12521,2024-12-30 10:15:56
아메리카노,12687,2024-12-30 15:46:56
아메리카노,26808,2024-12-30 00:32:56
케이크,9838,2024-12-30 16:05:56
카푸치노,7069,2024-12-30 12:03:56
카푸치노,22127,2024-12-30 15:29:56
