menu,price,order_time
닭강정,15510,2024-12-30 07:40:56
떡볶이,3680,2024-12-29 22:25:56
감자튀김,14258,2024-12-30 00:35:56
떡볶이,26486,2024-12-30 11:21:56
닭강정,3502,2024-12-30 03:45:56
떡볶이,21068,2024-12-30 05:35:56
떡볶이,29422,2024-12-29 21:55:56
감자튀김,15367,2024-12-30 15:42:56
닭강정,15722,2024-12-30 05:28:56
떡볶이,21257,2024-12-30 16:34:56
떡볶이,15939,2024-12-30 01:19:56
떡볶이,22349,2024-12-29 23:13:56
닭강정,22676,2024-12-29 19:03:56
떡볶이,27656,2024-12-30 16:16:56
감자튀김,27458,2024-12-30 15:54:56
떡볶이,9849,2024-12-30 10:02:56
감자튀김,3307,2024-12-30 06:59:56
떡볶이,9490,2024-12-30 06:21:56
닭강정,14301,2024-12-30 03:28:56
닭강정,11672,2024-12-29 20:02:56
닭강정,19259,2024-12-30 16:18:56
떡볶이,4865,2024-12-29 20:05:56
떡볶이,20470,2024-12-30 04:51:56
떡볶이,2603,2024-12-30 16:59:56
감자튀김,1132,2024-12-30 15:39:56
감자튀김,29007,2024-12-30 00:36:56
떡볶이,13973,2024-12-29 17:44:56
닭강정,7862,2024-12-30 14:15:56
닭강정,8314,2024-12-30 05:46:56
감자튀김,2109,2024-12-30 08:53:56
감자튀김,10123,2024-12-29 19:12:56
닭강정,24513,2024-12-30 04:42:56
떡볶이,11607,2024-12-29 18:17:56
감자튀김,29630,2024-12-30 01:13:56
감자튀김,2578,2024-12-29 22:03:56
감자튀김,11985,2024-12-29 21:07:56
감자튀김,26933,2024-12-30 02:00:56
닭강정,12102,2024-12-30 04:24:56
감자튀김,11037,2024-12-29 22:55:56
떡볶이,13678,2024-12-29 19:41:56
감자튀김,6209,2024-12-30 00:22:56
떡볶이,21158,2024-12-30 06:09:56
닭강정,10608,2024-12-30 04:40:56
떡볶이,8416,2024-12-29 17:33:56
떡볶이,28201,2024-12-30 05:59:56
닭강정,18249,2024-12-30 08:44:56
닭강정,27237,2024-12-30 03:11:56
떡볶이,8506,2024-12-29 21:16:56
감자튀김,2066,2024-12-29 21:20:56
닭강정,16499,2024-12-30 02:14:56
닭강정,29983,2024-12-30 00:34:56
닭강정,11308,2024-12-30 04:25:56
닭강정,27806,2024-12-29 18:04:56
감자튀김,4366,2024-12-30 03:17:56
감자튀김,19726,2024-12-30 05:35:56
닭강정,11906,2024-12-30 10:11:56
닭강정,2737,2024-12-30 13:21:56
닭강정,2866,2024-12-29 17:32:56
떡볶이,6543,2024-12-30 02:49:56
떡볶이,27386,2024-12-29 21:47:56
떡볶이,9252,2024-12-30 08:50:56
감자튀김,23817,2024-12-30 07:18:56
감자튀김,22422,2024-12-29 20:52:56
닭강정,3730,2024-12-30 04:27:56
떡볶이,29087,2024-12-30 14:21:56
떡볶이,8420,2024-12-29 18:34:56
감자튀김,29105,2024-12-30 17:05:56
떡볶이,5730,2024-12-29 22:56:56
감자튀김,23496,2024-12-30 12:19:56
닭강정,10434,2024-12-30 02:35:56
감자튀김,9930,2024-12-29 17:32:56
닭강정,15389,2024-12-30 01:05:56
떡볶이,18443,2024-12-30 15:53:56
닭강정,7575,2024-12-30 04:11:56
떡볶이,20688,2024-12-29 23:58:56
감자튀김,19500,2024-12-30 02:46:56
감자튀김,22374,2024-12-30 15:03:56
감자튀김,2949,2024-12-30 14:06:56
닭강정,15331,2024-12-30 01:49:56
떡볶이,3913,2024-12-29 23:32:56
닭강정,9460,2024-12-30 01:33:56
감자튀김,16346,2024-12-29 21:46:56
감자튀김,4407,2024-12-30 11:18:56
감자튀김,8636,2024-12-30 14:33:56
감자튀김,6570,2024-12-30 15:12:56
감자튀김,15286,2024-12-30 10:54:56
닭강정,29410,2024-12-30 15:24:56
떡볶이,2193,2024-12-30 08:48:56
떡볶이,6658,2024-12-30 15:16:56
떡볶이,27913,2024-12-30 00:57:56
감자튀김,13717,2024-12-30 06:12:56
감자튀김,13531,2024-12-30 12:14:56
닭강정,14508,2024-12-30 16:47:56
떡볶이,1705,2024-12-30 11:50:56
떡볶이,28865,2024-12-30 06:11:56
떡볶이,4380,2024-12-29 18:24:56
떡볶이,22696,2024-12-30 06:46:56
감자튀김,19593,2024-12-29 20:27:56
닭강정,11822,2024-12-30 12:02:56
떡볶이,29950,2024-12-30 11:03:56
