menu,price,order_time
카푸치노,23064,2024-12-30 08:08:56
케이크,22432,2024-12-29 18:23:56
카푸치노,1352,2024-12-30 11:33:56
카푸치노,29420,2024-12-30 11:26:56
카푸치노,8540,2024-12-30 08:43:56
케이크,16394,2024-12-30 05:38:56
아메리카노,21513,2024-12-30 06:07:56
아메리카노,28337,2024-12-29 18:55:56
카푸치노,23226,2024-12-30 13:47:56
케이크,2754,2024-12-29 17:34:56
아메리카노,18586,2024-12-30 14:02:56
케이크,7985,2024-12-29 19:22:56
아메리카노,13130,2024-12-30 12:40:56
케이크,13149,2024-12-30 04:39:56
카푸치노,13582,2024-12-30 16:01:56
케이크,8860,2024-12-30 09:58:56
케이크,6763,2024-12-30 03:11:56
아메리카노,2034,2024-12-30 00:43:56
아메리카노,8300,2024-12-29 21:17:56
케이크,17663,2024-12-30 09:06:56
아메리카노,24808,2024-12-30 03:12:56
카푸치노,2987,2024-12-30 05:21:56
아메리카노,17504,2024-12-30 14:21:56
케이크,15529,2024-12-30 02:14:56
카푸치노,2169,2024-12-30 05:16:56
케이크,3252,2024-12-30 08:36:56
카푸치노,27755,2024-12-30 13:34:56
카푸치노,27310,2024-12-30 01:10:56
케이크,24542,2024-12-30 00:27:56
케이크,19883,2024-12-29 20:31:56
카푸치노,18957,2024-12-29 18:30:56
카푸치노,29134,2024-12-30 07:16:56
아메리카노,26976,2024-12-30 10:29:56
카푸치노,17218,2024-12-29 23:23:56
케이크,5877,2024-12-30 01:12:56
케이크,15525,2024-12-29 23:24:56
케이크,15796,2024-12-29 23:41:56
아메리카노,3510,2024-12-30 14:00:56
아메리카노,7067,2024-12-30 03:20:56
케이크,15109,2024-12-30 17:09:56
카푸치노,3834,2024-12-30 13:55:56
카푸치노,1867,2024-12-29 23:15:56
아메리카노,20798,2024-12-29 19:43:56
케이크,2814,2024-12-30 04:48:56
케이크,17532,2024-12-30 15:00:56
아메리카노,18988,2024-12-30 07:45:56
아메리카노,14520,2024-12-29 21:46:56
카푸치노,27891,2024-12-30 10:29:56
카푸치노,2996,2024-12-30 00:07:56
아메리카노,8526,2024-12-30 10:55:56
케이크,22674,2024-12-30 04:40:56
아메리카노,10508,2024-12-30 16:08:56
카푸치노,3761,2024-12-30 11:39:56
카푸치노,4779,2024-12-30 01:43:56
카푸치노,25324,2024-12-29 17:55:56
케이크,13541,2024-12-29 18:20:56
케이크,17614,2024-12-29 21:56:56
카푸치노,4704,2024-12-29 20:45:56
카푸치노,27832,2024-12-30 02:22:56
케이크,15616,2024-12-30 09:31:56
아메리카노,19516,2024-12-30 15:05:56
아메리카노,8830,2024-12-30 00:56:56
카푸치노,12317,2024-12-30 01:59:56
아메리카노,9973,2024-12-30 03:42:56
케이크,12831,2024-12-30 06:39:56
아메리카노,24749,2024-12-30 14:39:56
케이크,9117,2024-12-30 07:15:56
아메리카노,4495,2024-12-30 11:34:56
카푸치노,15916,2024-12-29 21:43:56
아메리카노,25870,2024-12-30 00:19:56
아메리카노,7984,2024-12-30 05:46:56
카푸치노,11997,2024-12-30 09:20:56
케이크,28935,2024-12-30 02:40:56
아메리카노,11757,2024-12-29 21:58:56
아메리카노,14291,2024-12-30 11:25:56
아메리카노,6542,2024-12-29 19:20:56
아메리카노,9843,2024-12-30 07:17:56
아메리카노,28712,2024-12-29 23:34:56
아메리카노,29024,2024-12-29 20:30:56
아메리카노,13251,2024-12-30 07:21:56
아메리카노,19055,2024-12-30 12:50:56
케이크,25243,2024-12-30 16:39:56
카푸치노,7417,2024-12-30 09:51:56
카푸치노,21499,2024-12-29 23:27:56
케이크,20096,2024-12-30 13:34:56
케이크,12764,2024-12-30 09:23:56
케이크,20092,2024-12-29 23:33:56
케이크,12948,2024-12-29 21:19:56
아메리카노,17806,2024-12-29 17:49:56
아메리카노,6675,2024-12-29 17:45:56
아메리카노,22115,2024-12-30 13:01:56
아메리카노,6958,2024-12-30 06:08:56
케이크,21980,2024-12-30 13:01:56
케이크,17123,2024-12-29 19:56:56
케이크,4923,2024-12-29 21:31:56
아메리카노,10436,2024-12-30 16:11:56
케이크,24805,2024-12-29 21:44:56
카푸치노,25771,2024-12-30 00:46:56
아메리카노,27693,2024-12-30 05:09:56
아메리카노,19933,2024-12-29 22:14:56
