menu,price,order_time
만두,9980,2024-12-30 17:15:56
떡볶이,2138,2024-12-30 14:02:56
김밥,12782,2024-12-30 16:30:56
만두,16287,2024-12-30 06:01:56
만두,16997,2024-12-29 20:23:56
김밥,3721,2024-12-30 06:09:56
떡볶이,8333,2024-12-30 10:57:56
떡볶이,24455,2024-12-29 18:21:56
만두,3511,2024-12-30 16:30:56
떡볶이,22976,2024-12-29 22:43:56
김밥,16824,2024-12-30 07:23:56
김밥,2186,2024-12-29 20:56:56
만두,7102,2024-12-30 11:05:56
김밥,6747,2024-12-30 00:25:56
김밥,28377,2024-12-30 05:58:56
만두,24043,2024-12-29 18:55:56
떡볶이,18570,2024-12-30 00:16:56
떡볶이,11912,2024-12-30 04:47:56
만두,26784,2024-12-30 16:44:56
만두,28286,2024-12-30 16:35:56
떡볶이,23901,2024-12-30 03:46:56
만두,1190,2024-12-30 11:23:56
떡볶이,5827,2024-12-29 17:43:56
떡볶이,26613,2024-12-30 03:26:56
만두,14567,2024-12-30 17:11:56
김밥,1203,2024-12-30 07:33:56
만두,23420,2024-12-30 11:14:56
김밥,1834,2024-12-30 00:11:56
김밥,19150,2024-12-30 08:05:56
떡볶이,21527,2024-12-30 13:03:56
김밥,25724,2024-12-29 22:07:56
만두,10552,2024-12-29 17:23:56
김밥,10937,2024-12-30 09:13:56
떡볶이,11045,2024-12-30 10:34:56
떡볶이,19005,2024-12-30 03:47:56
김밥,23818,2024-12-30 03:34:56
만두,24742,2024-12-29 23:59:56
김밥,8008,2024-12-30 16:01:56
떡볶이,23083,2024-12-30 09:32:56
김밥,23678,2024-12-30 14:40:56
김밥,17314,2024-12-30 12:21:56
떡볶이,18206,2024-12-30 12:55:56
김밥,9230,2024-12-30 10:09:56
떡볶이,8827,2024-12-30 15:11:56
떡볶이,17127,2024-12-30 04:12:56
만두,18308,2024-12-30 06:01:56
떡볶이,6438,2024-12-30 04:49:56
만두,8764,2024-12-30 05:21:56
만두,17727,2024-12-30 09:07:56
만두,26793,2024-12-30 00:06:56
만두,20700,2024-12-29 23:55:56
떡볶이,5040,2024-12-30 02:39:56
떡볶이,12161,2024-12-29 18:07:56
떡볶이,9328,2024-12-30 16:21:56
김밥,29874,2024-12-29 21:30:56
만두,22097,2024-12-29 23:46:56
만두,8801,2024-12-29 19:46:56
만두,21687,2024-12-30 09:39:56
김밥,21052,2024-12-29 19:26:56
떡볶이,16131,2024-12-30 06:17:56
김밥,12182,2024-12-29 18:49:56
만두,10761,2024-12-30 16:07:56
만두,21213,2024-12-30 06:58:56
김밥,1044,2024-12-30 06:58:56
만두,21560,2024-12-29 23:26:56
만두,18722,2024-12-29 19:50:56
김밥,3729,2024-12-29 18:57:56
만두,25383,2024-12-30 05:48:56
만두,13874,2024-12-29 20:18:56
김밥,7268,2024-12-30 09:43:56
떡볶이,24978,2024-12-30 01:43:56
김밥,24836,2024-12-30 07:58:56
떡볶이,9349,2024-12-30 13:32:56
김밥,28060,2024-12-30 12:16:56
김밥,24349,2024-12-30 16:26:56
김밥,18931,2024-12-30 16:30:56
떡볶이,14556,2024-12-30 01:30:56
만두,7202,2024-12-30 12:16:56
김밥,5797,2024-12-30 16:02:56
김밥,11142,2024-12-30 15:20:56
떡볶이,14709,2024-12-29 22:42:56
만두,29210,2024-12-29 22:44:56
떡볶이,27935,2024-12-29 22:30:56
떡볶이,9107,2024-12-30 08:03:56
만두,8220,2024-12-30 16:34:56
김밥,27603,2024-12-29 23:55:56
만두,6237,2024-12-29 18:29:56
떡볶이,2401,2024-12-30 00:00:56
만두,22455,2024-12-30 14:10:56
떡볶이,27034,2024-12-29 18:57:56
만두,15596,2024-12-30 14:30:56
만두,22141,2024-12-30 15:30:56
만두,9740,2024-12-30 01:23:56
떡볶이,27530,2024-12-30 04:47:56
만두,25506,2024-12-29 23:02:56
떡볶이,20697,2024-12-30 09:23:56
만두,8473,2024-12-30 14:39:56
만두,28280,2024-12-29 17:27:56
떡볶이,28304,2024-12-30 06:01:56
만두,7144,2024-12-30 08:47:56
